Gene1,Gene2
ORC2,CDC45
MCM5,CDC45
MCM4,CDC45
MCM2,CDC45
RAD51,CDC45
MCM5,UHRF1
MCM4,UHRF1
MCM2,UHRF1
RAD51,UHRF1
POLR1B,ABCF3
MAPK9,BID
MCM4,MSH6
MCM2,MSH6
XRCC5,MSH6
RAD51,MSH6
MCM5,MSH6
MCM4,ASF1B
MCM2,ASF1B
RAD51,ASF1B
MCM5,ASF1B
EPOR,CISH
EPOR,GATA1
GATA1,EPOR
MCM4,CDC20
CENPK,CDC20
MCM2,CDC20
RAD51,CDC20
MCM5,CDC20
ORC2,CDT1
MCM5,CDT1
MCM4,CDT1
MCM2,CDT1
GTF2H1,POLR1B
POLR1B,GTF2H1
GTF2H1,TAF12
TAF12,GTF2H1
GTF2H1,RFC4
GTF2H1,LIG1
GTF2H1,POLD1
GTF2H1,POLE3
GTF2H1,RFC5
GTF2H1,CUL4A
ORC2,GMNN
MCM5,GMNN
MCM4,GMNN
MCM2,GMNN
POLR1B,TRMT11
REXO4,TRMT11
POLR1B,PNO1
MAPK9,FOS
FOS,MAPK9
MAPK9,MAPKAPK3
MAPK9,JUN
JUN,MAPK9
MAPK9,DUSP2
MAPK9,DUSP1
E2F6,WDR5
E2F6,E2F8
E2F8,E2F6
E2F6,POLD1
DDX58,CMPK2
MCM4,RRM2
MCM2,RRM2
RAD51,RRM2
MCM5,RRM2
POLR1B,FTSJ3
REXO4,FTSJ3
CENPK,NUP85
MYCN,AURKB
MCM4,AURKB
CENPK,AURKB
MCM2,AURKB
RAD51,AURKB
MCM5,AURKB
FOS,JUN
JUN,FOS
FOS,DUSP1
MCM4,DHFR
CENPK,PBK
CENPK,PPP2R1B
CENPK,NUP107
CENPK,CENPA
CENPK,BIRC5
CENPK,NDE1
CENPK,SPC25
CENPK,MIS12
CENPK,CCNB1
CENPK,INCENP
CENPK,AURKA
CENPK,CCNB2
CENPK,CKAP2L
CENPK,CDCA8
CENPK,CCNA2
CENPK,BUB1B
CENPK,SPC24
CENPK,RANGAP1
CENPK,MAD2L1
ELP3,MCM5
MCM5,ELP3
ELP3,PWP2
ELP3,WDR75
MCM2,PBK
RAD51,PBK
MCM5,PBK
MCM4,RRM1
MCM4,ORC2
ORC2,MCM4
MCM4,PRIM1
MCM4,CDC6
MCM4,TOP2A
MCM4,TYMS
MCM4,CCNB1
MCM4,ORC5
MCM4,RFC4
MCM4,MAD2L1
MCM4,MCM2
MCM2,MCM4
MCM4,LIG1
MCM4,TIPIN
MCM4,WDHD1
MCM4,TPX2
MCM4,RAD51
RAD51,MCM4
MCM4,RFC5
MCM4,CCNE1
MCM4,BIRC5
MCM4,MCM5
MCM5,MCM4
MCM4,PRIM2
MCM4,AURKA
MCM4,CCNB2
MCM4,CDCA8
MCM4,ORC6
MCM4,CCNA2
MCM4,POLD1
MCM4,POLE3
MCM4,INCENP
MCM4,CDC7
MCM4,SMC2
MCM4,BUB1B
ORC2,RFC4
MCM2,RFC4
RAD51,RFC4
MCM5,RFC4
MCM5,CDCA3
POLR1B,BYSL
ZFP36,DUSP1
JUN,DUSP1
TSC22D3,DUSP1
MCM5,INCENP
MCM2,INCENP
ORC2,PRIM1
MCM5,PRIM1
MCM2,PRIM1
RAD51,PRIM1
MCM5,TK1
MCM2,TYMS
MCM5,TYMS
POLR1B,WDR75
ORC2,RRM1
ORC2,CDC6
