Gene1,Gene2,Score
FOS,UBE2C,2792.0
FOS,DCAF11,1751.0
FOS,TOP2A,1849.0
FOS,FOXRED1,1389.0
FOS,ABCB8,1251.0
FOS,MIS12,1615.0
FOS,SPC25,1427.0
FOS,MCM5,1573.0
FOS,CDCA3,899.0
FOS,GOLT1B,1436.0
FOS,SLC25A45,746.0
FOS,CELA1,1113.0
FOS,LSP1,1214.0
FOS,CDT1,986.0
FOS,PACSIN2,1100.0
FOS,TANGO2,1204.0
FOS,CENPK,1162.0
FOS,UCKL1,957.0
FOS,RNF13,1052.0
FOS,NARF,851.0
FOS,CDCA8,986.0
FOS,ORC2,1066.0
FOS,ISG20,733.0
FOS,RANGAP1,534.0
FOS,FZR1,709.0
FOS,ZFP871,690.0
FOS,IFI203,911.0
FOS,TUBGCP2,619.0
FOS,CKAP2L,627.0
FOS,CD1D1,732.0
FOS,MFSD1,1883.0
FOS,MTHFD1,521.0
FOS,CISH,518.0
FOS,TMEM97,693.0
FOS,ARL6IP6,580.0
FOS,CHP1,524.0
FOS,APOE,775.0
FOS,INCENP,561.0
FOS,ASF1B,728.0
FOS,TSPAN33,653.0
FOS,TARS,410.0
FOS,CENPA,401.0
FOS,CCNB2,590.0
FOS,NUDT9,620.0
FOS,WARS,417.0
FOS,E2F8,369.0
FOS,CCNB1,553.0
FOS,GBP2,523.0
FOS,GCNT2,573.0
FOS,SPC24,515.0
FOS,SPHK1,428.0
FOS,MRPL37,523.0
FOS,CDCA4,552.0
FOS,MT2,425.0
FOS,FBXW5,412.0
FOS,RAD51AP1,491.0
FOS,PICALM,477.0
FOS,MNS1,477.0
FOS,RCC1,392.0
FOS,ZDHHC13,453.0
FOS,SLC11A2,544.0
FOS,UHRF1,492.0
FOS,E2F6,356.0
FOS,CDC45,331.0
FOS,ABCB4,529.0
FOS,UAP1,471.0
FOS,ELAC2,462.0
FOS,AQP9,565.0
FOS,BIRC5,584.0
FOS,EBI3,508.0
FOS,MT1,413.0
FOS,MKI67,533.0
FOS,NSDHL,433.0
FOS,CTLA2A,1164.0
FOS,JUN,587.0
FOS,DNPEP,252.0
FOS,KIF22,426.0
FOS,DUSP1,369.0
FOS,EMILIN2,348.0
FOS,VWA5A,293.0
FOS,KPNA3,298.0
FOS,TMC6,335.0
FOS,IARS,383.0
FOS,HSD3B7,425.0
FOS,HAGH,317.0
FOS,CYB5R3,350.0
FOS,MARS,319.0
FOS,TIMM29,226.0
FOS,TMEM129,255.0
FOS,TACC3,255.0
FOS,GOSR2,443.0
FOS,SLC25A21,514.0
FOS,NUP93,151.0
FOS,RBPMS,252.0
FOS,RABIF,274.0
FOS,AURKA,432.0
FOS,DUSP2,389.0
FOS,LEPROT,313.0
FOS,NEURL3,356.0
FOS,CCNA2,233.0
FOS,HPN,323.0
FOS,ZFP655,331.0
FOS,RRM2,304.0
FOS,MAPK9,231.0
FOS,SLC31A1,229.0
FOS,TPX2,228.0
FOS,CAST,293.0
FOS,DUS1L,589.0
FOS,TGM2,419.0
FOS,PQLC3,248.0
FOS,CDC20,269.0
FOS,RGS2,177.0
FOS,LY6A,331.0
FOS,SCFD1,232.0
FOS,LIG1,198.0
FOS,RASSF5,212.0
FOS,UBE2G2,251.0
FOS,GTF2H1,795.0
FOS,ANXA6,235.0
FOS,REXO4,437.0
FOS,HSPH1,233.0
FOS,UBA3,283.0
FOS,PQLC1,217.0
FOS,LONP1,430.0
