,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
slyA,0.6565195,0.7826236,0.8579507,0.7493977,0.8184649,0.7104454,0.7657519,0.7410039,0.6831591,0.7094145,0.6815367,0.6852055,0.6435120,0.7863039,0.8165008,0.7305862,0.7949230,0.6890498,0.6765764,0.8437043,0.8467047,0.6746387,0.7937435,0.7134739,0.7715373,0.6329893,0.7420442,0.6899701,0.6454851,0.5581193,0.6268105,0.6940675,0.6677684,0.7036337,0.7511729,0.6936159,0.6994308,0.7760794,0.7343092,0.8032442,0.7744836,0.7829096,0.7237062,0.7313452,0.5714074,0.6713270,0.7381894,0.7381653,0.7095983,0.8002416,0.6917784,0.7570748,0.8013814,0.7500237,0.8731790,0.6726826
hlyE,0.8955176,0.7149040,0.6376264,0.7218032,0.6664640,0.7850767,0.7149659,0.7830138,0.6512044,0.8503191,0.6271428,0.7478999,0.6208443,0.7683953,0.6943967,0.6318697,0.6722968,0.7149016,0.7133670,0.5917179,0.7290775,0.6929989,0.6752002,0.6894349,0.8414293,0.7350456,0.6453645,0.6007764,0.7347668,0.7359751,0.5932692,0.6122001,0.7225525,0.6809309,0.5512188,0.8086722,0.6534916,0.7771195,0.8053924,0.6868731,0.6710120,0.6024180,0.6188064,0.7145133,0.6664754,0.8214840,0.6764200,0.6969834,0.6511898,0.7934808,0.6115774,0.7481800,0.6318668,0.6992784,0.5969249,0.5508450
hns,0.6070837,0.5430107,0.6724406,0.5733757,0.5046293,0.4358812,0.6029154,0.7308379,0.6579811,0.6556849,0.6383039,0.5499058,0.5864878,0.6295168,0.6156453,0.6043146,0.6751440,0.6287335,0.6655678,0.5581656,0.6771423,0.6810156,0.7999697,0.6270506,0.6145352,0.5914445,0.5031123,0.5689406,0.6239826,0.6757109,0.6531216,0.5769533,0.5783335,0.7024857,0.6254613,0.5552375,0.8152478,0.6119788,0.5685987,0.6726873,0.6352724,0.7044065,0.6450671,0.6459580,0.5554832,0.6715062,0.6312995,0.5979319,0.5518621,0.7162747,0.6688283,0.6012990,0.6265057,0.6074022,0.6990332,0.7316896
cspA,0.8016491,0.6814890,0.7387331,0.6817065,0.8533815,0.7417647,0.7048257,0.8065272,0.6498299,0.6863083,0.7188243,0.6410315,0.7411807,0.7549010,0.7160959,0.6439522,0.7929417,0.7501453,0.7225058,0.6807123,0.7847699,0.7707764,0.6895937,0.8772167,0.6655247,0.6604974,0.7033607,0.6498299,0.7205925,0.7147492,0.6965897,0.7545333,0.8815307,0.5910302,0.6529104,0.7361200,0.7714955,0.6678885,0.7374818,0.8507542,0.8589314,0.8089350,0.6250901,0.8070008,0.7328090,0.7362605,0.7364859,0.6154550,0.7561994,0.7416773,0.6751671,0.7233055,0.7547658,0.6699174,0.7896614,0.7374300
bolA,0.0709606,0.0818336,0.0626497,0.0444696,0.0920655,0.0947556,0.0995540,0.0453086,0.0496666,0.0405525,0.0569855,0.0666331,0.0925531,0.0942823,0.0766558,0.0877779,0.1154864,0.0809818,0.0611530,0.0687553,0.0755715,0.0623045,0.0734661,0.0482311,0.0492911,0.0680799,0.0499000,0.0616338,0.0603796,0.0885811,0.0549956,0.0923314,0.0740071,0.0699459,0.0607046,0.0820546,0.0576197,0.0590696,0.0706981,0.0632684,0.0350647,0.0532534,0.0527668,0.0434460,0.0534991,0.0824466,0.0560434,0.0429320,0.0335681,0.0332407,0.0404116,0.0738313,0.0513045,0.0761579,0.0642033,0.0593561
stpA,0.4245817,0.3262932,0.3913792,0.3286459,0.3243994,0.4150871,0.3874852,0.4449254,0.4785093,0.3890019,0.4422867,0.3833478,0.3241828,0.3285326,0.3100847,0.3292070,0.4001562,0.3004447,0.3883261,0.2645249,0.3230142,0.3646739,0.4506984,0.3710954,0.2946669,0.3784909,0.3934021,0.3401107,0.4213788,0.3897128,0.4073109,0.4661407,0.4288371,0.3415999,0.3433110,0.2932682,0.2909225,0.3949146,0.3832070,0.4111729,0.3498048,0.4368529,0.3176680,0.3189161,0.3985286,0.4073050,0.3910704,0.3059560,0.3110071,0.4353373,0.3090799,0.4248833,0.3775800,0.3386455,0.3500932,0.3350545
bglJ,0.0252749,0.0140556,0.0136429,0.0125667,0.0144602,0.0211298,0.0241760,0.0128411,0.0067490,0.0035029,0.0097825,0.0072523,0.0035195,0.0023822,0.0031768,0.0024116,0.0037335,0.0093931,0.0107542,0.0088946,0.0126467,0.0060620,0.0171994,0.0166122,0.0187977,0.0206745,0.0118085,0.0072137,0.0389598,0.0176653,0.0081592,0.0058498,0.0051817,0.0064174,0.0242718,0.0178929,0.0219400,0.0160320,0.0115737,0.0111734,0.0076272,0.0097054,0.0119684,0.0030384,0.0108968,0.0029391,0.0088705,0.0187480,0.0059294,0.0070445,0.0086167,0.0098967,0.0191993,0.0082906,0.0131887,0.0096316
leuO,0.0396559,0.0242731,0.0592872,0.0106928,0.0315621,0.0304589,0.0467301,0.0329489,0.0289254,0.0215480,0.0456550,0.0311324,0.0352204,0.0318275,0.0151884,0.0372701,0.0143727,0.0582097,0.0183906,0.0240178,0.0259442,0.0333618,0.0259310,0.0434259,0.0207733,0.0237451,0.0238768,0.0404101,0.0433687,0.0191729,0.0229148,0.0344787,0.0406167,0.0411881,0.0411755,0.0349867,0.0476821,0.0157599,0.0192915,0.0176657,0.0222426,0.0250220,0.0217183,0.0462512,0.0215113,0.0266112,0.0218397,0.0180646,0.0340607,0.0284307,0.0597143,0.0355481,0.0344258,0.0235685,0.0196043,0.0312130
cadC,0.4530583,0.3541813,0.5048179,0.5007746,0.4748204,0.5622468,0.6794010,0.5186866,0.6155589,0.4909945,0.5220710,0.7115749,0.4367277,0.5022728,0.4985893,0.4513432,0.4947442,0.4792813,0.4800628,0.4994865,0.3684024,0.4485657,0.4682907,0.4429101,0.4498332,0.4742100,0.4655297,0.4804695,0.5943261,0.5238696,0.4087711,0.5607500,0.5695771,0.4812725,0.6002527,0.4997138,0.4988386,0.4738141,0.4850739,0.5532474,0.5190189,0.4649114,0.5471507,0.4412824,0.5056464,0.6884462,0.5693298,0.5570382,0.5680657,0.5390470,0.4850444,0.4849985,0.4421833,0.5752722,0.4558735,0.3069173
nhaR,0.5989218,0.5255914,0.5187119,0.5449714,0.6614517,0.6834788,0.6037733,0.6255295,0.5821988,0.6279669,0.4492615,0.5805220,0.5227387,0.6729817,0.5173559,0.5392835,0.5526822,0.4994703,0.4452335,0.3464225,0.4749556,0.4632904,0.4894389,0.5801744,0.5681460,0.4221150,0.4996649,0.5057713,0.5403589,0.4141243,0.4088706,0.4501658,0.4669744,0.5729075,0.4984462,0.4967453,0.4599856,0.6005519,0.5001376,0.4919253,0.5473725,0.5116675,0.5378480,0.5070741,0.4606148,0.4898515,0.5981914,0.6152542,0.5680327,0.5589694,0.5601323,0.5915129,0.4986849,0.5533090,0.5070227,0.5246572
