,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
melR,0.4150331,0.4114113,0.4443484,0.3656596,0.3926960,0.3911384,0.4445305,0.4509548,0.4615128,0.4506804,0.4179436,0.3891917,0.4366239,0.4388904,0.4281625,0.3879601,0.3381951,0.4227008,0.4301999,0.5302783,0.4275870,0.3973174,0.5456513,0.4248391,0.3735925,0.3449782,0.3500447,0.4309712,0.4178486,0.4348883,0.4174732,0.5076870,0.4090064,0.4304872,0.3654357,0.3874311,0.4355562,0.4774487,0.4475273,0.5054181,0.3677569,0.3315330,0.3877069,0.3709615,0.5183452,0.4547105,0.3687357,0.4266801,0.3606201,0.4680923,0.3566688,0.5026654,0.4894653,0.3690452,0.3872657,0.4335358
crp,0.6030858,0.6991342,0.7193474,0.6170458,0.6776509,0.6932444,0.6761275,0.7254235,0.7309485,0.8872579,0.6728834,0.7015594,0.7184795,0.7151921,0.6519054,0.6641475,0.6799285,0.5906583,0.6640742,0.7221414,0.6936776,0.6266702,0.6576166,0.6496523,0.7089843,0.6536597,0.6367640,0.6830652,0.6526955,0.6948985,0.7504595,0.6281816,0.7236013,0.6312714,0.7762143,0.7624910,0.6269142,0.6553299,0.6356436,0.6369455,0.7179856,0.7302278,0.7553721,0.7342149,0.6911971,0.7252463,0.7910624,0.6853122,0.5443153,0.7407695,0.7394614,0.7801724,0.6220372,0.6062470,0.7139137,0.6572271
rhaR,0.5005348,0.5382391,0.6102223,0.6184128,0.4836501,0.5149541,0.4402417,0.4965236,0.4723963,0.5583013,0.5630147,0.6709865,0.6555448,0.5231344,0.5261634,0.5445120,0.5172539,0.5524246,0.5655065,0.6267246,0.5590268,0.5530006,0.5574492,0.5138523,0.5048302,0.5894111,0.5414912,0.5007245,0.5887664,0.5204876,0.5214923,0.6279727,0.6433631,0.7033951,0.6072507,0.5831470,0.4959460,0.5116898,0.6364269,0.5414176,0.5322024,0.6067604,0.5521933,0.6255717,0.5725307,0.6045670,0.4151017,0.5945611,0.5115320,0.5749941,0.5314086,0.5225351,0.6935995,0.5759024,0.5781102,0.6109043
rhaS,0.6736158,0.7358211,0.6058764,0.7234336,0.6031185,0.7986659,0.7183552,0.6108401,0.8503417,0.7016012,0.5605074,0.6730650,0.6981958,0.6570950,0.6917612,0.7705823,0.6567418,0.7823286,0.6216412,0.7011539,0.6937202,0.7764841,0.6245121,0.6954384,0.7146453,0.7552341,0.8813532,0.8139777,0.9273083,0.9232904,0.6925887,0.6927048,0.6259664,0.7127207,0.7496979,0.6078857,0.6092822,0.7322134,0.6448092,0.4972690,0.7026812,0.7049401,0.6991157,0.7956798,0.6457930,0.6634171,0.7016679,0.7048809,0.6692388,0.6545210,0.6651537,0.7825779,0.8682334,0.7306753,0.6811886,0.8031127
feaR,0.6362026,0.5802049,0.7543892,0.7131328,0.5798756,0.7075868,0.6573336,0.5751463,0.6792175,0.6752964,0.7061207,0.8540576,0.8693352,0.6802025,0.7541039,0.6948601,0.6576110,0.6728097,0.5704585,0.6771512,0.6851939,0.6560972,0.5437545,0.6298603,0.6546516,0.5810366,0.6504970,0.7409523,0.7812747,0.7494666,0.6718425,0.6096204,0.5622806,0.8003597,0.6103231,0.5824077,0.6706490,0.6844294,0.8286475,0.6774035,0.7727619,0.7962739,0.8635346,0.8026650,0.8357441,0.7798009,0.6988786,0.6212040,0.6178364,0.7584039,0.6182485,0.6538043,0.6270061,0.8462787,0.5759830,0.7530049
malI,0.2812023,0.2074176,0.2231372,0.1901233,0.1915264,0.2042840,0.2167696,0.1972065,0.2557105,0.1610329,0.2014064,0.1832574,0.1886791,0.2371498,0.2246734,0.1987885,0.1634039,0.2025990,0.2256202,0.1715560,0.1357638,0.1856800,0.1927818,0.2552126,0.1896727,0.1503373,0.1416002,0.1845058,0.1534048,0.1598411,0.2460421,0.2576694,0.2272696,0.1856838,0.2325742,0.1549423,0.1874025,0.3003818,0.1838601,0.1787036,0.2030035,0.2319931,0.1824898,0.1768367,0.1996575,0.2226950,0.2212035,0.2427819,0.2230653,0.2105580,0.2727360,0.2586705,0.1947218,0.2163090,0.2075903,0.2576293
zraR,0.4626972,0.5755410,0.6389725,0.6426580,0.6565128,0.6417661,0.7891888,0.6359317,0.6137571,0.5811745,0.6752999,0.6114393,0.5985669,0.6337021,0.5474378,0.5681954,0.5416907,0.5436082,0.6992392,0.6104677,0.6137072,0.5475079,0.6982708,0.7971761,0.6022285,0.7437103,0.6745911,0.7300901,0.7396697,0.8068536,0.6711621,0.4568005,0.5402951,0.4665828,0.5325089,0.4653697,0.5070831,0.5186447,0.4760488,0.4573392,0.4402995,0.5043421,0.5397262,0.5418190,0.5968481,0.4842744,0.5024432,0.4833572,0.4307518,0.5140591,0.5245982,0.4532765,0.4552618,0.5612571,0.4932678,0.5652492
mtlR,0.6116479,0.4801126,0.4400829,0.4386934,0.4998496,0.4212417,0.5740502,0.4695761,0.4664093,0.4798205,0.4730817,0.4245528,0.4190301,0.4156126,0.4673999,0.4957388,0.5353141,0.5066577,0.4330124,0.5254488,0.4944619,0.5402476,0.4986194,0.5694240,0.5026846,0.4614072,0.5845675,0.5736509,0.5088992,0.5701404,0.4581589,0.4694537,0.5751759,0.4060133,0.5145411,0.4173511,0.4935491,0.4149370,0.4676238,0.4119201,0.4951649,0.5047067,0.4597750,0.4868506,0.5888304,0.4486843,0.4728792,0.5647348,0.5183271,0.5606990,0.5561450,0.5131724,0.4365555,0.4780015,0.3496996,0.4014271
rbsR,0.5812336,0.6577681,0.5886552,0.5675314,0.6613910,0.6268386,0.7007897,0.6924886,0.5975133,0.5771745,0.6024854,0.5885647,0.7402787,0.7574651,0.5974087,0.5361326,0.6328820,0.7420660,0.5111381,0.5116257,0.6135899,0.7375476,0.7469722,0.7207164,0.6747275,0.6834500,0.6023162,0.6246962,0.7879207,0.5943931,0.5191579,0.5558253,0.7108661,0.6992966,0.6879850,0.5878291,0.6608868,0.6907727,0.7495124,0.6638795,0.5583782,0.5833956,0.6293322,0.6270987,0.6466510,0.6515082,0.5865437,0.6331109,0.7532751,0.5963034,0.7428381,0.6033583,0.5835479,0.5454172,0.6121552,0.6462117
prpR,0.6792686,0.6865310,0.6611508,0.5333397,0.6160724,0.6985058,0.7305180,0.6996188,0.5532606,0.6956310,0.8732705,0.5950542,0.6931025,0.8099713,0.7591316,0.6772404,0.7274456,0.6095184,0.7322924,0.7398580,0.6853067,0.7310278,0.7191619,0.6243309,0.6604035,0.7612974,0.7792612,0.6194954,0.7866331,0.8659280,0.6698846,0.8641668,0.7922007,0.6995640,0.7099728,0.6995754,0.6633819,0.6863968,0.7017525,0.6906355,0.7113324,0.7374266,0.6960436,0.6105860,0.6571567,0.7694615,0.6490388,0.6698729,0.6548232,0.8131968,0.7013203,0.7397594,0.6951095,0.7049530,0.7512165,0.7236457
