,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
fur,0.5819796,0.5107248,0.4923448,0.4605792,0.5244131,0.5159536,0.5671785,0.3773841,0.3569500,0.5112141,0.3489708,0.4055035,0.4322292,0.3994372,0.4215851,0.3869436,0.3662124,0.3550310,0.4789508,0.4566543,0.5049219,0.4762598,0.3818490,0.4778519,0.3688043,0.3876205,0.4294936,0.3599095,0.2860430,0.3980903,0.3375205,0.3353621,0.3596743,0.3317983,0.3471954,0.4554770,0.4859815,0.4937245,0.5663814,0.4957025,0.5001645,0.3911929,0.5103434,0.5340321,0.4980492,0.5189759,0.5470441,0.4864131,0.5003555,0.3941989,0.5199000,0.5804276,0.4622900,0.5146371,0.4911384,0.5322454
rcnR,0.3018901,0.2376808,0.2885393,0.2478920,0.2847587,0.2471428,0.3072640,0.2668663,0.3372169,0.3479698,0.2574146,0.2246675,0.2543529,0.2317595,0.2963756,0.2480243,0.2953529,0.2423385,0.3278425,0.2278007,0.2427134,0.2329344,0.3007863,0.2397016,0.2901390,0.2568668,0.2873178,0.3908360,0.2571277,0.2631768,0.2396054,0.2285391,0.3202546,0.1861984,0.2420431,0.2023370,0.2753960,0.2284942,0.1995287,0.2418936,0.2031916,0.3161694,0.3118713,0.2703973,0.1909680,0.3347725,0.3196455,0.2818118,0.2847830,0.2732566,0.2240317,0.3020735,0.2920209,0.2848629,0.3193290,0.2666714
metJ,0.1839543,0.1159217,0.1899260,0.1449848,0.1101214,0.0760199,0.1154246,0.0992407,0.1182804,0.1155964,0.0950909,0.1436542,0.2323119,0.2378239,0.1640656,0.1949593,0.1865011,0.1607736,0.1343068,0.1504479,0.2414823,0.1441368,0.2209403,0.1600150,0.1409924,0.1324659,0.1800353,0.1377471,0.1855317,0.1739345,0.2226070,0.2729624,0.2205840,0.3352640,0.2755568,0.3600442,0.2780626,0.2926982,0.2991106,0.1830283,0.2093167,0.1942980,0.1754368,0.1858846,0.1436609,0.1231294,0.1778266,0.2084806,0.2032567,0.1727601,0.2398839,0.2027273,0.1785743,0.2399729,0.2414656,0.1910130
metR,0.3789322,0.3368856,0.3683200,0.3570768,0.4048582,0.3171115,0.2707447,0.3078405,0.3907572,0.4044814,0.4308563,0.3406831,0.4306643,0.3994208,0.3400960,0.3587445,0.2709109,0.3524899,0.2632938,0.3317062,0.3199120,0.2364112,0.3820153,0.3142827,0.3331812,0.4022488,0.3430258,0.3887059,0.3406979,0.3973431,0.2985222,0.2688569,0.3247176,0.3875948,0.4122889,0.2545813,0.2734127,0.3697650,0.2948547,0.2424950,0.2756061,0.2761081,0.2599868,0.2818717,0.2947516,0.2927972,0.2468285,0.3329008,0.2214102,0.3114816,0.3369576,0.2657508,0.2775738,0.2881330,0.2853816,0.3794780
oxyR,0.2064105,0.1711898,0.1371056,0.2094393,0.1985461,0.1796967,0.1524410,0.1990722,0.1291809,0.1543487,0.1191930,0.1791114,0.1711811,0.1481044,0.1512085,0.1418149,0.1218525,0.2065731,0.0980546,0.1752952,0.1674953,0.1397645,0.2199577,0.1703681,0.1959597,0.2106612,0.1302176,0.1179724,0.1348965,0.2228095,0.1124160,0.1800491,0.1491052,0.1764834,0.2203947,0.1043367,0.1112501,0.1321528,0.1178386,0.1841538,0.2025449,0.2095673,0.1382262,0.2210926,0.1373026,0.1230115,0.1568605,0.1799727,0.1468202,0.2087415,0.2075863,0.2986215,0.1575397,0.1636020,0.1505810,0.1458683
purR,0.1889418,0.0597121,0.1165832,0.0811011,0.0984803,0.0716432,0.1553512,0.1426696,0.0924856,0.1330654,0.0957558,0.1805237,0.1505209,0.1184026,0.1548952,0.1089164,0.1028393,0.1211744,0.1754427,0.1535387,0.0816623,0.1253378,0.1360335,0.1386568,0.1130239,0.1468822,0.1107906,0.0779310,0.1469835,0.1033283,0.1509257,0.1952141,0.1637454,0.1949911,0.1746727,0.1878333,0.2232794,0.1119577,0.1420062,0.2471519,0.1491371,0.1203090,0.0829430,0.1079410,0.1112642,0.1097312,0.1879347,0.1286123,0.1070640,0.1189801,0.1191644,0.0950149,0.1191372,0.1201611,0.1226139,0.1908702
soxS,0.1102194,0.1674097,0.1031468,0.0660831,0.0634308,0.0544514,0.1387779,0.1094641,0.1155761,0.0948796,0.0857114,0.0995504,0.0668724,0.0565723,0.0835389,0.0694502,0.0886006,0.0713247,0.0764426,0.0902803,0.0432622,0.0981058,0.0771776,0.0463014,0.0647918,0.0519357,0.0849093,0.0271571,0.0546497,0.0521791,0.0937953,0.0785871,0.1315323,0.1231280,0.1436160,0.1467343,0.1223469,0.1751474,0.1556613,0.0984524,0.1237731,0.1337945,0.1506634,0.1177847,0.1097335,0.1521455,0.1251020,0.1239502,0.1642847,0.1520575,0.0972083,0.1584697,0.1318173,0.1358632,0.0784154,0.1152143
soxR,0.3431582,0.2114000,0.1903886,0.1283703,0.1783601,0.1563271,0.2315253,0.1769063,0.2258728,0.1975548,0.1561970,0.1337917,0.2049502,0.2021164,0.2360279,0.1844739,0.1628933,0.1840706,0.1796741,0.1333520,0.1841085,0.2255870,0.1346429,0.1451764,0.2809069,0.1941961,0.2725858,0.1592594,0.0992772,0.3979792,0.3916510,0.4245702,0.3833767,0.4100775,0.5058388,0.4084695,0.3677636,0.4250315,0.4342465,0.4933768,0.3830651,0.3917941,0.3897735,0.4966827,0.3442377,0.3814754,0.4508402,0.4487032,0.4074472,0.4640169,0.4104009,0.3698608,0.3977160,0.3816011,0.3639707,0.3699035
marR,0.5292247,0.4733887,0.4993352,0.5209987,0.5498006,0.5205955,0.4636128,0.4569463,0.3666771,0.4136058,0.4592749,0.4613828,0.4545844,0.4798245,0.3935565,0.4003117,0.3858605,0.4896566,0.3808975,0.5048123,0.3724422,0.4577549,0.5006592,0.4387360,0.5010922,0.4616675,0.3847866,0.4218054,0.4697128,0.4758305,0.4753779,0.4167036,0.4345136,0.5759720,0.4326299,0.4440207,0.4619908,0.4616072,0.5066159,0.4410167,0.4446609,0.3599725,0.5392514,0.3709610,0.4006302,0.5190087,0.4172577,0.4338235,0.4145997,0.5512592,0.4487236,0.5088285,0.5594045,0.4184128,0.4803806,0.4768798
marA,0.5014275,0.5248986,0.4185824,0.5463589,0.5265221,0.4505598,0.5298580,0.5221590,0.5385246,0.5522216,0.5182674,0.5309339,0.4614328,0.4602964,0.5848406,0.4058841,0.4539481,0.5702064,0.4479686,0.6709296,0.4999723,0.5442844,0.6359604,0.6736727,0.5004738,0.4687805,0.6108176,0.5263080,0.4713872,0.5180281,0.6597923,0.6294267,0.5191561,0.5330351,0.4502345,0.4824796,0.4437687,0.5370489,0.5914282,0.4751913,0.6323592,0.5043856,0.4716643,0.4966503,0.5261394,0.5038622,0.4954654,0.5013076,0.4822768,0.5190563,0.4289714,0.5446712,0.5554739,0.5215086,0.6648597,0.5529530
