Gene1,Gene2,Type
ihfB,hipA,+
ihfB,hipB,+
ihfB,yeiL,+
ihfB,tdcA,+
ihfB,yiaJ,+
ihfB,ompR,+
ihfB,tdcG,+
ihfB,tdcF,+
ihfB,tdcB,+
ihfB,tdcD,+
ihfB,tdcE,+
ihfB,tdcC,+
ihfB,lyxK,+
ihfB,yiaN,+
ihfB,yiaO,+
ihfB,sgbH,+
ihfB,sgbE,+
ihfB,sgbU,+
ihfB,yiaK,+
ihfB,yiaL,+
ihfB,yiaM,+
ihfB,sra,+
ihfB,ompC,+
ihfB,ompF,+
ihfB,micF,+
hipA,hipB,+
hipB,hipA,+
tdcA,tdcG,+
tdcA,tdcF,+
tdcA,tdcB,+
tdcA,tdcD,+
tdcA,tdcE,+
tdcA,tdcC,+
tdcR,tdcA,+
tdcR,tdcG,+
tdcR,tdcF,+
tdcR,tdcB,+
tdcR,tdcD,+
tdcR,tdcE,+
tdcR,tdcC,+
yiaJ,lyxK,+
yiaJ,yiaN,+
yiaJ,yiaO,+
yiaJ,sgbH,+
yiaJ,sgbE,+
yiaJ,sgbU,+
yiaJ,yiaK,+
yiaJ,yiaL,+
yiaJ,yiaM,+
ompR,bolA,+
ompR,csgD,+
ompR,sra,+
ompR,ompC,+
ompR,csgG,+
ompR,csgF,+
ompR,csgE,+
ompR,ompF,+
ompR,micF,+
csgD,csgG,+
csgD,csgF,+
csgD,csgE,+
