Gene1,Gene2,Type
baeR,mdtA,+
baeR,mdtD,+
baeR,mdtB,+
baeR,baeS,+
baeR,spy,+
baeR,mdtC,+
cpxR,baeR,+
cpxR,csgD,+
cpxR,csgF,+
cpxR,csgE,+
cpxR,csgG,+
cpxR,ompF,+
cpxR,mdtA,+
cpxR,mdtD,+
cpxR,mdtB,+
cpxR,baeS,+
cpxR,csgB,+
cpxR,spy,+
cpxR,csgA,+
cpxR,csgC,+
cpxR,mdtC,+
csgD,csgF,+
csgD,csgE,+
csgD,csgG,+
csgD,csgB,+
csgD,csgA,+
csgD,csgC,+
rstA,csgD,+
rstA,csgF,+
rstA,csgE,+
rstA,csgG,+
rstA,ompF,+
ompR,csgD,+
ompR,bolA,+
ompR,flhC,+
ompR,csgF,+
ompR,csgE,+
ompR,csgG,+
ompR,sra,+
ompR,ompF,+
rcsB,csgD,+
rcsB,rcsA,+
rcsB,flhC,+
rcsB,csgF,+
rcsB,csgE,+
rcsB,csgG,+
rcsB,sra,+
rcsB,wcaB,+
rcsB,wzc,+
rcsB,wcaA,+
rcsB,wza,+
rcsB,bdm,+
rcsB,wzb,+
rcsB,rprA,+
rcsB,osmB,+
rcsA,csgD,+
rcsA,flhC,+
rcsA,csgF,+
rcsA,csgE,+
rcsA,csgG,+
rcsA,sra,+
rcsA,wcaB,+
rcsA,wzc,+
rcsA,wcaA,+
rcsA,wza,+
rcsA,bdm,+
rcsA,wzb,+
rcsA,rprA,+
rcsA,osmB,+
hdfR,flhC,+
