Gene1,Gene2,Type
slyA,hlyE,+
hns,hlyE,+
hns,bolA,+
hns,stpA,+
hns,bglJ,+
hns,leuO,+
hns,nhaR,+
hns,bglF,+
hns,bglB,+
hns,bglG,+
hns,yjjQ,+
hns,nhaA,+
hns,osmC,+
hns,cadB,+
hns,cadA,+
hns,gspB,+
hns,yciF,+
hns,proW,+
hns,smtA,+
hns,gspO,+
hns,yciG,+
hns,proV,+
cspA,hns,+
bolA,ampC,+
stpA,bglF,+
stpA,bglB,+
stpA,bglG,+
bglJ,bglF,+
bglJ,bglB,+
bglJ,bglG,+
leuO,bglJ,+
leuO,cadC,+
leuO,bglF,+
leuO,bglB,+
leuO,bglG,+
leuO,yjjQ,+
leuO,leuA,+
leuO,leuC,+
leuO,leuL,+
cadC,cadB,+
cadC,cadA,+
nhaR,nhaA,+
nhaR,osmC,+
nhaR,pgaC,+
nhaR,pgaA,+
nhaR,pgaB,+
