Gene1,Gene2,Type
hupA,micF,+
hupA,pgm,+
hupA,seqA,+
hupA,tyrP,+
hupA,mtr,+
hupA,galM,+
hupA,galK,+
hupA,galE,+
fis,hupA,+
fis,mtlR,+
fis,marR,+
fis,marA,+
fis,glcC,+
fis,xylR,+
fis,hupB,+
fis,marB,+
fis,xylH,+
fis,xylF,+
fis,xylG,+
fis,mtlD,+
fis,mtlA,+
mtlR,mtlD,+
mtlR,mtlA,+
marR,marA,+
marR,marB,+
marA,marR,+
marA,rob,+
marA,putA,+
marA,marB,+
marA,micF,+
marA,zwf,+
marA,inaA,+
marA,nfo,+
marA,ygiA,+
marA,ygiB,+
marA,tolC,+
marA,ygiC,+
marA,fumC,+
rob,marR,+
rob,marA,+
rob,marB,+
rob,micF,+
rob,zwf,+
rob,inaA,+
rob,nfo,+
rob,ygiA,+
rob,ygiB,+
rob,tolC,+
rob,ygiC,+
rob,fumC,+
xylR,xylH,+
xylR,xylF,+
xylR,xylG,+
hupB,micF,+
hupB,pgm,+
hupB,seqA,+
hupB,tyrP,+
hupB,mtr,+
hupB,galM,+
hupB,galK,+
hupB,galE,+
