Gene1,Gene2,Type
fur,rcnR,+
fur,metJ,+
fur,purR,+
fur,sodA,+
fur,fhuF,+
fur,rcnA,+
fur,metH,+
fur,mntH,+
rcnR,rcnA,+
metJ,metR,+
metJ,ahpF,+
metJ,ahpC,+
metJ,metE,+
metJ,metA,+
metR,glyA,+
metR,metE,+
metR,metA,+
metR,metH,+
oxyR,fur,+
oxyR,ahpF,+
oxyR,ahpC,+
oxyR,uof,+
oxyR,fhuF,+
oxyR,mntH,+
purR,glyA,+
purR,purA,+
soxS,fur,+
soxS,marR,+
soxS,marA,+
soxS,fumC,+
soxS,marB,+
soxS,sodA,+
soxS,rfaY,+
soxS,poxB,+
soxS,fpr,+
soxS,uof,+
soxS,pqiA,+
soxS,pqiB,+
soxS,rfaZ,+
soxS,nfo,+
soxS,inaA,+
soxR,soxS,+
soxR,fumC,+
marR,marA,+
marR,marB,+
marA,marR,+
marA,fumC,+
marA,marB,+
marA,sodA,+
marA,rfaY,+
marA,poxB,+
marA,fpr,+
marA,pqiA,+
marA,pqiB,+
marA,rfaZ,+
marA,purA,+
marA,nfo,+
marA,inaA,+
