,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
hupA,0.3005596,0.2287448,0.2359468,0.2057257,0.2257576,0.2719403,0.2454463,0.2337268,0.3454303,0.3788002,0.3486168,0.3790581,0.3552258,0.3489203,0.3805405,0.2834234,0.3829189,0.2709708,0.2485974,0.2601068,0.3911565,0.2419279,0.3098895,0.3350661,0.4198495,0.3636722,0.3767746,0.3955421,0.4586468,0.3056520,0.3134165,0.2743365,0.2621902,0.3442236,0.3614809,0.3729151,0.3250279,0.2749235,0.2631251,0.3719844,0.2778248,0.2863490,0.3321791,0.2778733,0.3371617,0.3439012,0.2957165,0.2976575,0.2692567,0.2596829,0.3233812,0.3719497,0.3023590,0.3105352,0.2677918,0.3628723
fis,0.2964546,0.2547823,0.2674166,0.3110145,0.3160469,0.3621492,0.3469070,0.2456740,0.2630524,0.3011972,0.2303780,0.2333267,0.2473891,0.2794035,0.2314422,0.2775443,0.2506736,0.3085098,0.2761090,0.2708162,0.2856801,0.2887061,0.2776599,0.2609275,0.2088706,0.2998945,0.2103973,0.2306396,0.2482197,0.2446207,0.2737356,0.2216411,0.2240702,0.1995832,0.2283190,0.2550783,0.2418881,0.2571542,0.2471054,0.2813535,0.2656535,0.3106851,0.2416423,0.2536431,0.3566101,0.3158161,0.2880752,0.2533193,0.2818539,0.2623107,0.3046185,0.2775851,0.2599405,0.4156247,0.3800022,0.2131194
mtlR,0.1624790,0.2254037,0.1676421,0.1751348,0.1744154,0.2226669,0.1575159,0.1646471,0.1917193,0.1842988,0.1975205,0.1565006,0.1827870,0.1810120,0.1393280,0.2007534,0.2306347,0.1542440,0.1533966,0.1987839,0.1967289,0.1610259,0.1624423,0.1574705,0.2529397,0.2556823,0.2075134,0.2534154,0.2078653,0.1855071,0.2301847,0.2009097,0.2103293,0.1351060,0.1588737,0.2060605,0.1728876,0.1748362,0.2150904,0.1621281,0.2179621,0.1837341,0.1937561,0.1724677,0.1986240,0.1618638,0.1898055,0.1781657,0.2195384,0.1765161,0.1761304,0.2211077,0.1554160,0.1621913,0.1557902,0.2157806
marR,0.3024288,0.3154695,0.2488234,0.3387231,0.3123478,0.3211209,0.3204058,0.2561360,0.2277358,0.2849871,0.3070989,0.2770576,0.3145356,0.3195838,0.3329730,0.2919886,0.2243163,0.3234537,0.3059380,0.2599556,0.3342146,0.2366700,0.2039254,0.2657438,0.2577648,0.3676860,0.3270958,0.2493423,0.2401744,0.3843241,0.2056065,0.2322755,0.2705858,0.3534952,0.3207987,0.3062696,0.3325245,0.3156920,0.3999554,0.3326914,0.3707201,0.3191089,0.3051940,0.3252467,0.3208159,0.2678091,0.2387627,0.3232303,0.3225742,0.2572699,0.3102796,0.2852148,0.3193569,0.2845225,0.3025478,0.2918786
marA,0.3058490,0.3170619,0.2915563,0.3522227,0.2799799,0.3568282,0.3376322,0.4095046,0.2642110,0.3202899,0.3523019,0.4204247,0.2962223,0.2957087,0.3008289,0.3102887,0.3183130,0.2922724,0.2305023,0.4001628,0.2180022,0.3073298,0.3422985,0.3151994,0.3006879,0.2927008,0.2824013,0.3067637,0.2833707,0.2782716,0.2974351,0.3127147,0.2923724,0.2434280,0.2656211,0.3712510,0.3118680,0.3115812,0.3143859,0.3998423,0.3001420,0.3163943,0.2496164,0.3782437,0.2891576,0.2422178,0.2550989,0.2625051,0.2722075,0.2267834,0.2949814,0.2278408,0.2265706,0.2843874,0.2441050,0.2753111
rob,0.6445465,0.5392753,0.6046871,0.4900342,0.6513182,0.7585113,0.5577052,0.4667696,0.6508133,0.5340262,0.6373600,0.5298015,0.6281687,0.6419881,0.6250975,0.6336728,0.5372196,0.5397909,0.4628933,0.5862422,0.5960569,0.6133341,0.6033653,0.5700631,0.6010903,0.6556313,0.5230412,0.5379681,0.5058192,0.6532984,0.5767098,0.6787194,0.6857346,0.6209677,0.6086285,0.5202725,0.5785247,0.6652186,0.6334481,0.5944867,0.5433714,0.4989228,0.5711777,0.5433026,0.5646469,0.6368615,0.5708930,0.5205454,0.5491884,0.5245899,0.6910653,0.5265698,0.5584645,0.6401107,0.5038194,0.5336524
putA,0.1263623,0.1208927,0.0781167,0.0906295,0.1312457,0.1225601,0.1358861,0.1304082,0.1552325,0.1328980,0.1336668,0.1537756,0.0991562,0.1242782,0.1038487,0.1119742,0.0959713,0.1456647,0.0887876,0.1162623,0.1218760,0.1476484,0.1412792,0.1555860,0.1152926,0.1401269,0.1166949,0.1869732,0.1151474,0.1472078,0.1216324,0.1649189,0.1212793,0.1439145,0.1170549,0.1188355,0.2041633,0.1296423,0.1248776,0.1417019,0.1362251,0.1945323,0.1549187,0.1746323,0.1599121,0.1293045,0.1441323,0.0936208,0.0872304,0.1002059,0.0909064,0.1375513,0.0930576,0.1458267,0.1415565,0.1891478
glcC,0.4522215,0.4408170,0.5469592,0.4193062,0.4606143,0.3573258,0.3880300,0.4517454,0.3748437,0.2726827,0.4158576,0.4735705,0.4658734,0.3553742,0.3403983,0.4047806,0.3289738,0.4345892,0.3615731,0.4980974,0.5238166,0.4600082,0.5014503,0.4106464,0.3986644,0.4320077,0.5194606,0.4567594,0.5022685,0.4989191,0.4436625,0.4945527,0.4267275,0.4952373,0.4862066,0.3824518,0.4531493,0.5302542,0.4697866,0.5204720,0.4854859,0.3981184,0.4869115,0.3635055,0.4186856,0.3979904,0.3950262,0.5059621,0.4151514,0.4843412,0.5551650,0.4540046,0.4435359,0.4920579,0.3680297,0.5667908
xylR,0.7535908,0.6880529,0.5958605,0.6893914,0.8510627,0.6448524,0.6308045,0.7177242,0.7154812,0.6742733,0.7112621,0.6635001,0.7246349,0.6880294,0.7061742,0.6825538,0.6106208,0.6439314,0.6681440,0.6094330,0.5845992,0.6199907,0.7040239,0.5947694,0.7734212,0.6744185,0.7391517,0.6167427,0.5839210,0.5700309,0.7325825,0.7212697,0.7299198,0.6720272,0.6470268,0.6929677,0.6302507,0.6952350,0.5957695,0.7075267,0.6708569,0.5662411,0.6707239,0.6170526,0.6868382,0.6125076,0.7459059,0.7248314,0.7337009,0.6724037,0.7559017,0.6861589,0.7219552,0.6828140,0.6926531,0.7170423
hupB,0.6619519,0.8213378,0.6567368,0.7473445,0.6709556,0.6328432,0.5955816,0.5832619,0.7119146,0.6247852,0.6225783,0.6551309,0.6666004,0.6124718,0.8139011,0.6992802,0.5218798,0.5891286,0.6182489,0.6572062,0.6441572,0.6273839,0.5807035,0.7380612,0.6481964,0.6463791,0.6039881,0.6907394,0.6017626,0.6564915,0.7638537,0.6557537,0.6710438,0.8075412,0.6833626,0.7049397,0.6325971,0.6368313,0.6264866,0.7592160,0.7614488,0.6472810,0.7089538,0.6748356,0.6608077,0.5693618,0.7970731,0.6793490,0.6455070,0.8061679,0.7051484,0.6236112,0.7210594,0.7157744,0.6794925,0.6467056
