,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
ihfA,0.4690470,0.4439389,0.4067159,0.3897415,0.4063028,0.4338073,0.4676326,0.3991163,0.4146093,0.4390369,0.4208343,0.4709852,0.4600359,0.4757330,0.3149822,0.3593948,0.3853102,0.4780471,0.5091092,0.5059647,0.3674260,0.3950501,0.3307372,0.4776198,0.4007586,0.4779267,0.4016652,0.4219228,0.4158361,0.3253018,0.4203356,0.3529984,0.4874128,0.3289194,0.3648110,0.4939124,0.3843726,0.3595776,0.4382458,0.4197503,0.3572467,0.4746147,0.3704467,0.4996976,0.3317882,0.4422114,0.5301247,0.4676444,0.4866842,0.4719277,0.4782874,0.3978025,0.4200098,0.3997566,0.3698203,0.3629017
hipB,0.4467484,0.3636286,0.3799548,0.3510261,0.3711336,0.4496580,0.4189011,0.4051938,0.5169143,0.3214319,0.3712139,0.4098121,0.3655817,0.4133682,0.3246864,0.3647281,0.4411811,0.3680173,0.3287456,0.4428484,0.3244323,0.3900554,0.3631739,0.4071127,0.3915276,0.4260564,0.4422319,0.2985131,0.3551742,0.3007895,0.4272491,0.4648907,0.4791624,0.4988859,0.4006579,0.4350414,0.3797104,0.3429186,0.4317795,0.4410821,0.4361050,0.3901913,0.3072341,0.3904527,0.3025677,0.4016838,0.3249033,0.2532973,0.2790712,0.4668299,0.3838789,0.3718197,0.3668870,0.4252177,0.4422050,0.3312343
hipA,0.1331651,0.1104600,0.1753286,0.2000032,0.1597773,0.1526250,0.1395447,0.1316949,0.1096261,0.1296489,0.1950569,0.1717523,0.1399593,0.1394194,0.1618241,0.1988016,0.2381414,0.1752935,0.1651028,0.1202355,0.1376905,0.0759632,0.1534028,0.1480396,0.1489924,0.1696674,0.1379690,0.1676563,0.2014069,0.1288458,0.1811402,0.2147656,0.2165175,0.2181768,0.1373026,0.2002605,0.1279057,0.1982691,0.2039332,0.1313151,0.1235464,0.1446753,0.1775576,0.1363416,0.1621488,0.1412263,0.1647849,0.1712445,0.2476997,0.1258882,0.1974282,0.1884250,0.1039409,0.1774070,0.1307372,0.1576554
yeiL,0.6936271,0.6085636,0.6500559,0.7082807,0.6414123,0.7082409,0.7139829,0.6349972,0.6666116,0.5394615,0.6526722,0.6156224,0.5865867,0.7355958,0.5941843,0.7376794,0.7081478,0.6913900,0.6713725,0.7857030,0.6840723,0.6372304,0.6278157,0.7228992,0.6833067,0.6262638,0.5690074,0.5453202,0.6646844,0.6579234,0.5446233,0.6067460,0.7156687,0.6079238,0.6026410,0.6357745,0.7243818,0.5931574,0.5908584,0.5170698,0.5398125,0.7076877,0.6471123,0.5284405,0.6089546,0.6263031,0.5076783,0.5826591,0.6606272,0.6750168,0.6160441,0.6356477,0.5773548,0.5723553,0.6402927,0.6498961
tdcA,0.6752884,0.6699448,0.7349756,0.8329810,0.6865654,0.7234410,0.7355075,0.6724060,0.7035664,0.6859012,0.6386808,0.6663569,0.7815170,0.6293900,0.6170514,0.6208327,0.7384771,0.6986958,0.6946882,0.6301026,0.7386607,0.9197647,0.7950935,0.6665483,0.6522447,0.7342953,0.7820193,0.7383097,0.6395166,0.4994154,0.6275460,0.6136394,0.5142314,0.5923258,0.6283959,0.6076676,0.6433893,0.7236187,0.5550633,0.6228765,0.6738323,0.5943338,0.6351231,0.5752233,0.6764043,0.6726777,0.6398390,0.5913958,0.6866150,0.6068564,0.6612231,0.6926121,0.6637944,0.5821025,0.6651277,0.6722674
tdcR,0.7348610,0.6137858,0.5642939,0.6156242,0.6548791,0.5752606,0.5148339,0.4391903,0.5401600,0.4837777,0.4711185,0.5192259,0.4984683,0.6319535,0.4295846,0.5046522,0.4493799,0.4832413,0.4852761,0.4357711,0.3497550,0.3998530,0.5032425,0.4612324,0.4796029,0.3621987,0.5107802,0.4243241,0.4584691,0.5466432,0.4981668,0.5699688,0.5186397,0.7036949,0.6103220,0.6665011,0.7461611,0.7525197,0.7688604,0.7118930,0.6406090,0.6373956,0.6323290,0.7361511,0.6667846,0.6354562,0.5924129,0.6947308,0.7061992,0.6827357,0.6458853,0.6430153,0.6346829,0.5381422,0.6335108,0.6860870
yiaJ,0.0897696,0.0587287,0.0744282,0.0967694,0.0597371,0.0616946,0.1053215,0.0671653,0.1159143,0.0681989,0.0828726,0.0748431,0.0530939,0.0702014,0.0859551,0.0634321,0.0930640,0.0843967,0.0789585,0.0635426,0.0574132,0.0435517,0.0622519,0.0513943,0.0740525,0.1209161,0.0931852,0.0656207,0.1051406,0.0937062,0.0686878,0.0834527,0.0727831,0.0736543,0.1039916,0.0861655,0.0614080,0.0611275,0.0505497,0.0417639,0.0610569,0.0904223,0.0789102,0.0698513,0.0377692,0.0725637,0.0842264,0.0918836,0.0853361,0.0973651,0.0736397,0.0539419,0.0462035,0.0716249,0.1276377,0.0703964
ompR,0.4387744,0.3279512,0.2601395,0.1721082,0.1856392,0.1508638,0.1222080,0.0947754,0.1138047,0.0944751,0.1310576,0.1311773,0.0949531,0.1053848,0.1102778,0.0928434,0.1475161,0.0952735,0.1464906,0.1368067,0.1208359,0.1112476,0.0993331,0.1355453,0.1548959,0.1370944,0.1069945,0.1005952,0.1569199,0.2053158,0.3016165,0.3329345,0.4381217,0.4164051,0.3993442,0.3619738,0.4548464,0.4114585,0.5134256,0.3453613,0.4149386,0.3244067,0.3677008,0.3914001,0.5345119,0.4261509,0.4499496,0.4293844,0.4162338,0.4129792,0.3446243,0.3947059,0.3749899,0.5132708,0.4517270,0.3594006
bolA,0.5318032,0.6312684,0.7264726,0.6177283,0.5712155,0.4912878,0.6019528,0.6041711,0.6817308,0.7515145,0.7369580,0.6876746,0.6494667,0.7034760,0.8593602,0.6987227,0.6986635,0.6290862,0.7602541,0.6066357,0.6444262,0.6925206,0.7272900,0.7087377,0.6788822,0.7883852,0.7351300,0.6908347,0.7165943,0.6689581,0.7372554,0.6878544,0.6703418,0.6650213,0.6654271,0.6744468,0.7213361,0.6439438,0.5992966,0.5458993,0.5143902,0.4513479,0.4801308,0.4902957,0.5121577,0.4665980,0.4801873,0.4631836,0.5198271,0.5662376,0.6007346,0.6071944,0.5856262,0.5170027,0.4336411,0.4278349
csgD,0.6057253,0.4507754,0.4705396,0.5082491,0.6004142,0.4291283,0.4411454,0.3522702,0.3430846,0.4918646,0.4448803,0.3967386,0.4939322,0.4952217,0.3800410,0.3758600,0.3021020,0.4487820,0.4313552,0.4194666,0.3530292,0.4223314,0.3761023,0.3641991,0.3644288,0.3750271,0.4557923,0.3571106,0.3706040,0.3250652,0.3275665,0.3915914,0.3432265,0.3691567,0.4206044,0.4142313,0.5419891,0.4663229,0.5218956,0.4651887,0.6052045,0.4646378,0.6140620,0.5092327,0.5534268,0.5383462,0.4490310,0.4902311,0.4952717,0.5863473,0.4849799,0.5679599,0.4227469,0.6001583,0.5334156,0.4920759
tdcF,0.5975033,0.6978058,0.7759911,0.5998892,0.6701781,0.7625131,0.7655606,0.6137146,0.6690026,0.6996678,0.6654515,0.6118073,0.6599332,0.6962200,0.7213879,0.5616968,0.7652212,0.6297524,0.7124382,0.6863108,0.6852248,0.6921393,0.6754096,0.7360152,0.6774236,0.6838369,0.6575433,0.6518580,0.6309577,0.7627955,0.7556994,0.7980118,0.7467058,0.7286972,0.6455151,0.7029932,0.7517705,0.7563387,0.7204488,0.6718288,0.8303890,0.6441746,0.6773951,0.6279009,0.7508526,0.6960323,0.6950846,0.7910536,0.5551122,0.6170230,0.7176462,0.7159465,0.6825004,0.7022327,0.6645933,0.6128451
