Gene1,Gene2,Type
melR,melA,+
melR,melB,+
crp,melR,+
crp,rhaR,+
crp,rhaS,+
crp,feaR,+
crp,malI,+
crp,zraR,+
crp,mtlR,+
crp,rbsR,+
crp,prpR,+
crp,rbsK,+
crp,rhaB,+
crp,malY,+
crp,rbsB,+
crp,prpB,+
crp,prpE,+
crp,rhaA,+
crp,melA,+
crp,prpD,+
crp,rbsD,+
crp,malX,+
crp,rbsA,+
crp,melB,+
crp,zraS,+
crp,rhaD,+
crp,prpC,+
crp,rbsC,+
crp,rhaT,+
crp,mtlD,+
crp,mtlA,+
crp,ychH,+
crp,agp,+
rhaR,rhaS,+
rhaS,rhaR,+
rhaS,rhaB,+
rhaS,rhaA,+
rhaS,rhaD,+
rhaS,rhaT,+
malI,malY,+
malI,malX,+
zraR,zraS,+
mtlR,mtlD,+
mtlR,mtlA,+
rbsR,rbsK,+
rbsR,rbsB,+
rbsR,rbsD,+
rbsR,rbsA,+
rbsR,rbsC,+
prpR,prpB,+
prpR,prpE,+
prpR,prpD,+
prpR,prpC,+
