Gene1,Gene2,Type
argP,dnaA,+
argP,recF,+
argP,dnaN,+
argP,nrdA,+
argP,nrdB,+
dnaA,recF,+
dnaA,dnaN,+
dnaA,nrdA,+
dnaA,nrdB,+
dnaA,guaB,+
dnaA,guaA,+
phoB,argP,+
phoB,phnK,+
phoB,phnP,+
phoB,phnH,+
phoB,psiF,+
phoB,phnG,+
nrdR,nrdA,+
nrdR,nrdB,+
fis,nrdA,+
fis,mtlR,+
fis,marR,+
fis,nrdB,+
fis,guaB,+
fis,mtlD,+
fis,mtlA,+
fis,guaA,+
fis,marB,+
fis,glyU,+
fis,valX,+
fis,lysV,+
fis,glnV,+
fis,leuV,+
fis,pheU,+
fis,topA,+
fis,aspV,+
fis,thrU,+
fis,alaW,+
fis,tyrU,+
mtlR,mtlD,+
mtlR,mtlA,+
marR,marB,+
