,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
lldR,0.2539270,0.2607019,0.2565355,0.2339397,0.3712933,0.3335903,0.4076748,0.3789571,0.3052508,0.4056216,0.4228410,0.4662363,0.4922955,0.5340104,0.5980492,0.4441137,0.5568903,0.4863722,0.6179410,0.5244430,0.5108754,0.5784833,0.4821285,0.5230446,0.4179365,0.5214131,0.6920351,0.5244720,0.5372399,0.6081050,0.5146147,0.4307309,0.3776394,0.3824499,0.3395061,0.3458452,0.4249642,0.3823118,0.3831520,0.4138775,0.2385599,0.2248369,0.3180228,0.3227090,0.3066339,0.2739086,0.2301363,0.3963821,0.2826886,0.2609455,0.2969234,0.2835525,0.2921548,0.3210497,0.3504829,0.3172988
arcA,0.7977295,0.5548702,0.5088370,0.5373532,0.4651220,0.5214974,0.4285546,0.5056059,0.4187885,0.4868561,0.5156943,0.4220903,0.4013653,0.4592937,0.5431556,0.4358683,0.5060249,0.5564145,0.5550044,0.5523974,0.4633141,0.5056172,0.5050823,0.6220265,0.3800064,0.5583540,0.5069869,0.4261073,0.5198660,0.7246895,0.7308824,0.7069441,0.7105130,0.9166620,0.6966729,0.7359034,0.8814489,0.8971495,0.7333917,0.6774388,0.7623813,0.6645303,0.7667284,0.8920786,0.6928562,0.7974334,0.8757027,0.7264895,0.6597850,0.6645868,0.7182431,0.6989526,0.6941162,0.7598788,0.6937810,0.8497983
betI,0.3478316,0.4064035,0.3216275,0.4384216,0.4627822,0.4955502,0.4843192,0.5252050,0.4081185,0.5083164,0.3568928,0.4840999,0.5407104,0.6759811,0.5241526,0.3795075,0.4322779,0.4572305,0.4334395,0.4950984,0.5105325,0.5410997,0.4774781,0.4728178,0.4583790,0.4578065,0.5240674,0.4478927,0.5371285,0.5245001,0.4183415,0.3458744,0.5087102,0.3723578,0.3570616,0.4155514,0.3828247,0.2997101,0.3515136,0.3022905,0.2737222,0.3510426,0.4419120,0.3311471,0.4711678,0.3730726,0.3438183,0.3138888,0.3336447,0.3626403,0.4118769,0.3873437,0.3645502,0.3891755,0.3253909,0.3823183
xylR,0.1590396,0.0679271,0.1283322,0.1146135,0.0935677,0.1398689,0.1168278,0.1325981,0.1159282,0.0877437,0.0755625,0.1110712,0.1081823,0.0669592,0.1102073,0.1604888,0.0556252,0.1284418,0.1212156,0.1707211,0.1425588,0.1321546,0.1258394,0.1211382,0.0841713,0.1128055,0.1004099,0.0981725,0.1529487,0.0945733,0.0720826,0.0846986,0.1251515,0.0832441,0.1355936,0.1297950,0.1714584,0.2011043,0.2004386,0.2076332,0.1623608,0.1634774,0.1685559,0.1482061,0.1729046,0.1248554,0.1081451,0.1362377,0.1083084,0.1116468,0.1367600,0.1013664,0.1242865,0.1590185,0.1363115,0.1302493
gadX,0.8460270,0.6094627,0.7025709,0.7294444,0.7207268,0.5600907,0.6226156,0.5682666,0.5783981,0.6201348,0.6480813,0.6921152,0.6942182,0.6288182,0.6982755,0.6667316,0.7358870,0.6185543,0.5803904,0.5856119,0.6362136,0.5877344,0.5651011,0.6300192,0.5477207,0.6188536,0.6679232,0.6206173,0.5280112,0.7213160,0.7572069,0.7148514,0.7428070,0.6383809,0.7746987,0.7768072,0.8053493,0.5763768,0.6274599,0.6650958,0.6584141,0.7255431,0.6632964,0.7780257,0.7033913,0.8291893,0.7480627,0.7437370,0.6276311,0.7314998,0.7247420,0.8016382,0.7711363,0.7475308,0.7340354,0.6911935
torR,0.4172223,0.4781010,0.5008353,0.4064113,0.5028313,0.4253100,0.5128808,0.4281252,0.4536645,0.4635010,0.4605227,0.5058243,0.4356053,0.4868912,0.5600665,0.5198223,0.3885345,0.3898963,0.3806989,0.4443681,0.3679729,0.4425314,0.5301496,0.5088188,0.4100196,0.4206631,0.4260430,0.3653872,0.4238613,0.5044730,0.3494966,0.5574130,0.4452878,0.4323658,0.4656449,0.5711974,0.5214478,0.4038575,0.3786365,0.3868892,0.4422854,0.4502321,0.3500352,0.5298953,0.4488726,0.4232680,0.5134789,0.4434463,0.4652634,0.4558394,0.4218487,0.4881575,0.5425393,0.4341734,0.5255599,0.4317808
rutR,0.4082298,0.4812598,0.5307668,0.4456426,0.5259814,0.4900956,0.4240233,0.5136021,0.4489898,0.5081960,0.5456858,0.4347117,0.4057338,0.4654433,0.3455771,0.4693570,0.4845544,0.4910982,0.4079004,0.4290865,0.4346592,0.5418807,0.4391377,0.4646842,0.5540623,0.5128008,0.4549354,0.5728231,0.4029991,0.5213054,0.4364691,0.4702865,0.3724863,0.5231512,0.5797974,0.4345317,0.5125862,0.4811271,0.3774385,0.3905281,0.4095825,0.4434188,0.4169507,0.4521488,0.5089522,0.4754888,0.5468882,0.4507189,0.5363291,0.5677120,0.5626238,0.5300455,0.5182933,0.4791809,0.4788131,0.3648798
gadW,0.2738511,0.3132564,0.3027716,0.3156343,0.3210662,0.3607159,0.2922658,0.3122778,0.2391455,0.2997391,0.2766657,0.2593695,0.2159080,0.2610718,0.2493056,0.3407823,0.2851392,0.3371756,0.3011165,0.2739967,0.3742461,0.3156867,0.2606782,0.3255476,0.3004854,0.3096987,0.3009733,0.2461006,0.3179900,0.2806908,0.1867518,0.2968371,0.3137294,0.3259311,0.3523657,0.2452360,0.2298961,0.2784844,0.2760526,0.3916968,0.2839872,0.2562523,0.2837383,0.2339332,0.2255863,0.2355615,0.3159649,0.2809691,0.2411479,0.2784996,0.2589028,0.2883067,0.2747962,0.2951088,0.3077028,0.2607553
nemR,0.3000155,0.3007302,0.3055224,0.2881306,0.2676507,0.2400009,0.3567764,0.3047074,0.3760748,0.3001015,0.2764125,0.2989633,0.2962459,0.3484160,0.2747131,0.2811712,0.3284304,0.2517749,0.2658264,0.3175373,0.2971854,0.3147696,0.2360622,0.3262347,0.2888780,0.3459767,0.3214938,0.2802110,0.2887306,0.2875386,0.2721312,0.3389156,0.2558602,0.2895581,0.3629271,0.3055552,0.2498886,0.3090810,0.2779359,0.2555817,0.2559950,0.2600836,0.3793362,0.3055374,0.3396385,0.2738148,0.3654408,0.3212348,0.2696600,0.2673745,0.2509950,0.3512251,0.1727710,0.2913975,0.3286298,0.2246976
gadE,0.5758414,0.5858680,0.6323634,0.4592860,0.4913677,0.4535665,0.6067015,0.5001788,0.4533181,0.5270563,0.5592858,0.5369750,0.5226424,0.4557140,0.5364242,0.5191624,0.5258418,0.5845362,0.5364754,0.6682154,0.4410417,0.5184281,0.5429329,0.5012175,0.5558090,0.6758867,0.6360971,0.4866235,0.6462380,0.5610710,0.5294946,0.5023779,0.5586178,0.4676521,0.6484241,0.4765942,0.5090540,0.5048119,0.5565158,0.5843978,0.5946246,0.6026998,0.5053892,0.4344329,0.5107881,0.4527716,0.4640410,0.4726208,0.4039936,0.4890393,0.5754627,0.4644023,0.6162556,0.6360407,0.5899319,0.7449457
