Gene1,Gene2,Type
araC,araA,+
araC,araB,+
araC,araG,+
araC,araF,+
araC,araJ,+
araC,araD,+
araC,araE,+
araC,araH,+
araC,xylA,+
crp,araC,+
crp,rhaR,+
crp,rhaS,+
crp,melR,+
crp,malI,+
crp,feaR,+
crp,zraR,+
crp,mtlR,+
crp,rbsR,+
crp,rbsD,+
crp,rbsA,+
crp,araA,+
crp,rhaA,+
crp,araB,+
crp,zraS,+
crp,araG,+
crp,rbsB,+
crp,melA,+
crp,rbsK,+
crp,melB,+
crp,araF,+
crp,rbsC,+
crp,rhaB,+
crp,rhaD,+
crp,araJ,+
crp,araD,+
crp,araE,+
crp,malX,+
crp,araH,+
crp,malY,+
crp,xylA,+
rhaR,rhaS,+
rhaS,rhaR,+
rhaS,rhaA,+
rhaS,rhaB,+
rhaS,rhaD,+
melR,melA,+
melR,melB,+
malI,malX,+
malI,malY,+
zraR,zraS,+
rbsR,rbsD,+
rbsR,rbsA,+
rbsR,rbsB,+
rbsR,rbsK,+
rbsR,rbsC,+
