Gene1,Gene2,Type
ihfA,hipB,+
ihfA,hipA,+
ihfA,yeiL,+
ihfA,tdcA,+
ihfA,yiaJ,+
ihfA,ompR,+
ihfA,tdcF,+
ihfA,tdcB,+
ihfA,tdcE,+
ihfA,tdcC,+
ihfA,tdcG,+
ihfA,tdcD,+
ihfA,yiaK,+
ihfA,sgbU,+
ihfA,yiaO,+
ihfA,yiaN,+
ihfA,sgbE,+
ihfA,sgbH,+
ihfA,yiaL,+
ihfA,lyxK,+
ihfA,yiaM,+
ihfA,sra,+
ihfA,ompC,+
ihfA,ompF,+
ihfA,micF,+
hipB,hipA,+
hipA,hipB,+
tdcA,tdcF,+
tdcA,tdcB,+
tdcA,tdcE,+
tdcA,tdcC,+
tdcA,tdcG,+
tdcA,tdcD,+
tdcR,tdcA,+
tdcR,tdcF,+
tdcR,tdcB,+
tdcR,tdcE,+
tdcR,tdcC,+
tdcR,tdcG,+
tdcR,tdcD,+
yiaJ,yiaK,+
yiaJ,sgbU,+
yiaJ,yiaO,+
yiaJ,yiaN,+
yiaJ,sgbE,+
yiaJ,sgbH,+
yiaJ,yiaL,+
yiaJ,lyxK,+
yiaJ,yiaM,+
ompR,bolA,+
ompR,csgD,+
ompR,sra,+
ompR,ompC,+
ompR,csgG,+
ompR,csgF,+
ompR,csgE,+
ompR,ompF,+
ompR,micF,+
csgD,csgG,+
csgD,csgF,+
csgD,csgE,+
