Gene1,Gene2,Type
lldR,lldD,+
lldR,lldP,+
arcA,lldR,+
arcA,betI,+
arcA,xylR,+
arcA,gadX,+
arcA,gadA,+
arcA,cadA,+
arcA,cadB,+
arcA,betB,+
arcA,betT,+
arcA,lldD,+
arcA,betA,+
arcA,lldP,+
arcA,rutD,+
arcA,rutA,+
betI,betB,+
betI,betT,+
betI,betA,+
gadX,gadW,+
gadX,gadE,+
gadX,gadA,+
gadX,hdeB,+
gadX,yhiD,+
gadX,hdeA,+
gadX,gadC,+
gadX,cadA,+
gadX,cadB,+
gadX,gadB,+
gadX,mdtE,+
gadX,mdtF,+
gadX,gadY,+
gadX,slp,+
gadX,dctR,+
gadX,hdeD,+
torR,gadX,+
torR,gadA,+
torR,hdeB,+
torR,yhiD,+
torR,hdeA,+
rutR,gadX,+
rutR,gadW,+
rutR,nemR,+
rutR,nemA,+
rutR,rutD,+
rutR,rutA,+
gadW,gadX,+
gadW,gadE,+
gadW,gadA,+
gadW,hdeB,+
gadW,yhiD,+
gadW,hdeA,+
gadW,gadC,+
gadW,gadB,+
gadW,mdtE,+
gadW,mdtF,+
gadW,gadY,+
gadW,slp,+
gadW,dctR,+
nemR,nemA,+
gadE,gadX,+
gadE,gadW,+
gadE,gadA,+
gadE,hdeB,+
gadE,yhiD,+
gadE,hdeA,+
gadE,gadC,+
gadE,cadA,+
gadE,cadB,+
gadE,gadB,+
gadE,mdtE,+
gadE,mdtF,+
gadE,hdeD,+
