,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
araC,0.4630001,0.4662832,0.4243041,0.4152260,0.3808112,0.3440778,0.4062160,0.4591209,0.4116742,0.3694904,0.3653420,0.4040675,0.4985121,0.5319608,0.4132685,0.3798485,0.4844497,0.3760085,0.4325815,0.3853003,0.2817623,0.3717048,0.3941245,0.3696246,0.4747188,0.3688204,0.4150610,0.3081660,0.3519671,0.3728926,0.4855999,0.3567496,0.4040998,0.4011640,0.4295977,0.4013242,0.4346974,0.4046723,0.4361763,0.4542928,0.4828041,0.4532100,0.4010239,0.4799484,0.4030354,0.4610439,0.3455919,0.5065962,0.3433474,0.3847983,0.5091498,0.4044586,0.3978938,0.4353886,0.3841799,0.3506994
crp,0.4690790,0.5287967,0.4761259,0.5136729,0.4733452,0.5182092,0.4797066,0.4882595,0.4020238,0.5069088,0.4711367,0.5110327,0.5554171,0.4445592,0.5482510,0.4756179,0.5057677,0.5587044,0.3808330,0.4630919,0.5694261,0.4789296,0.3795360,0.4991189,0.5173908,0.5379023,0.4389262,0.5266257,0.6769925,0.5187784,0.4409967,0.5211916,0.4794485,0.5345202,0.5255227,0.4676727,0.4988297,0.4273575,0.4900137,0.4814610,0.5606202,0.5146184,0.5066556,0.5870797,0.5043631,0.4432318,0.4205288,0.5294775,0.7139509,0.5157751,0.4993021,0.4826103,0.4743781,0.4031923,0.5379195,0.4866560
rhaR,0.0435389,0.0360236,0.0238635,0.0514389,0.0266063,0.0484189,0.0137008,0.0319426,0.0227669,0.0933371,0.0443705,0.0374884,0.0627334,0.0202065,0.0717313,0.0637667,0.0620355,0.0419375,0.0585163,0.0299842,0.0928951,0.0517158,0.0517770,0.0889844,0.0295673,0.0190107,0.0621413,0.0440009,0.0227958,0.0213385,0.0389724,0.0188282,0.0820558,0.0329229,0.0388975,0.0411052,0.0545964,0.0938102,0.0412756,0.0476180,0.0260006,0.0392717,0.0533908,0.0513788,0.0380194,0.0383535,0.0475184,0.0414322,0.0444819,0.0601340,0.0539243,0.0211197,0.0453777,0.0469864,0.0253517,0.0223771
rhaS,0.0645344,0.0481086,0.0598187,0.0364076,0.0462071,0.0598310,0.1045325,0.0673354,0.0610275,0.0810492,0.0741754,0.0505515,0.0804790,0.0973022,0.0865011,0.0782974,0.0587651,0.0672537,0.0732674,0.1410687,0.1002252,0.0808538,0.0934933,0.0520249,0.0676833,0.0535379,0.0706193,0.0675479,0.0695371,0.0522295,0.0595297,0.1165118,0.0661746,0.0700293,0.0315280,0.0614544,0.0368736,0.0548306,0.0779207,0.0621420,0.0602584,0.0968742,0.0482835,0.0648201,0.1101620,0.0642999,0.0696693,0.0376830,0.0410362,0.0425436,0.0638833,0.0648114,0.0578920,0.0517405,0.0603777,0.0820593
melR,0.5901682,0.4474535,0.6077019,0.4342929,0.5674447,0.6181763,0.4499686,0.5095242,0.4285149,0.3440295,0.5204883,0.4152766,0.4482742,0.4991950,0.4972807,0.5267973,0.4335084,0.5257441,0.4291960,0.4499707,0.4513801,0.5174247,0.4677795,0.4161477,0.4147130,0.4176035,0.4449663,0.4842850,0.4643587,0.4047256,0.4417594,0.4758449,0.5065567,0.4586725,0.4765436,0.4170822,0.4809878,0.5041209,0.3564271,0.4225790,0.5060987,0.5538849,0.5785103,0.4704927,0.4272958,0.5185097,0.4779247,0.4909314,0.4371261,0.4672519,0.5194812,0.3703891,0.4473941,0.4578887,0.4249025,0.5700915
malI,0.6994875,0.6125692,0.8316791,0.6380797,0.7289925,0.6889525,0.6110010,0.6262031,0.6604097,0.6066626,0.6474598,0.7478194,0.6593711,0.8110322,0.7679056,0.8672301,0.6368646,0.6966749,0.7435614,0.7441518,0.6429716,0.8253670,0.7392135,0.6380799,0.7401569,0.7552887,0.8169939,0.7201101,0.6739266,0.6914997,0.6297527,0.7792196,0.7390914,0.6917920,0.6967483,0.7482922,0.5801106,0.8004659,0.8002157,0.7594964,0.7245349,0.7865239,0.7688796,0.6484448,0.7891088,0.6061922,0.6767465,0.7114977,0.7223270,0.8245644,0.6338977,0.6562678,0.6187414,0.5703451,0.7087177,0.5585539
feaR,0.2986239,0.3555677,0.3488416,0.2634529,0.2928416,0.3708929,0.3859322,0.2602479,0.2913212,0.2747249,0.3055592,0.3323087,0.2761820,0.3307954,0.3276491,0.3442413,0.3769152,0.3962408,0.3221253,0.2584803,0.2516860,0.3054702,0.3677642,0.3226375,0.2759148,0.2199223,0.3611015,0.3733190,0.2855830,0.2525702,0.5017400,0.3142668,0.3300877,0.2970195,0.3704716,0.3416185,0.3956854,0.2698882,0.3633658,0.3403038,0.2726478,0.3336272,0.2422340,0.2422707,0.2332820,0.2986472,0.3986590,0.2995030,0.2495478,0.3410169,0.3067863,0.2672380,0.2833198,0.3581098,0.2391312,0.4151241
zraR,0.0236210,0.0216520,0.0285337,0.0179520,0.0204861,0.0600130,0.0199234,0.0194748,0.0433606,0.0271885,0.0494116,0.0161803,0.0184447,0.0161920,0.0180400,0.0266414,0.0400319,0.0175697,0.0185803,0.0215212,0.0149728,0.0205492,0.0336372,0.0317284,0.0121655,0.0187507,0.0282157,0.0299308,0.0235785,0.0189928,0.0183965,0.0147237,0.0127257,0.0540028,0.0149613,0.0102462,0.0123021,0.0324003,0.0441836,0.0255075,0.0303631,0.0201637,0.0225138,0.0292353,0.0138907,0.0259449,0.0311634,0.0272141,0.0301807,0.0506565,0.0178340,0.0346772,0.0404063,0.0424039,0.0177573,0.0350373
mtlR,0.6895011,0.6525871,0.6049174,0.7216694,0.6449950,0.8273569,0.6963848,0.9747388,0.6738944,0.7081058,0.6969994,0.6981029,0.7100649,0.7157868,0.7060625,0.8562519,0.6294044,0.6447189,0.6305313,0.6887330,0.8258235,0.7640278,0.7130502,0.6546169,0.6920540,0.7512086,0.7273473,0.7135535,0.7430634,0.6726107,0.6743190,0.7503524,0.8911775,0.8267864,0.7737571,0.8728489,0.7374805,0.7177643,0.7947169,0.7936518,0.7622678,0.7390274,0.7820610,0.7138569,0.6809831,0.6594007,0.7050056,0.6752491,0.6969975,0.8012957,0.7513662,0.6872621,0.7962604,0.7531528,0.6750329,0.7310775
rbsR,0.2703401,0.1844635,0.1596127,0.2158973,0.1305912,0.1711689,0.2142090,0.1729054,0.1702568,0.1655581,0.1195401,0.1549979,0.1834079,0.1734692,0.2412468,0.2288682,0.2314403,0.2022977,0.2395631,0.1860534,0.1822614,0.2295383,0.3321566,0.1922777,0.2160820,0.2127172,0.1740811,0.2284740,0.2137461,0.2037255,0.2191821,0.2035041,0.1786612,0.1830902,0.1567706,0.1454846,0.1892320,0.1361835,0.1320198,0.1547532,0.1761818,0.2138478,0.2771068,0.1376477,0.1842147,0.1620693,0.2372181,0.1760708,0.1886436,0.2205831,0.2143973,0.1523526,0.2029162,0.2223456,0.1679461,0.2358586
