,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
hupB,0.3510863,0.2421702,0.1791752,0.1893691,0.1212350,0.1237312,0.0664582,0.1089141,0.0852003,0.1044935,0.1409316,0.0756256,0.0684987,0.1182871,0.0841642,0.0923760,0.1500598,0.1230554,0.1887955,0.1358361,0.0715940,0.1284868,0.0835018,0.1105235,0.1093090,0.0691230,0.1169093,0.0874338,0.1150301,0.1958102,0.3283820,0.4356365,0.3359363,0.3218963,0.3378722,0.3417307,0.3334848,0.3357009,0.4929006,0.4559878,0.3828881,0.4231930,0.3609322,0.3743148,0.4418293,0.5031564,0.4347900,0.4155074,0.4534327,0.4201513,0.4276227,0.4582838,0.4230993,0.4337898,0.4041615,0.4109427
fis,0.4289259,0.3826173,0.4384490,0.3143816,0.4512878,0.4023641,0.5550362,0.4699312,0.4436253,0.4866213,0.4039696,0.4038335,0.4500845,0.4294151,0.2793675,0.4278843,0.4338567,0.3609716,0.4616188,0.4444802,0.4510266,0.4253094,0.4380089,0.5241586,0.4025234,0.5024020,0.4575736,0.4694330,0.4091129,0.3769252,0.4103384,0.4330294,0.4218319,0.4201342,0.4955048,0.4414968,0.4426942,0.5856035,0.4545140,0.4473830,0.5543196,0.4288622,0.4903795,0.5982599,0.4006740,0.4912915,0.4202336,0.4026588,0.4031339,0.4007369,0.4886981,0.4359860,0.4566765,0.4336778,0.4199186,0.4149350
mtlR,0.3773797,0.4382114,0.3519790,0.3442609,0.3599412,0.3261180,0.3538698,0.3487289,0.5030901,0.3227631,0.5039561,0.4119533,0.4369315,0.3974090,0.3765096,0.3701139,0.2896079,0.3555432,0.3977210,0.3815352,0.4370467,0.3883557,0.4164206,0.3864989,0.4128448,0.4186559,0.3839276,0.3272396,0.3007475,0.4003985,0.3404624,0.3666195,0.2807944,0.4130891,0.4097620,0.3902198,0.3640201,0.3441182,0.3625455,0.3836669,0.3673844,0.4984310,0.2937823,0.3071072,0.3314329,0.3970758,0.3659602,0.3034972,0.2511372,0.3075253,0.3122490,0.3623891,0.2901802,0.3391901,0.3242050,0.3487494
marR,0.3001375,0.5020839,0.4483079,0.6307304,0.6042121,0.4411745,0.4908229,0.5173868,0.6542764,0.4890226,0.4407177,0.3539702,0.4292855,0.5155185,0.4011184,0.4794160,0.4417405,0.3760672,0.3677329,0.5269339,0.4736135,0.4348363,0.3879191,0.3215615,0.4026545,0.4214670,0.5367208,0.4164695,0.4588281,0.3700426,0.3294070,0.3467170,0.3536329,0.3263456,0.3452942,0.2587948,0.4331100,0.3559213,0.2734595,0.2896571,0.3238156,0.1895601,0.3737841,0.3040837,0.2962035,0.4038649,0.3136271,0.4234084,0.2916068,0.2837687,0.3052321,0.3228855,0.3958102,0.3796488,0.4823376,0.3573064
marA,0.6267975,0.5133733,0.6417226,0.5102751,0.6310278,0.4877877,0.5325098,0.5634870,0.6254335,0.6501079,0.5187711,0.5423276,0.5040917,0.4905710,0.6564878,0.4860161,0.6781980,0.5534133,0.5427422,0.5902787,0.7475403,0.5744268,0.6107070,0.6459556,0.6391045,0.7110344,0.5252214,0.5305711,0.5893142,0.6700740,0.6066551,0.6530375,0.6008126,0.5760826,0.5720832,0.6088879,0.6914788,0.5457087,0.5569270,0.5110463,0.5400275,0.4848486,0.6413145,0.5228079,0.5095877,0.5409823,0.5594683,0.6008882,0.5501246,0.6067282,0.5686115,0.6048459,0.6489701,0.6095354,0.5901962,0.6888812
rob,0.4128734,0.3694301,0.4767873,0.3079095,0.3867333,0.3388206,0.3176689,0.3904586,0.3743186,0.3386254,0.4020488,0.3122489,0.2935146,0.3260425,0.3501913,0.4126174,0.4004449,0.3843480,0.3667535,0.3819904,0.3555949,0.3750811,0.3811584,0.4076713,0.2505971,0.3677105,0.3494727,0.2992653,0.4494268,0.4459231,0.4032503,0.4891613,0.3836834,0.4232926,0.3760616,0.4398795,0.4671027,0.4224380,0.3957023,0.3891466,0.3473843,0.3735020,0.4664327,0.4685725,0.5792816,0.4415405,0.4699498,0.4115282,0.4392294,0.4823601,0.5638095,0.4709930,0.4688526,0.4761820,0.4261087,0.4381630
putA,0.2736956,0.3757900,0.3311634,0.3861599,0.3461602,0.3278596,0.2924480,0.3729599,0.3665890,0.3157024,0.3273451,0.3922682,0.2785097,0.3597158,0.3528235,0.3363603,0.3693346,0.2761120,0.2853428,0.2794824,0.3013867,0.2981558,0.3109604,0.3225875,0.3886636,0.4869747,0.3809924,0.3767232,0.3719685,0.4067296,0.2899208,0.3613297,0.3094757,0.3468538,0.3223253,0.2679312,0.2818396,0.3189007,0.2698242,0.3253175,0.3110176,0.2625742,0.3580969,0.2827707,0.3178706,0.3171653,0.4039959,0.3096123,0.2985650,0.3571384,0.3307440,0.2902206,0.3758637,0.3419732,0.3157707,0.3318701
xylR,0.4997565,0.4828505,0.5054435,0.5236039,0.6196655,0.4301819,0.5262938,0.5140677,0.4466865,0.3798148,0.5900758,0.5190779,0.5179943,0.5162585,0.5641482,0.5409709,0.5969742,0.5117858,0.5820641,0.5778907,0.6022770,0.6133074,0.5994516,0.6181294,0.5180309,0.5234627,0.4950837,0.5496511,0.5257741,0.4649352,0.4374799,0.5637038,0.4197781,0.5358524,0.4703816,0.5129387,0.5607437,0.4600034,0.4527694,0.3970814,0.4584219,0.4990648,0.4988999,0.4966954,0.4610677,0.5154072,0.5526058,0.5241420,0.4787536,0.4777124,0.5745130,0.4436476,0.5052767,0.4363806,0.5474973,0.5724938
glcC,0.2852962,0.3152500,0.4405567,0.3801800,0.4768830,0.3673228,0.3601402,0.4178668,0.3136164,0.3686302,0.4143100,0.3666612,0.3731781,0.2593610,0.3463673,0.3955773,0.3582206,0.3385791,0.4289096,0.4479824,0.3337282,0.4538526,0.3923478,0.2907167,0.4359525,0.3331947,0.3487293,0.3096866,0.3767540,0.4166774,0.4150337,0.3724769,0.4569745,0.3631432,0.4001010,0.3198076,0.3794394,0.3608169,0.4288987,0.3023621,0.4358087,0.3728378,0.3732436,0.3155869,0.3101433,0.3815577,0.3448295,0.3878276,0.4020239,0.3460365,0.2869954,0.3454261,0.3193091,0.2823675,0.3125152,0.3628844
hupA,0.4462256,0.4346517,0.3722597,0.3700660,0.3159462,0.3424886,0.3343870,0.3418710,0.3048735,0.3766627,0.2839846,0.2859247,0.2136953,0.2593939,0.2391931,0.2074267,0.2111726,0.2457736,0.1975017,0.1982750,0.2323608,0.2555511,0.1923341,0.1722153,0.2442090,0.1984502,0.2941231,0.3713451,0.3903760,0.3423131,0.3669440,0.4029690,0.4014069,0.3194957,0.3129922,0.3429544,0.3098524,0.2755275,0.2109463,0.3261742,0.2088379,0.2726982,0.2868358,0.3127191,0.3040534,0.3310450,0.3368347,0.3369202,0.3617374,0.2985679,0.2872048,0.3232636,0.3840763,0.2866616,0.3140851,0.3661508
soxS,0.1293394,0.1298600,0.1089419,0.1166962,0.0936094,0.1182239,0.0598221,0.0490653,0.0485968,0.0461668,0.0756333,0.0608879,0.0444981,0.0500941,0.0415027,0.0335820,0.0467884,0.0218462,0.0322231,0.0352278,0.0193632,0.0136459,0.0117526,0.0168350,0.0568887,0.0339406,0.0234784,0.0404941,0.0386495,0.0346040,0.0573770,0.0418539,0.0714985,0.0829498,0.1338859,0.1242256,0.1570851,0.1480206,0.1146993,0.1483523,0.1063774,0.0865720,0.1419941,0.1624981,0.1088338,0.0942989,0.1163485,0.1433716,0.1138472,0.1040657,0.1812934,0.1281590,0.1554904,0.1716823,0.0836032,0.1640446
soxR,0.3095550,0.3343096,0.1781500,0.1071225,0.1585819,0.1548659,0.1357717,0.1219782,0.2017209,0.1298550,0.1128268,0.1480996,0.0757956,0.0876434,0.1006589,0.0841788,0.0997969,0.1595753,0.1201916,0.0810491,0.0955181,0.1218384,0.0726693,0.1320219,0.1359625,0.1215524,0.0672348,0.0786563,0.1283879,0.2732612,0.3399732,0.3528145,0.4322429,0.3758883,0.4819309,0.3379092,0.3652527,0.3771305,0.3370412,0.4087747,0.4005073,0.3863437,0.3439712,0.3944718,0.3946453,0.2933331,0.3498110,0.4140879,0.4253885,0.4710776,0.4719048,0.3811048,0.3537568,0.4059782,0.4005146,0.2883847
