,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
dicA,0.8757247,0.6429708,0.6673253,0.6385862,0.6741251,0.7740885,0.7048568,0.7453055,0.7010858,0.6830975,0.6226440,0.6801382,0.6509457,0.6932368,0.7106277,0.7016793,0.8176360,0.7945840,0.7257842,0.6307988,0.6872182,0.7054130,0.7684521,0.7323377,0.6981864,0.7036515,0.6430145,0.7940177,0.7526830,0.8047163,0.8449549,0.6666401,0.6112207,0.6687562,0.8769907,0.6434465,0.7834153,0.6816174,0.7058642,0.6431770,0.7123305,0.7452122,0.7247345,0.7984846,0.6559848,0.6863330,0.7593237,0.8674482,0.6131821,0.7451133,0.9234438,0.6891672,0.8913985,0.7371239,0.7184868,0.8326873
ydfD,0.1812257,0.3146141,0.2405589,0.3262490,0.3475197,0.2275349,0.2412718,0.2711548,0.2953954,0.2641147,0.2148070,0.3175533,0.2719230,0.1972486,0.2378494,0.3051360,0.3014079,0.2412333,0.3467687,0.2971091,0.2889467,0.3797277,0.3167310,0.3562287,0.2464712,0.2849944,0.2945672,0.2735333,0.2501260,0.3373505,0.2786321,0.2576391,0.2873354,0.2370704,0.2984033,0.2289616,0.2850339,0.3087728,0.2630905,0.2214653,0.2721558,0.2984212,0.2830197,0.3076272,0.2774562,0.2763773,0.2628978,0.3352233,0.2910251,0.2235561,0.2191896,0.2648711,0.1972666,0.2706329,0.2498791,0.3078796
dicB,0.0025449,0.0029332,0.0015338,0.0007081,0.0016095,0.0001951,0.0000000,0.0001932,0.0004251,0.0000000,0.0001193,0.0031051,0.0024861,0.0008110,0.0004918,0.0000013,0.0000064,0.0001416,0.0000076,0.0000565,0.0001541,0.0050376,0.0001608,0.0000000,0.0000000,0.0008926,0.0003371,0.0002039,0.0009890,0.0019474,0.0015629,0.0016943,0.0026800,0.0013732,0.0036993,0.0060134,0.0011804,0.0056251,0.0013283,0.0060063,0.0007632,0.0079693,0.0043160,0.0014900,0.0142123,0.0047956,0.0011795,0.0038088,0.0050026,0.0016495,0.0031462,0.0105196,0.0089105,0.0016045,0.0015254,0.0022025
alaS,0.2877100,0.2675742,0.2867324,0.3320419,0.3198816,0.3121956,0.3373218,0.4046769,0.2865280,0.2377528,0.3506657,0.3397062,0.3372516,0.3027813,0.3249806,0.2654505,0.3221576,0.3137438,0.3472568,0.4045751,0.3223899,0.2834186,0.2846165,0.3093144,0.3040969,0.3057874,0.2959992,0.1961926,0.2865407,0.3020463,0.3605361,0.2521823,0.2956409,0.2501430,0.2290388,0.2657880,0.3129184,0.2515076,0.3393122,0.3904483,0.3396778,0.2830107,0.2757170,0.2645389,0.3711336,0.3133237,0.3614914,0.3291277,0.3443890,0.3877260,0.2700990,0.2637186,0.3334474,0.2927842,0.3130389,0.3687396
tdh,0.7361329,0.7223119,0.8093134,0.6490656,0.7672503,0.7212351,0.6718863,0.6809904,0.8902557,0.7764829,0.7754025,0.8255046,0.6964496,0.6797577,0.6713044,0.6779138,0.7107031,0.8029447,0.6991723,0.7900122,0.7244068,0.6701984,0.6669976,0.6864699,0.7240706,0.8915841,0.6909695,0.8179440,0.7428702,0.6940524,0.6975417,0.6761539,0.6783108,0.6909920,0.6900804,0.8221987,0.7627888,0.5621877,0.8618628,0.6098858,0.6313445,0.7223604,0.7118241,0.6606166,0.6283128,0.8005286,0.8095870,0.7619129,0.7150371,0.6672870,0.7182040,0.7668338,0.6722333,0.7279790,0.7857039,0.7462119
lrp,0.7348495,0.5383413,0.4643049,0.3908887,0.4119531,0.4300876,0.3747673,0.2607783,0.3390696,0.3645172,0.4051620,0.3700057,0.3573734,0.4192669,0.3402307,0.3576844,0.4169260,0.3036114,0.3699672,0.3640226,0.3258465,0.3342679,0.3533695,0.4023021,0.2730147,0.3225312,0.3207669,0.4068665,0.3082663,0.5858592,0.4380466,0.5840834,0.5014790,0.6284602,0.6418068,0.6424429,0.7436161,0.6599280,0.6593693,0.6583485,0.6159753,0.7385399,0.6917766,0.7206110,0.5338637,0.7608965,0.7913547,0.6717340,0.7333582,0.8142698,0.6989849,0.7450398,0.6829491,0.7159752,0.6729736,0.6683627
yeiL,0.7009540,0.6370114,0.7935326,0.6626421,0.5381580,0.6636078,0.7061355,0.5532656,0.5790603,0.7383079,0.5275310,0.6357386,0.5872908,0.5971363,0.5894776,0.6024746,0.6584280,0.6786707,0.7287950,0.6290075,0.6184188,0.5736347,0.6457758,0.6198447,0.5743549,0.4487762,0.6906548,0.7093986,0.6513492,0.4685943,0.5908180,0.5524071,0.6465683,0.6361761,0.8153378,0.6497468,0.5128172,0.6071375,0.6281234,0.6401760,0.6949103,0.6122999,0.6838515,0.6090486,0.6023742,0.6575251,0.6347434,0.5669511,0.6927410,0.5781462,0.7901873,0.6623821,0.7240086,0.7329721,0.7105764,0.6314663
stpA,0.2802396,0.1991938,0.2632331,0.2190083,0.2409467,0.2268735,0.2722568,0.2282903,0.2584279,0.2600126,0.2412109,0.2493371,0.2648762,0.2084993,0.2870304,0.2215460,0.2139997,0.2247225,0.1653815,0.1858707,0.2075701,0.2358050,0.1854091,0.1751493,0.2619116,0.1493758,0.2942987,0.2502778,0.2515901,0.2427394,0.3052092,0.2613167,0.3032712,0.2389737,0.2528525,0.2143900,0.2779778,0.2493383,0.2521284,0.2841940,0.2812847,0.3241097,0.3056618,0.3164132,0.2125724,0.2299845,0.3477395,0.3303901,0.3811169,0.3272545,0.3500972,0.2762388,0.3515808,0.2464665,0.2656854,0.2819951
malT,0.4061942,0.2928973,0.2515756,0.3236809,0.3398536,0.3638621,0.3487198,0.2286011,0.2910575,0.2209215,0.2666298,0.2554747,0.2620742,0.2397709,0.2587749,0.2976602,0.2565892,0.2618002,0.2824381,0.2959812,0.2653817,0.2926807,0.2755249,0.2571757,0.2136126,0.2571547,0.2632834,0.1859071,0.2104174,0.2967797,0.3196076,0.2982493,0.3327217,0.2434725,0.3570926,0.2914565,0.2545266,0.2380754,0.3127553,0.3060434,0.3109663,0.2948482,0.3062519,0.3020936,0.2622057,0.3260869,0.2551683,0.2727719,0.2700126,0.2606681,0.2624787,0.3222885,0.2667560,0.2382263,0.3561708,0.2943931
dgsA,0.4979874,0.4575718,0.4547276,0.4999295,0.4417793,0.3734088,0.5132690,0.4919189,0.5035723,0.4813100,0.4380205,0.5482471,0.4866474,0.3884929,0.4371720,0.4576859,0.3969579,0.4820548,0.4109306,0.5599527,0.5002113,0.4708876,0.5207462,0.3711864,0.3743149,0.4137373,0.4898893,0.4783290,0.4779148,0.4917418,0.4685414,0.4617985,0.3832229,0.3663680,0.4226548,0.5113445,0.4205566,0.5173308,0.4777297,0.5008711,0.4410596,0.4628755,0.3998699,0.4371167,0.4291811,0.4750221,0.4791977,0.4519104,0.4531277,0.4578714,0.5786150,0.5652744,0.4585087,0.4270602,0.3901668,0.4096996
gadE,0.7316905,0.8250434,0.7182874,0.6773051,0.8244098,0.7949086,0.7782738,0.7729715,0.8783828,0.7303103,0.7183548,0.8198400,0.7409650,0.6992565,0.6640464,0.7094910,0.7356388,0.6922388,0.7101545,0.6685360,0.7486032,0.7186738,0.8003423,0.8199651,0.7802889,0.6438838,0.6913967,0.6415277,0.8257945,0.7066147,0.7491016,0.6264777,0.7659950,0.6825809,0.7219507,0.6157411,0.7973485,0.5917898,0.6931638,0.8011075,0.6174736,0.7964782,0.8474206,0.8122771,0.6594523,0.6687839,0.7109897,0.7089366,0.7434480,0.8128318,0.8706396,0.7310615,0.7831271,0.7505344,0.7124299,0.7320753
ydeO,0.1892893,0.2274375,0.5243559,0.5118264,0.6327559,0.6432040,0.7348390,0.6340323,0.7309040,0.7310075,0.6812444,0.7240919,0.6830511,0.6520927,0.6127004,0.6366170,0.6121852,0.7357485,0.7158493,0.6905235,0.6949884,0.7004287,0.6481930,0.7713884,0.7805347,0.7787827,0.7755661,0.7907230,0.7536093,0.6437608,0.7913598,0.7374915,0.7337975,0.7524526,0.7037934,0.7373063,0.7710463,0.6778351,0.7772962,0.7412545,0.8286572,0.7139375,0.7272982,0.6275985,0.6762811,0.7545764,0.6389051,0.9496164,0.7052165,0.7422195,0.8531376,0.8596483,0.6746502,0.5613480,0.6368795,0.6784349
evgA,0.0110218,0.0651180,0.1657415,0.1340585,0.3053852,0.2817801,0.3080091,0.4365312,0.4995539,0.6052918,0.6449163,0.6646758,0.6806204,0.7133715,0.6955186,0.6363380,0.6460644,0.7580898,0.8337012,0.7491516,0.7433978,0.8542394,0.7186897,0.6192101,0.5616988,0.6474104,0.7707859,0.6854843,0.6625474,0.7277639,0.7632747,0.7926410,0.7279419,0.6731403,0.7347001,0.8310286,0.7737917,0.7238344,0.7069650,0.7224265,0.7126289,0.6133679,0.7890929,0.7822790,0.8674531,0.6983579,0.7579877,0.7524872,0.6936893,0.7584923,0.7292737,0.7254445,0.6278855,0.8941420,0.6622899,0.7240096
gadW,0.7146860,0.7392353,0.7803935,0.7243751,0.9535550,0.6067995,0.8139719,0.6508969,0.8162174,0.7198396,0.7025720,0.6215845,0.7104065,0.7250678,0.5614842,0.7086192,0.6528522,0.7498130,0.7091194,0.7435983,0.7179957,0.7115381,0.7366433,0.7270789,0.6978703,0.6772579,0.6373172,0.7063240,0.8466583,0.7285547,0.7231762,0.6602235,0.7565010,0.6487417,0.6762007,0.6774547,0.6186579,0.6730349,0.6160250,0.5882671,0.5815417,0.6730874,0.7103117,0.6894765,0.6614331,0.5542492,0.5962491,0.7258347,0.8303268,0.7713966,0.7689247,0.6833180,0.6335464,0.8103035,0.8257423,0.6854320
gadX,0.0039191,0.0007468,0.0005972,0.0020602,0.0013761,0.0005048,0.0081965,0.0003479,0.0007044,0.0042367,0.0040865,0.0025869,0.0016468,0.0136774,0.0086777,0.0140980,0.0052447,0.0080069,0.0059883,0.0041097,0.0100139,0.0076957,0.0122475,0.0044276,0.0031576,0.0005175,0.0009562,0.0000250,0.0010436,0.0047509,0.0056971,0.0044226,0.0009054,0.0036409,0.0027147,0.0052377,0.0020098,0.0009711,0.0064448,0.0047197,0.0106964,0.0141865,0.0007091,0.0036130,0.0010455,0.0009480,0.0039481,0.0021169,0.0003370,0.0011738,0.0000616,0.0001532,0.0000000,0.0001411,0.0028435,0.0010173
rutR,0.4755947,0.3322135,0.2556694,0.1259525,0.1839546,0.1343543,0.0712909,0.0897563,0.0986089,0.1083293,0.1755342,0.0769784,0.1179652,0.0787798,0.0698295,0.0730187,0.1038889,0.0647123,0.0978477,0.0789846,0.0648116,0.0951194,0.0879075,0.0772034,0.1182389,0.1564705,0.1350176,0.1131421,0.0989051,0.4580703,0.4323875,0.5802334,0.6012200,0.4583007,0.4764185,0.4419362,0.4156334,0.4759276,0.3992655,0.4685938,0.4948934,0.4335267,0.5080507,0.4367496,0.4773847,0.4976925,0.4922885,0.4809705,0.5130285,0.4318836,0.5712409,0.5966768,0.4956604,0.5960522,0.5020523,0.4497233
nemR,0.5707838,0.6823459,0.6495296,0.5923022,0.6332495,0.7198851,0.8021311,0.8229834,0.7339607,0.7445796,0.7215766,0.7144701,0.7254257,0.7229461,0.7038144,0.7066480,0.7735807,0.7204831,0.6924084,0.7184377,0.6604342,0.7608841,0.8414815,0.6821492,0.8325610,0.8538662,0.6313058,0.7315140,0.7356470,0.7236809,0.8567855,0.8763093,0.6586319,0.7040181,0.5536561,0.5252753,0.5972950,0.7757386,0.6392467,0.6270088,0.6809050,0.5106028,0.6610228,0.6109873,0.6769485,0.5964698,0.5765155,0.6282441,0.6385315,0.5794901,0.6466292,0.5930831,0.5521924,0.8000229,0.6454617,0.6443381
torR,0.2022560,0.2165973,0.2159720,0.2597490,0.1894485,0.1548699,0.1979688,0.1915465,0.1777544,0.1866235,0.1701837,0.2015897,0.2084431,0.2760467,0.1895178,0.2235504,0.1606968,0.1669696,0.2257899,0.1883124,0.1472315,0.2107068,0.1854105,0.1725929,0.1303266,0.2025458,0.2069203,0.1772337,0.1274070,0.2727225,0.2484234,0.2331104,0.1984164,0.1574881,0.2032835,0.1438325,0.2054334,0.1475912,0.3265447,0.2538157,0.2653137,0.2078739,0.2488679,0.2399612,0.2208191,0.2781653,0.3644316,0.2228223,0.1608229,0.2026844,0.2389245,0.1820955,0.1695352,0.2170040,0.1966279,0.1931891
rcsA,0.0865829,0.0586320,0.0693353,0.1061270,0.0896086,0.0692563,0.0892587,0.0942922,0.0976038,0.0841912,0.0609343,0.0811700,0.0609666,0.0845381,0.0666170,0.0533403,0.0705292,0.0936685,0.1231222,0.0972801,0.0858731,0.0998821,0.1123521,0.0970430,0.0825932,0.0674286,0.0697592,0.0800689,0.0731538,0.0540087,0.0834222,0.0814713,0.0830299,0.0833034,0.0797898,0.0901833,0.0724652,0.1471940,0.0715008,0.0861211,0.1207540,0.1019405,0.0868585,0.0955739,0.0727078,0.0615588,0.0883996,0.1188403,0.1282543,0.0716725,0.0940912,0.1046250,0.0571178,0.0802291,0.1143924,0.0636786
