,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
bolA,0.1828135,0.2194035,0.1074154,0.1017753,0.0681688,0.0745568,0.0450780,0.0551678,0.0832967,0.0509351,0.0295422,0.0301861,0.0794657,0.0171109,0.0265217,0.0388290,0.0410313,0.0365178,0.0532513,0.0296778,0.0592137,0.0515273,0.0779940,0.0693317,0.0325964,0.0576775,0.0387066,0.0569660,0.0483502,0.0999289,0.1723977,0.1590612,0.1795768,0.2046639,0.1858335,0.1922207,0.1693938,0.1974115,0.2182618,0.1862686,0.1560741,0.1750072,0.2200168,0.2280767,0.1857614,0.2045240,0.2140678,0.2368360,0.2792497,0.2265493,0.1630770,0.1888590,0.2060249,0.2275196,0.1817939,0.2281238
ompR,0.7460981,0.7568905,0.7225466,0.7424919,0.6947381,0.7193426,0.7805076,0.8240672,0.6959958,0.6842739,0.7450677,0.6160192,0.6939441,0.6455256,0.6173543,0.6573848,0.5922853,0.7814335,0.7937395,0.7473701,0.7056436,0.7262142,0.7176562,0.6968339,0.6724934,0.6788044,0.6838782,0.6661730,0.6364514,0.7103259,0.6101353,0.6796363,0.8025641,0.8250476,0.7686576,0.6791466,0.5949511,0.6614962,0.6844551,0.7221643,0.5583310,0.7690538,0.7251451,0.6888434,0.6333797,0.7066689,0.6760647,0.7254760,0.7688736,0.6759582,0.7433499,0.6577366,0.6866628,0.6874536,0.5845881,0.6900402
csgD,0.0843080,0.0717500,0.0585395,0.0608083,0.0311525,0.0687647,0.0649075,0.0693393,0.0746437,0.0543964,0.0507832,0.0974797,0.1148716,0.0898047,0.0949813,0.0991298,0.1138332,0.1176458,0.1048240,0.1119729,0.0965747,0.0892313,0.0983028,0.0639154,0.0685451,0.0909307,0.0998153,0.0860644,0.0596786,0.0740752,0.0492875,0.0803962,0.1305497,0.0731911,0.0716849,0.1346763,0.0667170,0.0820412,0.1176794,0.0826389,0.0917932,0.0584178,0.1016425,0.0903372,0.1020944,0.0804312,0.0671751,0.0910017,0.1042628,0.0876627,0.0978010,0.0388134,0.0608602,0.0337699,0.0393038,0.0849013
rstA,0.0325659,0.0496659,0.0376435,0.0245874,0.0235944,0.0420464,0.0321361,0.0485299,0.0436453,0.0154246,0.0477423,0.0325524,0.0300065,0.0206484,0.0382451,0.0391146,0.0377866,0.0277422,0.0340693,0.0385968,0.0338608,0.0350508,0.0352421,0.0637863,0.0501186,0.0513463,0.0486657,0.0204282,0.0374639,0.0279573,0.0207190,0.0245935,0.0335025,0.0196316,0.0721920,0.0254878,0.0460413,0.0275564,0.0278168,0.0649904,0.0286692,0.0346198,0.0306561,0.0334388,0.0289564,0.0516627,0.0476703,0.0262550,0.0331427,0.0211917,0.0112272,0.0228355,0.0256348,0.0463265,0.0364208,0.0166652
rcsB,0.6235965,0.6047393,0.6209723,0.7345296,0.7437759,0.6227009,0.7437434,0.7387651,0.7639208,0.7207421,0.6568235,0.6802733,0.6841784,0.6683596,0.6648683,0.6367122,0.5501018,0.6080966,0.7555867,0.6718423,0.6189358,0.7215053,0.6915506,0.7149678,0.7403764,0.7251368,0.6261135,0.6834006,0.6105248,0.5964836,0.5815708,0.6751652,0.6853758,0.7364148,0.6410758,0.7170755,0.6005422,0.7769709,0.5707709,0.6874974,0.6159441,0.6640208,0.6256766,0.7132531,0.7393022,0.7182327,0.7299483,0.6027400,0.8673953,0.6981860,0.6796462,0.6274100,0.7915399,0.8212402,0.7794397,0.7245122
rcsA,0.5479473,0.6033074,0.5790394,0.6213056,0.5236383,0.6947823,0.6934744,0.6598180,0.6032752,0.7368187,0.7241907,0.6710859,0.5878429,0.5670681,0.6604110,0.5940839,0.6038205,0.6817273,0.6694496,0.5987645,0.5766862,0.5976954,0.7974643,0.6181551,0.8085831,0.6410854,0.5563905,0.6176978,0.6682505,0.6662208,0.6024628,0.6194180,0.6550457,0.6933086,0.5419589,0.6291280,0.6071517,0.7041911,0.7938329,0.7124968,0.6437713,0.6603468,0.5811290,0.7034177,0.6088019,0.6936694,0.6451838,0.6312503,0.6163021,0.6772625,0.6915911,0.5318432,0.4997055,0.4660351,0.5361071,0.6057227
flhD,0.0906540,0.0540274,0.0154560,0.0060953,0.0101467,0.0095108,0.0108086,0.0088550,0.0162347,0.0127770,0.0039432,0.0089929,0.0045848,0.0095811,0.0076277,0.0022409,0.0008136,0.0066397,0.0065850,0.0073768,0.0017434,0.0023156,0.0046595,0.0045197,0.0004740,0.0028941,0.0022997,0.0051553,0.0049298,0.0241956,0.0374377,0.0626816,0.0674311,0.0839886,0.0481849,0.0759177,0.0457076,0.0546143,0.0855709,0.0642386,0.0694776,0.0890254,0.1420406,0.0889882,0.0894609,0.0564185,0.1062801,0.0757511,0.0646697,0.0618567,0.0468349,0.0799034,0.1094403,0.1097016,0.1042242,0.0722688
hdfR,0.8620632,0.5347126,0.5284417,0.4683238,0.5790380,0.4915061,0.6181043,0.5288691,0.5601614,0.5115280,0.5832203,0.6022945,0.4776640,0.5632262,0.5251909,0.5714044,0.6794488,0.5039193,0.5849803,0.5748267,0.5822155,0.5441363,0.5465120,0.6409650,0.6320704,0.5935114,0.4646428,0.5294873,0.5785168,0.5525412,0.6697093,0.6077868,0.8024306,0.6905869,0.5832224,0.6501760,0.6180859,0.7213379,0.6868628,0.7146374,0.7863554,0.7197202,0.6852282,0.7565812,0.6583055,0.7127162,0.6829705,0.7907728,0.7632497,0.7274144,0.6506898,0.7021279,0.6827403,0.6705109,0.6355539,0.7967167
flhC,0.0439125,0.0439252,0.0434490,0.0476511,0.0391799,0.0467872,0.0522387,0.0261007,0.0887310,0.0525156,0.1058282,0.0704321,0.1127996,0.0681904,0.0679282,0.0649741,0.0493817,0.0650987,0.0200408,0.0486576,0.0384544,0.0387881,0.0586236,0.0583293,0.0333897,0.0593908,0.0519068,0.0310921,0.0525874,0.0423630,0.0574869,0.0258405,0.0381174,0.0973708,0.0402693,0.0461694,0.1258084,0.0944452,0.0633200,0.0421690,0.0365560,0.0588400,0.0422533,0.0470012,0.0818471,0.0586554,0.0582451,0.0547113,0.0417290,0.0831206,0.0658808,0.0635202,0.0413368,0.0535579,0.0413540,0.0583164
qseB,0.0399953,0.0179120,0.0446952,0.0398797,0.0234780,0.0511065,0.0351177,0.0240943,0.0498376,0.0419032,0.0449664,0.0251720,0.0294164,0.0256247,0.0253811,0.0543324,0.0283221,0.0101494,0.0556993,0.0643334,0.0261515,0.0400512,0.0086511,0.0039819,0.0263123,0.0264278,0.0251572,0.0259888,0.0423754,0.0263731,0.0171662,0.0560971,0.0309117,0.0473300,0.0437471,0.0363674,0.0253526,0.0206879,0.0284549,0.0309342,0.0484506,0.0280923,0.0965561,0.0386858,0.0251521,0.0297001,0.0186237,0.0360896,0.0416920,0.0206582,0.0283253,0.0598289,0.0598662,0.0333071,0.0313118,0.0238295
