,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
nadR,0.7337526,0.7194924,0.7822000,0.6946125,0.7553488,0.6892160,0.8188255,0.7518362,0.7356678,0.6898193,0.8960841,0.7995334,0.6438629,0.7614521,0.7550237,0.7424874,0.8793042,0.7814133,0.6833101,0.7308975,0.7141470,0.7304269,0.7412078,0.9027004,0.8747161,0.7067845,0.6919954,0.7704313,0.7948907,0.6087019,0.7699221,0.7812445,0.8477021,0.6757149,0.6595377,0.6247415,0.9349002,0.7620797,0.8145574,0.8582142,0.8307701,0.6148078,0.6798895,0.9071102,0.7317464,0.7376738,0.7964180,0.7702912,0.7807796,0.7222759,0.6375336,0.6230675,0.7483779,0.7586357,0.7891293,0.6999036
nadB,0.2556030,0.2288345,0.3207117,0.2291590,0.2867513,0.2297400,0.2738773,0.1744067,0.2003653,0.2813028,0.2822606,0.2727565,0.2770919,0.2554487,0.2499915,0.2656341,0.2921888,0.2472720,0.1901239,0.2144308,0.1993454,0.2008205,0.1971969,0.1498420,0.1869836,0.1816894,0.2261539,0.1348246,0.1560039,0.2753243,0.2700422,0.3266184,0.2392219,0.2832530,0.2002077,0.1775526,0.2150989,0.2561010,0.1762057,0.1759465,0.1727165,0.3626083,0.1860968,0.1986437,0.2333290,0.2552035,0.2559539,0.2097215,0.1984667,0.1015855,0.1697868,0.2637743,0.1830714,0.2562354,0.2215838,0.3181340
pnuC,0.1571443,0.1521305,0.1589476,0.2508425,0.2781391,0.2228866,0.1484770,0.1851299,0.2566796,0.2333569,0.1972894,0.1681454,0.1984812,0.2280590,0.2302619,0.2609841,0.2316798,0.2478247,0.2791183,0.2288451,0.1730373,0.2008817,0.2198182,0.2811516,0.2041909,0.1985832,0.1776161,0.2513214,0.1600314,0.2277648,0.2914233,0.2695271,0.1957396,0.2622278,0.2386994,0.1845167,0.2168938,0.1948365,0.2514227,0.1889011,0.1750546,0.2360603,0.1835156,0.2413041,0.2811070,0.1933946,0.2166843,0.1410623,0.1917632,0.1557804,0.1553454,0.1471324,0.1580422,0.1777335,0.2542905,0.1705812
nadA,0.0246557,0.0293177,0.0305052,0.0200173,0.0140023,0.0184272,0.0153464,0.0295600,0.0232384,0.0395181,0.0401281,0.0359589,0.0673596,0.0253838,0.0299172,0.0327409,0.0179169,0.0561882,0.0160977,0.0378500,0.0212204,0.0228558,0.0160922,0.0216043,0.0373230,0.0531066,0.0193892,0.0561383,0.0492582,0.0265154,0.0231079,0.0198471,0.0218306,0.0313877,0.0195343,0.0288660,0.0404534,0.0337603,0.0248041,0.0161353,0.0215271,0.0433410,0.0257670,0.0144348,0.0248554,0.0196166,0.0552091,0.0224813,0.0403244,0.0225488,0.0288729,0.0607462,0.0416068,0.0255036,0.0350502,0.0196528
pncB,0.8154822,0.5236349,0.3969660,0.5031621,0.4521985,0.3175620,0.2849432,0.2530140,0.2053516,0.2369102,0.2335694,0.1687512,0.2039500,0.1835679,0.2277036,0.2196079,0.2853455,0.1716502,0.1829526,0.2110834,0.1374926,0.1619999,0.1821209,0.1408362,0.1351021,0.1618373,0.1716800,0.1719109,0.1555417,0.2761077,0.4204675,0.3808494,0.4573765,0.4823692,0.5348222,0.4866096,0.5348459,0.4992306,0.5032282,0.4116820,0.4431740,0.5098106,0.5039182,0.5476253,0.5352371,0.4254867,0.4965904,0.5052829,0.5739654,0.5058687,0.4643879,0.5487690,0.4714003,0.5565755,0.6425326,0.5739881
crp,0.0703137,0.2474890,0.2828433,0.5438676,0.7240215,0.6363981,0.6934120,0.6803585,0.5950548,0.7444866,0.6814504,0.6063965,0.6674012,0.6645951,0.6929400,0.8132616,0.7736377,0.8591891,0.6939780,0.8345118,0.6693513,0.6695148,0.6148928,0.7288850,0.6317093,0.6792662,0.5817916,0.7235836,0.8143072,0.6862039,0.6713504,0.7132654,0.6266171,0.7347383,0.5868708,0.5319915,0.6403005,0.5821128,0.6321466,0.6673376,0.5758804,0.7337186,0.6371898,0.4766160,0.6168088,0.5785096,0.7504222,0.4744671,0.4766570,0.4431080,0.4916715,0.5614666,0.4895661,0.5738005,0.5405766,0.4709912
rhaR,0.1019773,0.0893424,0.1305496,0.1588250,0.2069674,0.2313532,0.3636482,0.5174371,0.4510490,0.6102128,0.5781458,0.6026341,0.7099391,0.7578488,0.6769387,0.5906156,0.7717383,0.8659097,0.7075688,0.7079360,0.7753034,0.7433946,0.6611443,0.6846613,0.6490263,0.7097338,0.6609909,0.7430388,0.8013452,0.7373144,0.7628964,0.8955440,0.7271847,0.7567344,0.7349456,0.7520482,0.6519592,0.8560741,0.7545741,0.7072618,0.6994940,0.7594990,0.8741456,0.7092995,0.7875969,0.7126395,0.7072941,0.7254604,0.7099798,0.7682936,0.7317500,0.6745864,0.7091870,0.7458588,0.7274972,0.6916706
rhaS,0.0230341,0.0621861,0.0221076,0.0317340,0.0378769,0.0328542,0.0846904,0.1609584,0.2495407,0.2993689,0.4541750,0.4882049,0.6259749,0.5903520,0.6441743,0.5857341,0.7181191,0.6047368,0.5476240,0.4852737,0.5790636,0.6566772,0.5382182,0.6314075,0.7131812,0.6632290,0.7750890,0.6620206,0.6622902,0.6152409,0.6409205,0.6782227,0.6037170,0.5950813,0.5020055,0.5868862,0.5565293,0.7556749,0.6682644,0.7778789,0.6690284,0.5784464,0.5941022,0.6146668,0.5668544,0.5726713,0.5879047,0.4512186,0.5996369,0.5257348,0.7506386,0.6999703,0.6102904,0.6642497,0.7112342,0.6863139
zraR,0.0899712,0.2075941,0.3907207,0.3627976,0.4925004,0.3311952,0.6413632,0.6405534,0.6269476,0.6675779,0.7807902,0.7628898,0.6966707,0.5575376,0.8001513,0.7493700,0.6969146,0.6274825,0.6807578,0.6427370,0.7594698,0.6419230,0.6197932,0.7732915,0.7226217,0.7388937,0.7493866,0.5990708,0.6491306,0.6607431,0.5368965,0.5792825,0.5453321,0.6587944,0.6651949,0.6312488,0.6489148,0.5928732,0.5957026,0.5423206,0.6020577,0.5927846,0.5353102,0.5904765,0.4829831,0.5186440,0.5803290,0.5483908,0.6112590,0.5078382,0.5804346,0.4648074,0.6772947,0.6409602,0.6892274,0.6693338
melR,0.5142175,0.4434040,0.6318402,0.6453729,0.6812729,0.6557624,0.7136684,0.8216631,0.6843072,0.8526215,0.6467637,0.7042693,0.7454793,0.7129369,0.7680638,0.6888779,0.7478071,0.9318971,0.8074225,0.5997139,0.7950976,0.7083924,0.6109000,0.7435797,0.7644900,0.6659729,0.6525761,0.6317100,0.7530995,0.7198259,0.7023264,0.7014186,0.8343529,0.7031059,0.7659701,0.7616859,0.7151784,0.7195129,0.6795996,0.7956892,0.7081199,0.7582859,0.7084826,0.7218248,0.7109449,0.7288221,0.6480737,0.7074999,0.5677111,0.6594466,0.6192825,0.8749581,0.7440237,0.7707449,0.7745558,0.7877724
