,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
rhaR,0.0022205,0.0096165,0.0042216,0.0041362,0.0028657,0.0004216,0.0053902,0.0019503,0.0080697,0.0007409,0.0042244,0.0018787,0.0058638,0.0015021,0.0016707,0.0131061,0.0126770,0.0018804,0.0000000,0.0010145,0.0073346,0.0144172,0.0072979,0.0126701,0.0072204,0.0138265,0.0091509,0.0034121,0.0145435,0.0027292,0.0004615,0.0043330,0.0044974,0.0049616,0.0262797,0.0042153,0.0058646,0.0057124,0.0027421,0.0047582,0.0044563,0.0068967,0.0084851,0.0069184,0.0055184,0.0044262,0.0026347,0.0053254,0.0050281,0.0137870,0.0012813,0.0004805,0.0042274,0.0028458,0.0025470,0.0036691
rhaS,0.0760628,0.2889616,0.4846852,0.5307273,0.5728389,0.7109976,0.5484928,0.6179125,0.6055027,0.6177329,0.6817646,0.7708398,0.7010657,0.7801606,0.6513869,0.6285228,0.8204956,0.6380064,0.6350631,0.5582799,0.6890815,0.7388791,0.7068879,0.6583248,0.6184902,0.6101084,0.7138192,0.6771357,0.6269277,0.5935350,0.4483855,0.4797874,0.5065854,0.5604674,0.5651608,0.5532533,0.4631471,0.4456024,0.3904014,0.5968738,0.5513332,0.4659175,0.5167382,0.4070406,0.4426691,0.3507534,0.4383724,0.4216540,0.3676572,0.3687826,0.4122633,0.3728101,0.4817312,0.2866825,0.3409039,0.2633741
crp,0.0086458,0.2494764,0.4039117,0.4795681,0.4614581,0.5404542,0.5751544,0.5665468,0.5386174,0.4878973,0.6593416,0.4669808,0.6403842,0.5715906,0.6138788,0.5955642,0.5320133,0.6543897,0.6922750,0.5009414,0.5346591,0.5988238,0.6086874,0.6300046,0.5175140,0.5830640,0.5825739,0.6369183,0.6810621,0.5430372,0.5450970,0.4865022,0.5606457,0.4526636,0.5144606,0.3556319,0.3730148,0.3958791,0.4026268,0.3261242,0.2924415,0.2594592,0.3014449,0.3136602,0.3193098,0.2214669,0.2564825,0.3086528,0.3247829,0.1714561,0.1755169,0.2093414,0.1138021,0.1030367,0.0690511,0.0643657
feaR,0.0148817,0.2109171,0.3279066,0.4783915,0.5209216,0.5399795,0.5449871,0.5865380,0.6457686,0.6220825,0.6359156,0.6813279,0.7213179,0.6353609,0.6541963,0.8505115,0.6928850,0.5672714,0.7076595,0.6804279,0.6159046,0.6318143,0.5956048,0.7415424,0.7256753,0.7349938,0.6816263,0.6332011,0.7096404,0.7134144,0.7444296,0.6541525,0.6104988,0.6178138,0.6223604,0.5659945,0.5356626,0.4981888,0.5065117,0.5678879,0.6219506,0.5067689,0.5079730,0.4666955,0.4989997,0.5663441,0.4389105,0.4944997,0.4441323,0.4079152,0.3979528,0.3941647,0.3567753,0.2648634,0.1586051,0.1304908
melR,0.0271021,0.2917206,0.4116218,0.6139840,0.5346200,0.6506231,0.6940401,0.7663306,0.7634579,0.8102592,0.7686159,0.8407794,0.8202826,0.7763731,0.7176286,0.7216363,0.7664431,0.6862214,0.6361799,0.6747581,0.7160703,0.6483738,0.7037687,0.6755561,0.6884063,0.6832083,0.7699356,0.6455471,0.6194706,0.6469549,0.6383532,0.6941702,0.6111845,0.6630079,0.5633737,0.5415059,0.5666200,0.5337508,0.5803133,0.6913806,0.5786657,0.5033025,0.5363217,0.5064465,0.3453692,0.4407055,0.5117714,0.5357886,0.3677657,0.4128028,0.4276134,0.4482149,0.4402916,0.3545627,0.3402950,0.3683103
zraR,0.0211837,0.0100463,0.0143396,0.0042570,0.0137056,0.0127574,0.0107606,0.0250896,0.0088299,0.0286444,0.0189457,0.0171457,0.0086318,0.0229960,0.0253267,0.0125800,0.0507960,0.0093647,0.0321118,0.0170560,0.0231906,0.0095874,0.0246884,0.0175303,0.0207821,0.0414387,0.0267428,0.0270559,0.0578385,0.0366837,0.0229816,0.0388581,0.0408393,0.0268538,0.0539518,0.0219128,0.0259308,0.0238400,0.0215951,0.0250460,0.0206133,0.0157244,0.0094430,0.0357161,0.0115489,0.0170257,0.0078571,0.0103270,0.0125479,0.0226326,0.0263696,0.0117894,0.0090518,0.0309588,0.0194864,0.0059593
malI,0.1434601,0.2091558,0.2598584,0.2445079,0.2595097,0.2719291,0.1838111,0.2401922,0.2179678,0.2330128,0.2900486,0.2338254,0.2832599,0.2148318,0.2294616,0.2606965,0.2908420,0.2509095,0.3503442,0.3311281,0.4001316,0.3042522,0.3228295,0.3342201,0.3685206,0.3975878,0.3619594,0.3194010,0.4640543,0.2883236,0.2804495,0.2426991,0.1341358,0.1497246,0.1955060,0.1780273,0.1358835,0.1712113,0.1318354,0.1454836,0.1755702,0.1657837,0.1859190,0.1054858,0.1396644,0.1356307,0.1048445,0.1037664,0.1876577,0.1806978,0.1737406,0.1375383,0.1373799,0.1170786,0.1986221,0.1399030
mtlR,0.2648612,0.4102078,0.4310896,0.5001657,0.6523864,0.7933858,0.7771577,0.9021212,0.6566938,0.7307989,0.6708582,0.7720967,0.7401240,0.7121845,0.7430445,0.8444383,0.6824554,0.7236921,0.6922254,0.7338268,0.6436903,0.7009677,0.6988146,0.7344177,0.8031586,0.6338515,0.5789344,0.6412711,0.6005082,0.6362791,0.5326022,0.4032316,0.5263524,0.3807648,0.5350322,0.5210753,0.5981721,0.5442907,0.3727379,0.4905276,0.4860385,0.4124916,0.4578288,0.4904342,0.5166999,0.3646252,0.5524782,0.4086380,0.4849512,0.4662717,0.4949793,0.3439329,0.3576197,0.4234566,0.4814102,0.3416308
prpR,0.2567564,0.2995312,0.3819418,0.4995046,0.4266370,0.5294104,0.5628926,0.4765315,0.4633407,0.4677404,0.4879332,0.4429436,0.5431459,0.4680876,0.6623661,0.4466554,0.5102052,0.5075717,0.4458502,0.5296989,0.4941045,0.4554425,0.5225220,0.5883090,0.5962833,0.5159866,0.5273108,0.4651198,0.6716259,0.4634585,0.4328022,0.5038773,0.6299083,0.5044833,0.5176420,0.5414715,0.4487858,0.4028866,0.4528153,0.4662127,0.5286612,0.4415956,0.4156969,0.5150239,0.4762294,0.4222617,0.3262586,0.4950309,0.4628577,0.4247956,0.4604756,0.3690244,0.3395578,0.2970827,0.3001063,0.2996110
ascG,0.4621893,0.4401704,0.4654866,0.4577439,0.4613703,0.4246676,0.4991575,0.4935275,0.4682441,0.3588926,0.4863713,0.4183387,0.4066458,0.4992305,0.5394631,0.5560117,0.4029500,0.5573939,0.3961569,0.5693534,0.4423396,0.5027382,0.5332811,0.4795595,0.4499553,0.4238582,0.4731100,0.4930476,0.6456828,0.5532568,0.5043937,0.5116912,0.4194809,0.4595232,0.5062034,0.4339034,0.5647387,0.4597489,0.5324364,0.5641014,0.4653571,0.5668050,0.5218100,0.4753953,0.5078256,0.5148444,0.3807684,0.3778327,0.4961690,0.5720933,0.4853242,0.4346625,0.4152592,0.3805059,0.4710105,0.5309545
