,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
lldR,0.6402485,0.5349702,0.5508935,0.4590636,0.4574525,0.4619997,0.4589745,0.4229606,0.3935740,0.4180831,0.4663647,0.4906814,0.4882426,0.4789567,0.4393376,0.4333644,0.4301516,0.4222145,0.4136434,0.3726259,0.3729472,0.4500768,0.4238133,0.4743994,0.3399125,0.4521890,0.3300308,0.3784455,0.3624597,0.5865010,0.5391681,0.5948333,0.7291676,0.6669198,0.7391523,0.6991191,0.7591071,0.6670886,0.7534679,0.8562491,0.8031257,0.6907612,0.6814209,0.6904456,0.6461253,0.5793255,0.6079360,0.5614684,0.7600525,0.7596356,0.6777115,0.7676150,0.7994652,0.6604837,0.8203808,0.7217045
arcA,0.7179640,0.6551405,0.6797528,0.6821074,0.7476235,0.7021763,0.6911733,0.6281366,0.6667429,0.6136991,0.6161992,0.7529171,0.7796749,0.7196867,0.7603552,0.7046690,0.7025065,0.6902510,0.7307831,0.6317391,0.6465402,0.5903913,0.6025581,0.6788061,0.5551424,0.7924443,0.7338404,0.7286154,0.6437015,0.8315787,0.6240655,0.7743558,0.6410216,0.6897088,0.8257781,0.6774319,0.6957524,0.7323903,0.7809614,0.5676265,0.6330813,0.7199944,0.8546279,0.6249521,0.7204109,0.7963358,0.7202323,0.7405302,0.7785009,0.6644088,0.7768857,0.7896594,0.6349063,0.8297237,0.7547611,0.7992997
betI,0.2163616,0.2537130,0.2230820,0.2710877,0.2335361,0.2190937,0.2140694,0.2794648,0.3351180,0.3496719,0.3023787,0.3190750,0.3974543,0.2782363,0.2465846,0.3674024,0.3148066,0.3104343,0.3116080,0.3490639,0.3831907,0.3924995,0.3131886,0.3842701,0.3434667,0.2788883,0.3161070,0.3045442,0.2148429,0.3136411,0.2372799,0.2670280,0.3267205,0.1816609,0.2466161,0.4143305,0.2855325,0.3201611,0.3158470,0.3232937,0.3588445,0.3194292,0.3751600,0.2794129,0.2678099,0.3561978,0.3328917,0.3232562,0.2895397,0.2289299,0.3650474,0.2809838,0.2500771,0.2356340,0.2956955,0.2977374
xylR,0.0450222,0.0252940,0.0120706,0.0214205,0.0179954,0.0234525,0.0160485,0.0458304,0.0623293,0.0540811,0.0367175,0.0103889,0.0306183,0.0214955,0.0416695,0.0248126,0.0377487,0.0258434,0.0725330,0.0227081,0.0131025,0.0250071,0.0488684,0.0557379,0.0241639,0.0197839,0.0456443,0.0294564,0.0297236,0.0165276,0.0473755,0.0513859,0.0314253,0.0179224,0.0330603,0.0423705,0.0335672,0.0336638,0.0374935,0.0407508,0.0660433,0.0277593,0.0447656,0.0262205,0.0452790,0.0114003,0.0416069,0.0407373,0.0211942,0.0273264,0.0268427,0.0267632,0.0195939,0.0229372,0.0662855,0.0251513
gadX,0.5788093,0.5507778,0.6746254,0.6671434,0.7119340,0.6125669,0.8403798,0.6946736,0.5368451,0.6375357,0.8420991,0.6524262,0.5828536,0.8604176,0.6321796,0.7071404,0.5849138,0.6068433,0.7677910,0.7268335,0.7752419,0.8090879,0.7467980,0.7982648,0.7990897,0.6692941,0.7563896,0.6727516,0.6204401,0.5146407,0.6088168,0.7069369,0.6563776,0.5853543,0.6201668,0.5601769,0.4763323,0.4778969,0.5682417,0.6128097,0.5039311,0.5205506,0.5162636,0.5981018,0.4638650,0.5358941,0.5737628,0.6396479,0.6225449,0.5159100,0.6065541,0.5633115,0.6037647,0.6284847,0.6618280,0.6309114
torR,0.4118761,0.3876300,0.3120794,0.3060542,0.3735700,0.2522109,0.2868411,0.2642208,0.3353041,0.2269082,0.1937691,0.2696108,0.2505901,0.2604255,0.3182368,0.2486110,0.2741793,0.2386066,0.1956725,0.2363012,0.3080547,0.2441248,0.2448220,0.2758648,0.2225462,0.2519922,0.3336615,0.3546255,0.3038176,0.4564525,0.5057352,0.4752551,0.4338381,0.3927353,0.3580898,0.3107517,0.3391480,0.3643748,0.3731212,0.3172401,0.4478480,0.4127125,0.3804709,0.3912253,0.2633721,0.2857725,0.3115518,0.3555628,0.4216075,0.4153526,0.4356844,0.4103705,0.4173381,0.3760382,0.3261042,0.3337417
rutR,0.2698733,0.2236978,0.2149029,0.2236320,0.2362949,0.2583698,0.2115142,0.2104842,0.2488792,0.2594685,0.1976391,0.2683323,0.2500968,0.2875497,0.2016814,0.2594712,0.2441617,0.2244773,0.1521811,0.2977760,0.2155443,0.2251285,0.1740156,0.2073726,0.2034867,0.2270084,0.2110347,0.2368519,0.1651338,0.2131142,0.2728384,0.2063223,0.2372993,0.2203184,0.2635943,0.2144898,0.2274589,0.2804646,0.2837954,0.2273167,0.2716407,0.2244584,0.2299737,0.3090683,0.2710196,0.2019911,0.2782972,0.2397158,0.2807706,0.1800178,0.2259360,0.2283186,0.2113516,0.1982482,0.1855697,0.2046587
gadW,0.4847135,0.4747566,0.4600192,0.4420029,0.4579229,0.4859526,0.5334194,0.5292906,0.4950669,0.5350769,0.5450769,0.4821611,0.5121176,0.5475731,0.4369625,0.4496392,0.5132572,0.4555293,0.4437735,0.5572839,0.4353158,0.5088759,0.4375131,0.4645984,0.5412415,0.4703643,0.5478417,0.4728594,0.4662254,0.4096029,0.5288738,0.4698042,0.4347695,0.4076661,0.4610137,0.4016502,0.5144828,0.4971931,0.6188436,0.5300201,0.6051539,0.5988592,0.5103401,0.5913431,0.5287680,0.5166978,0.4973334,0.4187471,0.4386781,0.5464271,0.5474886,0.5362828,0.4871333,0.4900972,0.4116620,0.4166827
nemR,0.6466003,0.5736830,0.6309459,0.5751258,0.5593700,0.5317866,0.5527150,0.5684202,0.6382297,0.5605445,0.6209865,0.5781013,0.6021829,0.5567435,0.6524468,0.5666284,0.5776445,0.7050320,0.5957128,0.5999237,0.6356539,0.6658842,0.6274352,0.7356152,0.6406287,0.5602627,0.5756523,0.5744243,0.5899208,0.6503629,0.6008585,0.6971426,0.5552942,0.6778978,0.5648736,0.7104122,0.6618673,0.5797197,0.6122720,0.6482199,0.5524769,0.7846409,0.5864934,0.5196946,0.5390243,0.6233395,0.7265277,0.6824129,0.5982219,0.6292083,0.5877727,0.6405282,0.5668535,0.5759620,0.6542535,0.7627944
gadE,0.0863858,0.2084440,0.2423508,0.3385200,0.3709490,0.3006622,0.4658057,0.5145930,0.5618893,0.5726751,0.5247984,0.5448752,0.5919503,0.5033012,0.4927864,0.5645431,0.5373507,0.5162733,0.6025664,0.5477443,0.6158862,0.7729244,0.5561090,0.4175399,0.6243192,0.6148035,0.5477043,0.6512915,0.5976455,0.3695332,0.3056591,0.3868573,0.3121254,0.2284861,0.2270710,0.2081118,0.1600127,0.1165931,0.1035269,0.0700465,0.1462817,0.1777994,0.1435701,0.0430859,0.0628912,0.0780604,0.0830407,0.0719045,0.0749990,0.0446514,0.0799458,0.0632051,0.1155445,0.0714526,0.0800116,0.0906710
