Gene1,Gene2,Type
betI,betA,+
betI,betB,+
betI,betT,+
arcA,betI,+
arcA,lldR,+
arcA,xylR,+
arcA,gadX,+
arcA,gadA,+
arcA,rutF,+
arcA,rutE,+
arcA,rutA,+
arcA,rutG,+
arcA,rutD,+
arcA,rutB,+
arcA,rutC,+
arcA,cadA,+
arcA,fadL,+
arcA,cadB,+
arcA,lldP,+
arcA,betA,+
arcA,betB,+
arcA,lldD,+
arcA,betT,+
arcA,treB,+
arcA,treC,+
lldR,lldP,+
lldR,lldD,+
gadX,gadW,+
gadX,gadE,+
gadX,mdtE,+
gadX,mdtF,+
gadX,gadA,+
gadX,hdeA,+
gadX,yhiD,+
gadX,hdeB,+
gadX,gadC,+
gadX,cadA,+
gadX,gadB,+
gadX,cadB,+
gadX,gadY,+
gadX,hdeD,+
gadX,slp,+
gadX,dctR,+
torR,gadX,+
torR,gadA,+
torR,hdeA,+
torR,yhiD,+
torR,hdeB,+
rutR,gadX,+
rutR,gadW,+
rutR,nemR,+
rutR,rutF,+
rutR,rutE,+
rutR,rutA,+
rutR,rutG,+
rutR,rutD,+
rutR,rutB,+
rutR,rutC,+
rutR,nemA,+
gadW,gadX,+
gadW,gadE,+
gadW,mdtE,+
gadW,mdtF,+
gadW,gadA,+
gadW,hdeA,+
gadW,yhiD,+
gadW,hdeB,+
gadW,gadC,+
gadW,gadB,+
gadW,gadY,+
gadW,slp,+
gadW,dctR,+
nemR,nemA,+
gadE,gadX,+
gadE,gadW,+
gadE,rcsA,+
gadE,mdtE,+
gadE,mdtF,+
gadE,gadA,+
gadE,hdeA,+
gadE,yhiD,+
gadE,hdeB,+
gadE,gadC,+
gadE,cadA,+
gadE,gadB,+
gadE,cadB,+
gadE,hdeD,+
ydeO,gadE,+
ydeO,mdtE,+
ydeO,mdtF,+
evgA,gadE,+
evgA,ydeO,+
evgA,mdtE,+
evgA,mdtF,+
rcsA,csgD,+
rcsA,csgE,+
rcsA,csgG,+
rcsA,csgF,+
rcsA,sra,+
rcsA,wza,+
rcsA,wcaA,+
rcsA,wzb,+
rcsA,wzc,+
rcsA,osmB,+
rcsA,wcaB,+
rcsA,rprA,+
rcsA,bdm,+
rcsA,yjbE,+
rcsA,yjbF,+
csgD,csgE,+
csgD,csgG,+
csgD,csgF,+
rcsB,rcsA,+
rcsB,csgD,+
rcsB,csgE,+
rcsB,csgG,+
rcsB,csgF,+
rcsB,sra,+
rcsB,wza,+
rcsB,wcaA,+
rcsB,wzb,+
rcsB,wzc,+
rcsB,osmB,+
rcsB,wcaB,+
rcsB,rprA,+
rcsB,bdm,+
rcsB,yjbE,+
rcsB,yjbF,+
rstA,csgD,+
rstA,csgE,+
rstA,csgG,+
rstA,csgF,+
ompR,csgD,+
ompR,bolA,+
ompR,csgE,+
ompR,csgG,+
ompR,csgF,+
ompR,fadL,+
ompR,sra,+
phoP,rstA,+
phoP,treR,+
phoP,rutF,+
phoP,rutE,+
phoP,rutA,+
phoP,rutG,+
phoP,rutD,+
phoP,rutB,+
phoP,rutC,+
phoP,fadL,+
treR,treB,+
treR,treC,+
