Gene1,Gene2,Type
glrR,glmY,+
ihfB,glmY,+
ihfB,hipA,+
ihfB,hipB,+
ihfB,yeiL,+
ihfB,tdcA,+
ihfB,yiaJ,+
ihfB,ompR,+
ihfB,fhlA,+
ihfB,sra,+
ihfB,yjbE,+
ihfB,yjbF,+
ihfB,yjbG,+
ihfB,yjbH,+
ihfB,tdcB,+
ihfB,tdcC,+
ihfB,tdcF,+
ihfB,tdcE,+
ihfB,tdcD,+
ihfB,tdcG,+
ihfB,ompF,+
ihfB,sgbE,+
ihfB,yiaO,+
ihfB,yiaK,+
ihfB,yiaL,+
ihfB,yiaN,+
ihfB,sgbU,+
ihfB,lyxK,+
ihfB,sgbH,+
hipA,hipB,+
hipB,hipA,+
tdcA,tdcB,+
tdcA,tdcC,+
tdcA,tdcF,+
tdcA,tdcE,+
tdcA,tdcD,+
tdcA,tdcG,+
tdcR,tdcA,+
tdcR,tdcB,+
tdcR,tdcC,+
tdcR,tdcF,+
tdcR,tdcE,+
tdcR,tdcD,+
tdcR,tdcG,+
yiaJ,sgbE,+
yiaJ,yiaO,+
yiaJ,yiaK,+
yiaJ,yiaL,+
yiaJ,yiaN,+
yiaJ,sgbU,+
yiaJ,lyxK,+
yiaJ,sgbH,+
ompR,bolA,+
ompR,csgD,+
ompR,csgE,+
ompR,csgG,+
ompR,csgF,+
ompR,sra,+
ompR,ompF,+
csgD,csgE,+
csgD,csgG,+
csgD,csgF,+
rstA,csgD,+
rstA,csgE,+
rstA,csgG,+
rstA,csgF,+
rstA,ompF,+
rcsB,csgD,+
rcsB,rcsA,+
rcsB,csgE,+
rcsB,csgG,+
rcsB,csgF,+
rcsB,sra,+
rcsB,yjbE,+
rcsB,yjbF,+
rcsB,yjbG,+
rcsB,yjbH,+
rcsB,osmB,+
rcsB,wzb,+
rcsB,rprA,+
rcsB,wzc,+
rcsB,wcaB,+
rcsB,wza,+
rcsB,wcaA,+
rcsB,bdm,+
rcsB,ftsZ,+
rcsB,ftsA,+
rcsA,csgD,+
rcsA,csgE,+
rcsA,csgG,+
rcsA,csgF,+
rcsA,sra,+
rcsA,yjbE,+
rcsA,yjbF,+
rcsA,yjbG,+
rcsA,yjbH,+
rcsA,osmB,+
rcsA,wzb,+
rcsA,rprA,+
rcsA,wzc,+
rcsA,wcaB,+
rcsA,wza,+
rcsA,wcaA,+
rcsA,bdm,+
rcsA,ftsZ,+
rcsA,ftsA,+
fhlA,hyfR,+
fhlA,hyfA,+
fhlA,hyfI,+
fhlA,hyfJ,+
fhlA,focB,+
fhlA,hyfG,+
fhlA,hyfE,+
fhlA,hyfB,+
fhlA,hyfD,+
fhlA,hyfC,+
hyfR,hyfA,+
hyfR,hyfI,+
hyfR,hyfJ,+
hyfR,focB,+
hyfR,hyfG,+
hyfR,hyfE,+
hyfR,hyfB,+
hyfR,hyfD,+
hyfR,hyfC,+
gadE,rcsA,+
gadE,mdtF,+
gadE,mdtE,+
ydeO,gadE,+
ydeO,mdtF,+
ydeO,mdtE,+
evgA,gadE,+
evgA,ydeO,+
evgA,mdtF,+
evgA,mdtE,+
