Gene1,Gene2,Type
flhD,flgM,+
flhD,flgJ,+
flhD,fliR,+
flhD,flhE,+
flhD,fliQ,+
flhD,fliM,+
flhD,fliH,+
flhD,flgE,+
flhD,flgN,+
flhD,flgH,+
flhD,fliK,+
flhD,gltI,+
flhD,yhjH,+
flhD,flhB,+
flhD,fliN,+
flhD,recC,+
flhD,flgD,+
flhD,flgI,+
flhD,fliG,+
flhD,fliF,+
flhD,fliT,+
flhD,fliD,+
flhD,flhA,+
flhD,ppdC,+
flhD,flgA,+
flhD,flgG,+
hdfR,flhD,+
hdfR,flhC,+
qseB,flhD,+
qseB,flhC,+
lrhA,flhD,+
lrhA,flhC,+
flhC,flgM,+
flhC,flgJ,+
flhC,fliR,+
flhC,flhE,+
flhC,fliQ,+
flhC,fliM,+
flhC,fliH,+
flhC,flgE,+
flhC,flgN,+
flhC,flgH,+
flhC,fliK,+
flhC,gltI,+
flhC,yhjH,+
flhC,flhB,+
flhC,fliN,+
flhC,recC,+
flhC,flgD,+
flhC,flgI,+
flhC,fliG,+
flhC,fliF,+
flhC,fliT,+
flhC,fliD,+
flhC,flhA,+
flhC,ppdC,+
flhC,flgA,+
flhC,flgG,+
ompR,flhD,+
ompR,flhC,+
ompR,csgD,+
ompR,bolA,+
ompR,csgF,+
ompR,csgG,+
ompR,csgE,+
ompR,sra,+
rcsB,flhD,+
rcsB,flhC,+
rcsB,rcsA,+
rcsB,csgD,+
rcsB,csgF,+
rcsB,csgG,+
rcsB,csgE,+
rcsB,sra,+
rcsB,rprA,+
rcsB,wcaB,+
rcsB,wzc,+
rcsB,osmB,+
rcsB,bdm,+
rcsA,flhD,+
rcsA,flhC,+
rcsA,csgD,+
rcsA,csgF,+
rcsA,csgG,+
rcsA,csgE,+
rcsA,sra,+
rcsA,rprA,+
rcsA,wcaB,+
rcsA,wzc,+
rcsA,osmB,+
rcsA,bdm,+
csgD,csgF,+
csgD,csgG,+
csgD,csgE,+
rstA,csgD,+
rstA,csgF,+
rstA,csgG,+
rstA,csgE,+
gadE,rcsA,+
gadE,gadW,+
gadE,gadX,+
gadE,mdtF,+
gadE,mdtE,+
gadE,yhiD,+
gadE,hdeB,+
gadE,hdeA,+
gadE,gadA,+
gadE,gadB,+
gadE,gadC,+
ydeO,gadE,+
ydeO,mdtF,+
ydeO,mdtE,+
evgA,gadE,+
evgA,ydeO,+
evgA,mdtF,+
evgA,mdtE,+
gadW,gadE,+
gadW,gadX,+
gadW,mdtF,+
gadW,mdtE,+
gadW,yhiD,+
gadW,hdeB,+
gadW,hdeA,+
gadW,gadA,+
gadW,gadB,+
gadW,gadC,+
gadW,gadY,+
gadX,gadE,+
gadX,gadW,+
gadX,mdtF,+
gadX,mdtE,+
gadX,yhiD,+
gadX,hdeB,+
gadX,hdeA,+
gadX,gadA,+
gadX,gadB,+
gadX,gadC,+
gadX,gadY,+
rutR,gadW,+
rutR,gadX,+
rutR,nemR,+
torR,gadX,+
torR,yhiD,+
torR,hdeB,+
torR,hdeA,+
torR,gadA,+
phoP,rstA,+
