Gene1,Gene2,Type
ompR,bolA,+
ompR,csgD,+
ompR,flhD,+
ompR,flhC,+
ompR,csgF,+
ompR,csgE,+
ompR,csgG,+
ompR,sra,+
csgD,csgF,+
csgD,csgE,+
csgD,csgG,+
rstA,csgD,+
rstA,csgF,+
rstA,csgE,+
rstA,csgG,+
rcsB,csgD,+
rcsB,rcsA,+
rcsB,flhD,+
rcsB,flhC,+
rcsB,csgF,+
rcsB,csgE,+
rcsB,csgG,+
rcsB,sra,+
rcsB,osmB,+
rcsB,wcaB,+
rcsB,wzb,+
rcsB,wzc,+
rcsB,wcaA,+
rcsA,csgD,+
rcsA,flhD,+
rcsA,flhC,+
rcsA,csgF,+
rcsA,csgE,+
rcsA,csgG,+
rcsA,sra,+
rcsA,osmB,+
rcsA,wcaB,+
rcsA,wzb,+
rcsA,wzc,+
rcsA,wcaA,+
flhD,flgH,+
flhD,fliM,+
flhD,ppdA,+
flhD,flgM,+
flhD,fliT,+
flhD,fliF,+
flhD,fliK,+
flhD,ygdB,+
flhD,gltJ,+
flhD,flgA,+
flhD,flgE,+
flhD,fliJ,+
flhD,flgG,+
flhD,fliQ,+
flhD,fliE,+
flhD,fliG,+
flhD,recC,+
flhD,flgC,+
flhD,fliO,+
flhD,flgD,+
flhD,ygbK,+
flhD,fliR,+
flhD,fliN,+
flhD,yhjH,+
flhD,fliP,+
flhD,gltI,+
flhD,flgF,+
hdfR,flhD,+
hdfR,flhC,+
flhC,flgH,+
flhC,fliM,+
flhC,ppdA,+
flhC,flgM,+
flhC,fliT,+
flhC,fliF,+
flhC,fliK,+
flhC,ygdB,+
flhC,gltJ,+
flhC,flgA,+
flhC,flgE,+
flhC,fliJ,+
flhC,flgG,+
flhC,fliQ,+
flhC,fliE,+
flhC,fliG,+
flhC,recC,+
flhC,flgC,+
flhC,fliO,+
flhC,flgD,+
flhC,ygbK,+
flhC,fliR,+
flhC,fliN,+
flhC,yhjH,+
flhC,fliP,+
flhC,gltI,+
flhC,flgF,+
qseB,flhD,+
qseB,flhC,+
lrhA,flhD,+
lrhA,flhC,+
gadE,rcsA,+
gadE,gadW,+
gadE,gadX,+
gadE,mdtE,+
gadE,mdtF,+
gadE,hdeA,+
gadE,hdeB,+
gadE,yhiD,+
gadE,gadA,+
gadE,gadB,+
gadE,gadC,+
ydeO,gadE,+
ydeO,mdtE,+
ydeO,mdtF,+
evgA,gadE,+
evgA,ydeO,+
evgA,mdtE,+
evgA,mdtF,+
gadW,gadE,+
gadW,gadX,+
gadW,mdtE,+
gadW,mdtF,+
gadW,hdeA,+
gadW,hdeB,+
gadW,yhiD,+
gadW,gadA,+
gadW,gadB,+
gadW,gadC,+
gadX,gadE,+
gadX,gadW,+
gadX,mdtE,+
gadX,mdtF,+
gadX,hdeA,+
gadX,hdeB,+
gadX,yhiD,+
gadX,gadA,+
gadX,gadB,+
gadX,gadC,+
rutR,gadW,+
rutR,gadX,+
rutR,nemR,+
torR,gadX,+
torR,hdeA,+
torR,hdeB,+
torR,yhiD,+
torR,gadA,+
phoP,rstA,+
