,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
glrR,0.6982251,0.5950269,0.6933751,0.6038049,0.7257944,0.6930570,0.5971232,0.5749385,0.5534059,0.4885860,0.5319441,0.5425844,0.5623599,0.5478293,0.4216036,0.5041293,0.4897341,0.4270517,0.5773626,0.5401508,0.4821656,0.5820700,0.5228486,0.5209118,0.5048010,0.3823054,0.4769230,0.4489114,0.4557649,0.4917666,0.6628996,0.7274148,0.7860735,0.7341948,0.7854662,0.6511683,0.7163136,0.6408840,0.7141737,0.8086072,0.6218068,0.6589082,0.7989281,0.8495188,0.6722249,0.7574575,0.6855655,0.6715345,0.5561783,0.6185356,0.6814147,0.7664091,0.7491620,0.7733532,0.7506132,0.6358017
glmY,0.1580206,0.2110316,0.0962712,0.1121752,0.1183530,0.1278582,0.1284145,0.1185582,0.1082703,0.1152931,0.1679927,0.1996227,0.1497713,0.1708560,0.2527361,0.1425815,0.1263697,0.1434141,0.1021876,0.1162181,0.0858082,0.1061555,0.1059817,0.0990235,0.1091980,0.1374266,0.1059332,0.0797548,0.1413512,0.0826625,0.1327371,0.0994572,0.1160740,0.1256740,0.1488773,0.1434928,0.1593893,0.1510017,0.1643393,0.1858945,0.1391119,0.1262175,0.1924163,0.1764862,0.1771566,0.1678910,0.2121160,0.1295431,0.2054137,0.1853846,0.2102273,0.1385716,0.0898121,0.1813738,0.1668667,0.3230757
ihfB,0.4453271,0.4176823,0.4574579,0.5362981,0.4440506,0.4110326,0.4698537,0.4157846,0.4970656,0.4600613,0.5236862,0.3364905,0.3552695,0.4453155,0.4883702,0.5282464,0.4844493,0.4026006,0.3965054,0.4237785,0.4043783,0.4579110,0.4027356,0.4828705,0.3732550,0.4453600,0.3843489,0.2893531,0.3857888,0.4149282,0.4020626,0.3438356,0.3556901,0.4952858,0.4161284,0.4627252,0.4579867,0.4660448,0.3210833,0.5321914,0.4603360,0.3966957,0.4473999,0.4321184,0.3611400,0.4112785,0.5322283,0.4801488,0.3994897,0.5182802,0.4444717,0.4603819,0.4801765,0.3816350,0.4396389,0.4260598
hipA,0.4457843,0.3477595,0.2859290,0.2826810,0.4223560,0.2676103,0.3372019,0.3076153,0.4254844,0.2929239,0.3587398,0.3340143,0.3157130,0.4151436,0.4168400,0.3234535,0.3181307,0.2913459,0.3272170,0.2049816,0.3462920,0.2486260,0.3438532,0.3073338,0.3307793,0.3119458,0.3106306,0.3202833,0.2484966,0.4336053,0.5714240,0.6038396,0.5382527,0.5918116,0.6160311,0.4432499,0.4659815,0.4375647,0.4815996,0.4516569,0.5754666,0.4825763,0.6067159,0.4201618,0.4625100,0.3834098,0.4444164,0.4086388,0.4386374,0.4322364,0.3951845,0.4646895,0.4203089,0.4733519,0.4985022,0.4566374
hipB,0.3048041,0.1854830,0.1520763,0.1047822,0.0816446,0.0603022,0.0374044,0.0398587,0.0315744,0.0152502,0.0184491,0.0157921,0.0065702,0.0022665,0.0000000,0.0025466,0.0011323,0.0017329,0.0036088,0.0043279,0.0025782,0.0017987,0.0004512,0.0005848,0.0000159,0.0002336,0.0002286,0.0000791,0.0013484,0.0688151,0.1351075,0.1702745,0.2109609,0.2156323,0.2191277,0.2457651,0.3014583,0.2354288,0.2403086,0.2033385,0.2892191,0.1846711,0.2178576,0.2083334,0.2050382,0.2221211,0.1929645,0.2551702,0.3034757,0.1853139,0.2713938,0.3233103,0.2456469,0.1916631,0.2241647,0.2083334
yeiL,0.7384333,0.6099908,0.6597245,0.7034386,0.7785495,0.7078260,0.7195254,0.7190069,0.6505949,0.7116496,0.7389578,0.8028502,0.7542191,0.6996942,0.6368153,0.7983077,0.6865991,0.5851317,0.8357825,0.7457079,0.7281180,0.6692912,0.7085826,0.7505716,0.6891078,0.8192945,0.7396334,0.8142470,0.7821429,0.7441654,0.6570012,0.6470927,0.7572004,0.7542328,0.7192361,0.7202875,0.7308913,0.7031544,0.7690022,0.6935306,0.6187818,0.6246234,0.6743686,0.6666863,0.7443990,0.6132026,0.7207684,0.8050782,0.7555434,0.6630852,0.7168956,0.8319573,0.7984594,0.7342333,0.6522082,0.6431917
tdcA,0.3900957,0.4643845,0.4053664,0.4296420,0.4018718,0.4851797,0.6106918,0.5308757,0.4685790,0.4883378,0.4533544,0.5251362,0.3829738,0.4091983,0.3731460,0.2989369,0.4389562,0.4138088,0.3652496,0.4671899,0.3366045,0.3301981,0.3784765,0.3621732,0.2965336,0.3756777,0.3956575,0.3763829,0.4999095,0.4497353,0.3750891,0.4371445,0.4073154,0.4254512,0.4298384,0.3134920,0.3437491,0.4033412,0.4421092,0.4522030,0.4266825,0.4159297,0.3664538,0.3759181,0.4777717,0.4419527,0.4190671,0.4545748,0.4631519,0.3671877,0.4665211,0.3598601,0.3166792,0.4718359,0.3376546,0.3287954
tdcR,0.8174554,0.6989847,0.7061283,0.7614002,0.7358004,0.7250130,0.7143662,0.7346965,0.6923854,0.7837174,0.7697784,0.6147286,0.8235753,0.6947130,0.6302900,0.6443383,0.6388196,0.7663313,0.7210367,0.6574712,0.6182014,0.6258411,0.6561955,0.7587964,0.7096431,0.6949814,0.7536288,0.7204610,0.7230542,0.7261532,0.6588039,0.6916996,0.7395419,0.8117744,0.4832122,0.6936445,0.7306019,0.8035767,0.7061359,0.8337905,0.7472383,0.6469759,0.7133255,0.7059396,0.7742814,0.6900368,0.7793672,0.6661956,0.6592168,0.7248818,0.7862405,0.7671254,0.7687432,0.6807802,0.5778783,0.6867392
yiaJ,0.5488294,0.4243211,0.5522925,0.4089314,0.5393138,0.5661751,0.5597735,0.4403846,0.4507166,0.4520732,0.4677093,0.5386080,0.5365938,0.4476589,0.4651246,0.4257166,0.4418115,0.4248331,0.4422406,0.3612179,0.4512654,0.4511113,0.5479835,0.5467053,0.5017317,0.3625052,0.4700942,0.4291645,0.4572971,0.3714413,0.3926087,0.4489481,0.4418319,0.5615040,0.4652535,0.4087537,0.4964037,0.4659065,0.3816233,0.4406479,0.4349813,0.4239597,0.4447370,0.3476430,0.3729889,0.3470441,0.4057121,0.3580230,0.5022353,0.4211162,0.4845226,0.4765164,0.3641142,0.4581193,0.3812595,0.4079397
ompR,0.1775036,0.1939556,0.2299002,0.2493710,0.1706792,0.1671755,0.2192824,0.1517016,0.1903937,0.1666147,0.1278820,0.1652483,0.1774380,0.2125709,0.2380357,0.1810283,0.1702394,0.1178165,0.1843845,0.2363622,0.2017375,0.1913161,0.2013380,0.1683070,0.1087140,0.1298086,0.1939368,0.1155162,0.1705712,0.2208815,0.1854027,0.1645989,0.2718423,0.2199172,0.2593018,0.1979613,0.1820263,0.1859679,0.2034765,0.1843584,0.2069500,0.2378523,0.2271027,0.2205518,0.1952286,0.1883511,0.1680465,0.2054044,0.2237945,0.2011729,0.2140850,0.1983318,0.1412423,0.1693268,0.1843236,0.2027861
bolA,0.4293990,0.4276143,0.3409230,0.3185290,0.4712072,0.4807970,0.4616384,0.3855794,0.3572154,0.3506218,0.3748637,0.4164726,0.4308743,0.3569023,0.3223020,0.3443412,0.3651073,0.3709654,0.5389148,0.3510253,0.3579925,0.4341419,0.3875295,0.5043063,0.4481242,0.4344065,0.4597019,0.4896147,0.3517105,0.4384014,0.4283065,0.3632058,0.3990486,0.4332183,0.4200372,0.3974490,0.3471235,0.4307529,0.4741944,0.5109250,0.5575311,0.4698256,0.3751640,0.4621652,0.4753418,0.3664950,0.3538394,0.3041191,0.3524088,0.3594933,0.4281276,0.4594616,0.3769689,0.4025309,0.4518238,0.4290009
csgD,0.5463553,0.6280405,0.6175839,0.7571752,0.5396458,0.7014653,0.5983720,0.6548989,0.6745887,0.6265827,0.7901070,0.6836687,0.6768488,0.5988004,0.6858315,0.6616681,0.6789938,0.6556720,0.5593119,0.5651887,0.5515861,0.6513679,0.6449814,0.5261499,0.5626781,0.5929821,0.5049561,0.6641214,0.6069765,0.5881802,0.5095785,0.5629581,0.5851336,0.6088929,0.6693867,0.6250496,0.5201268,0.5097475,0.5088183,0.5859167,0.5452618,0.6286559,0.6661270,0.5789903,0.6387366,0.6474924,0.6974401,0.6638495,0.6914587,0.6847839,0.6327332,0.6619343,0.5644615,0.5897168,0.6577476,0.6545936
rstA,0.6922897,0.6472438,0.4376759,0.4088854,0.4180205,0.2413924,0.2782947,0.3081346,0.3318723,0.3599408,0.3206894,0.3567223,0.3243374,0.2685287,0.2697854,0.3535432,0.3998914,0.2530736,0.2281345,0.3102307,0.3615972,0.2291634,0.2750827,0.2657259,0.2504600,0.2177489,0.2334451,0.2944720,0.3012876,0.4386170,0.5469256,0.6232737,0.7709245,0.7142303,0.7013718,0.6962097,0.6089275,0.7290546,0.5968424,0.6572952,0.8212434,0.7794646,0.7239514,0.6692912,0.7325113,0.7644890,0.6920504,0.7551273,0.7702992,0.7530924,0.7038545,0.6666330,0.7284137,0.7304548,0.7647821,0.6615106
rcsB,0.8135506,0.6846897,0.6027193,0.6335136,0.5734875,0.5298002,0.5385783,0.5515757,0.6238326,0.5575231,0.5524591,0.6707913,0.5620417,0.6851222,0.5923782,0.4862101,0.5450545,0.5181274,0.4543756,0.4593929,0.4839656,0.6066455,0.4615560,0.5364092,0.5002292,0.4748402,0.4895613,0.4567303,0.5721331,0.6808530,0.6340154,0.7263328,0.7741131,0.6609347,0.5889618,0.5463552,0.6859065,0.6575175,0.6735273,0.7066118,0.6398646,0.7898937,0.7353671,0.7951796,0.6617870,0.7641381,0.8619904,0.7899010,0.6600450,0.5978267,0.6932571,0.7246114,0.8229642,0.7227511,0.7542711,0.6315905
rcsA,0.5010730,0.3860395,0.4183273,0.4413512,0.4222876,0.3624716,0.3884033,0.2991301,0.3361089,0.3032997,0.2564615,0.3072341,0.2859065,0.2789371,0.3281117,0.3112377,0.2516962,0.3338925,0.3659330,0.3108664,0.2514410,0.2063657,0.3420369,0.2446024,0.2536798,0.3165398,0.2907030,0.3107237,0.3052369,0.3759799,0.2828584,0.2903543,0.2965591,0.3372090,0.2798264,0.2926566,0.3157522,0.3198278,0.4057647,0.3946630,0.3184457,0.3607293,0.2951079,0.3997829,0.3847342,0.4131625,0.4158289,0.4669339,0.5014380,0.4194738,0.3488942,0.3599498,0.3412034,0.2984898,0.3293332,0.3095229
fhlA,0.7242336,0.7425792,0.6827203,0.6543392,0.7042165,0.7447862,0.6856736,0.5992362,0.6222265,0.6726334,0.6102580,0.7265076,0.8058013,0.7654874,0.7579456,0.6366929,0.6390545,0.7169419,0.6238110,0.7617966,0.7158243,0.6296400,0.6868441,0.7329735,0.6022967,0.7648858,0.6732883,0.6842180,0.6768715,0.8168592,0.8798042,0.6321287,0.6481973,0.7041326,0.7433632,0.6781103,0.7031734,0.6180625,0.6445231,0.7199153,0.7932624,0.8767062,0.8181312,0.8910455,0.7199522,0.8824006,0.6621828,0.6758227,0.6791212,0.5441417,0.6836980,0.7150754,0.7004983,0.7176360,0.7265860,0.6912438
hyfR,0.6976215,0.5862632,0.7185769,0.5342137,0.4887322,0.7301837,0.6481810,0.6395095,0.6838705,0.7029579,0.6563190,0.6179766,0.4981823,0.5984505,0.5603637,0.5259211,0.6780726,0.6167290,0.6405073,0.6036827,0.5830734,0.5523330,0.5365599,0.7097556,0.5275144,0.5324937,0.6114400,0.6476101,0.7661572,0.5200660,0.6477741,0.5355037,0.5586262,0.5691182,0.6249065,0.7196139,0.5164779,0.6467828,0.6741202,0.6272561,0.7148951,0.7202393,0.6366121,0.6849587,0.6874860,0.5548785,0.5295911,0.6569950,0.5914707,0.5977458,0.6194725,0.6428165,0.6913091,0.5797438,0.5438268,0.5684619
