,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
flhD,0.7300843,0.5805112,0.5214776,0.5346579,0.4491819,0.4138567,0.5191697,0.4458341,0.5006949,0.5278717,0.5654850,0.3618511,0.4379108,0.4740666,0.5346765,0.5000013,0.5377408,0.4608458,0.4246177,0.4008392,0.4300150,0.3522616,0.3914234,0.3859311,0.4844663,0.4114821,0.5503748,0.5620980,0.5163313,0.5206071,0.5547644,0.6717517,0.6079713,0.6666962,0.6745457,0.6928655,0.8243051,0.5365760,0.6586421,0.6935681,0.8078954,0.6550304,0.7924727,0.6707021,0.6836669,0.7159273,0.7525775,0.8696561,0.7176863,0.7437750,0.7415794,0.5955420,0.7019314,0.6518284,0.6930703,0.6039566
hdfR,0.6934863,0.4463827,0.3046508,0.2927377,0.2245133,0.2147255,0.1680240,0.1991024,0.1521561,0.2401326,0.2946117,0.2408176,0.1928882,0.1717036,0.2250165,0.1916062,0.2902177,0.1694397,0.1725754,0.1762512,0.2259916,0.1633911,0.1909984,0.2324683,0.1908030,0.2111617,0.1779079,0.2541943,0.2174872,0.4591044,0.6069628,0.6380649,0.7192880,0.7329624,0.7370151,0.6736202,0.7882589,0.7232991,0.6677310,0.7869717,0.8053683,0.7515615,0.7057000,0.7024062,0.7666307,0.6309665,0.7319743,0.7370044,0.7024141,0.6449251,0.7387680,0.6052017,0.7561658,0.7204435,0.6829185,0.6577762
qseB,0.0294956,0.0379643,0.0268915,0.0350105,0.0206422,0.0128935,0.0744175,0.0281131,0.0299661,0.0277044,0.0332827,0.0142526,0.0128766,0.0233156,0.0132953,0.0455209,0.0419696,0.0190068,0.0198241,0.0164399,0.0245884,0.0373758,0.0144674,0.0114590,0.0148897,0.0194642,0.0401479,0.0275650,0.0145997,0.0202881,0.0080054,0.0113633,0.0119851,0.0542355,0.0251768,0.0179059,0.0253936,0.0045706,0.0113127,0.0054913,0.0328498,0.0162667,0.0270945,0.0196832,0.0227413,0.0164355,0.0242617,0.0458712,0.0405637,0.0358254,0.0299617,0.0226980,0.0209164,0.0178709,0.0219771,0.0434384
lrhA,0.0357673,0.0291820,0.0387009,0.0714760,0.0625306,0.0753528,0.0507808,0.0604567,0.0271744,0.0454708,0.0351667,0.0222554,0.0217006,0.0154530,0.0153458,0.0295906,0.0329276,0.0201010,0.0346496,0.0449830,0.0205405,0.0248865,0.0173928,0.0371816,0.0087263,0.0248551,0.0163163,0.0234137,0.0258377,0.0379014,0.0246199,0.0220365,0.0330283,0.0612057,0.0527979,0.0793468,0.0557451,0.0272842,0.0355476,0.0180149,0.0262555,0.0309471,0.0544039,0.0718789,0.1293128,0.0562020,0.0796272,0.0692533,0.0681783,0.0867891,0.0549809,0.0493362,0.0735836,0.0515287,0.0411452,0.0399763
flhC,0.0059012,0.0215463,0.0268832,0.0189107,0.0536895,0.0440900,0.1498773,0.1961841,0.1657774,0.2180562,0.2628203,0.3923814,0.2934728,0.3179694,0.3298281,0.2358156,0.2649131,0.2077922,0.3153375,0.2838414,0.2522173,0.2700778,0.2473830,0.2759770,0.2602671,0.2563265,0.2733745,0.2505082,0.2456059,0.2823565,0.2219479,0.1790744,0.0959150,0.0505052,0.0464712,0.0196718,0.0151566,0.0113342,0.0288183,0.0059309,0.0107993,0.0057119,0.0132893,0.0214457,0.0080858,0.0118454,0.0084032,0.0114076,0.0097720,0.0073018,0.0169380,0.0361324,0.0041123,0.0147911,0.0048075,0.0087390
ompR,0.8129699,0.6802790,0.6700621,0.7382226,0.7347560,0.6578887,0.6966029,0.7453747,0.6498883,0.8010644,0.7112323,0.8250392,0.5273447,0.6913754,0.5933204,0.7059695,0.6950177,0.7064682,0.6515297,0.7527849,0.6343194,0.6730423,0.8377689,0.7065717,0.7876109,0.7324657,0.8036248,0.6522956,0.7729060,0.7296522,0.7422315,0.7136427,0.7902803,0.7448352,0.8050209,1.0000000,0.6562761,0.6800427,0.6017175,0.8125437,0.8439763,0.7146455,0.6214034,0.7313315,0.6722226,0.7071518,0.6019480,0.7447505,0.5919771,0.7742927,0.5971427,0.6819567,0.7777904,0.6467453,0.6902981,0.6867836
rcsB,0.7580030,0.4879472,0.4157052,0.3649984,0.3861718,0.3909095,0.3633160,0.3069134,0.3284471,0.3106028,0.2952005,0.2293567,0.2157674,0.2408800,0.2186648,0.2360657,0.2653815,0.2698149,0.2397108,0.2770979,0.2605242,0.3282516,0.3023291,0.3273057,0.2774748,0.3672492,0.2877912,0.2075154,0.2410530,0.4459861,0.4345116,0.4986363,0.6081504,0.6823195,0.6642426,0.6144808,0.6904912,0.7345653,0.6525293,0.7024562,0.6465494,0.7104733,0.7554703,0.6311188,0.5967804,0.6392038,0.6794410,0.6992258,0.7281495,0.8660822,0.7379584,0.6590636,0.6526375,0.7073144,0.6901169,0.7511767
rcsA,0.6566920,0.6966369,0.5814410,0.5494005,0.6041806,0.7031354,0.5693820,0.6400614,0.5777103,0.4635827,0.5270231,0.5468774,0.4833811,0.5320083,0.5516899,0.4715434,0.5310090,0.5110601,0.6064214,0.6460349,0.6964737,0.5773578,0.5139898,0.6426849,0.5828495,0.5594604,0.6532447,0.6657083,0.5654934,0.4222432,0.5078390,0.6263282,0.6146531,0.5089407,0.6558771,0.5788716,0.6335138,0.7504545,0.6715895,0.6391982,0.5849111,0.5846979,0.6786897,0.6404181,0.6199429,0.5788844,0.5072167,0.6368881,0.6127946,0.5753870,0.6498110,0.5867389,0.6246824,0.6321337,0.6588354,0.6805701
csgD,0.2017013,0.1989792,0.1595892,0.2031374,0.3015263,0.2318514,0.2100627,0.2890816,0.3895201,0.3447418,0.3889437,0.3992626,0.3793036,0.4116841,0.3288234,0.4013311,0.4796944,0.4517168,0.4212147,0.3994975,0.4079102,0.4423669,0.3990151,0.4459810,0.4008496,0.4186842,0.4831701,0.4767618,0.5032234,0.3696863,0.3867982,0.2973177,0.2587793,0.2626145,0.2533475,0.2146068,0.1889728,0.2133058,0.2150400,0.2912826,0.1942764,0.1589438,0.2012583,0.1589353,0.1974175,0.1892246,0.1510233,0.2332115,0.1836232,0.1563073,0.2097908,0.2257574,0.1955698,0.2072807,0.2467100,0.2397676
bolA,0.1311659,0.0625007,0.0277012,0.0272378,0.0271320,0.0180137,0.0154183,0.0051467,0.0075523,0.0050921,0.0025946,0.0032946,0.0013931,0.0132398,0.0067632,0.0006911,0.0008161,0.0096973,0.0013829,0.0029574,0.0023656,0.0007452,0.0087975,0.0004660,0.0028529,0.0002972,0.0038203,0.0000197,0.0006073,0.0153025,0.0429417,0.0749088,0.0463202,0.1043662,0.0619839,0.0885473,0.0772695,0.1171469,0.0921231,0.0793031,0.1101084,0.1089579,0.1067133,0.0820681,0.1106255,0.1034809,0.0812766,0.0951710,0.1261146,0.1277126,0.1115115,0.1365671,0.0879790,0.1429469,0.1523862,0.1141612
