Gene1,Gene2,Type
dicA,ydfD,+
dicA,dicB,+
lrp,tdh,+
lrp,yeiL,+
lrp,stpA,+
lrp,malT,+
lrp,hdeA,+
lrp,hdeB,+
lrp,yhiD,+
lrp,osmC,+
lrp,gltD,+
lrp,gltB,+
lrp,gltF,+
lrp,livK,+
lrp,livM,+
lrp,lysU,+
lrp,livH,+
lrp,sdaA,+
lrp,kbl,+
lrp,livJ,+
lrp,livF,+
lrp,yojI,+
malT,malZ,+
dgsA,malT,+
gadE,lrp,+
gadE,gadW,+
gadE,gadX,+
gadE,rcsA,+
gadE,mdtE,+
gadE,mdtF,+
gadE,hdeA,+
gadE,hdeB,+
gadE,yhiD,+
gadE,gadA,+
gadE,gadB,+
gadE,gadC,+
gadE,hdeD,+
gadE,cadA,+
gadE,cadB,+
gadE,gltD,+
gadE,gltB,+
gadE,gltF,+
gadE,gnd,+
ydeO,gadE,+
ydeO,mdtE,+
ydeO,mdtF,+
evgA,gadE,+
evgA,ydeO,+
evgA,mdtE,+
evgA,mdtF,+
evgA,yfdX,+
evgA,ydeP,+
evgA,yegR,+
evgA,yneN,+
gadW,gadE,+
gadW,gadX,+
gadW,mdtE,+
gadW,mdtF,+
gadW,hdeA,+
gadW,hdeB,+
gadW,yhiD,+
gadW,gadA,+
gadW,gadB,+
gadW,gadC,+
gadW,gadY,+
gadW,slp,+
gadW,dctR,+
gadX,gadE,+
gadX,gadW,+
gadX,mdtE,+
gadX,mdtF,+
gadX,hdeA,+
gadX,hdeB,+
gadX,yhiD,+
gadX,gadA,+
gadX,gadB,+
gadX,gadC,+
gadX,gadY,+
gadX,hdeD,+
gadX,slp,+
gadX,dctR,+
gadX,cadA,+
gadX,cadB,+
gadX,asnB,+
gadX,lon,+
gadX,ybaT,+
gadX,ybaS,+
rutR,gadW,+
rutR,gadX,+
rutR,nemR,+
rutR,nemA,+
nemR,nemA,+
torR,gadX,+
torR,hdeA,+
torR,hdeB,+
torR,yhiD,+
torR,gadA,+
rcsA,csgD,+
rcsA,osmC,+
rcsA,csgG,+
rcsA,csgF,+
rcsA,csgE,+
csgD,csgG,+
csgD,csgF,+
csgD,csgE,+
csgD,iraP,+
csgD,adrA,+
csgD,pepD,+
