Gene1,Gene2,Type
nadR,nadB,+
nadR,pnuC,+
nadR,nadA,+
nadR,pncB,+
crp,pncB,+
crp,rhaR,+
crp,rhaS,+
crp,zraR,+
crp,melR,+
crp,feaR,+
crp,malI,+
crp,mtlR,+
crp,prpR,+
crp,marR,+
crp,rbsR,+
crp,chbR,+
crp,nagC,+
crp,fucR,+
crp,chbC,+
crp,chbB,+
crp,chbG,+
crp,chbA,+
crp,chbF,+
crp,nagB,+
crp,prpC,+
crp,fucO,+
crp,fucI,+
crp,fucK,+
crp,rbsD,+
crp,prpD,+
crp,zraS,+
crp,nagD,+
crp,malY,+
crp,rhaD,+
crp,nagE,+
crp,rhaA,+
crp,ascF,+
crp,melA,+
crp,rbsB,+
crp,fucP,+
crp,ascB,+
crp,melB,+
crp,rbsK,+
crp,prpB,+
crp,rbsC,+
crp,fucU,+
crp,rhaB,+
crp,malX,+
crp,fucA,+
crp,prpE,+
crp,rbsA,+
crp,nagA,+
crp,nanM,+
crp,nanC,+
crp,rhaT,+
crp,manX,+
crp,mtlD,+
crp,manZ,+
crp,mtlA,+
crp,manY,+
crp,galP,+
crp,marB,+
rhaR,rhaS,+
rhaS,rhaR,+
rhaS,rhaD,+
rhaS,rhaA,+
rhaS,rhaB,+
rhaS,rhaT,+
zraR,zraS,+
melR,melA,+
melR,melB,+
malI,malY,+
malI,malX,+
mtlR,mtlD,+
mtlR,mtlA,+
prpR,prpC,+
prpR,prpD,+
prpR,prpB,+
prpR,prpE,+
ascG,prpR,+
ascG,ascF,+
ascG,ascB,+
marR,marB,+
rbsR,rbsD,+
rbsR,rbsB,+
rbsR,rbsK,+
rbsR,rbsC,+
rbsR,rbsA,+
chbR,chbC,+
chbR,chbB,+
chbR,chbG,+
chbR,chbA,+
chbR,chbF,+
nagC,chbR,+
nagC,chbC,+
nagC,chbB,+
nagC,chbG,+
nagC,chbA,+
nagC,chbF,+
nagC,nagB,+
nagC,nagD,+
nagC,nagE,+
nagC,nagA,+
nagC,nanM,+
nagC,nanC,+
nagC,manX,+
nagC,manZ,+
nagC,manY,+
nagC,galP,+
fucR,fucO,+
fucR,fucI,+
fucR,fucK,+
fucR,fucP,+
fucR,fucU,+
fucR,fucA,+
