Gene1,Gene2,Type
rhaR,rhaS,+
rhaS,rhaR,+
rhaS,rhaB,+
rhaS,rhaD,+
rhaS,rhaA,+
rhaS,rhaT,+
crp,rhaR,+
crp,rhaS,+
crp,feaR,+
crp,melR,+
crp,zraR,+
crp,malI,+
crp,mtlR,+
crp,prpR,+
crp,rbsR,+
crp,marR,+
crp,fucR,+
crp,chbR,+
crp,nagC,+
crp,srlR,+
crp,gutM,+
crp,idnR,+
crp,xylR,+
crp,uxuR,+
crp,chbB,+
crp,chbF,+
crp,chbG,+
crp,chbA,+
crp,chbC,+
crp,gutQ,+
crp,srlE,+
crp,srlD,+
crp,srlA,+
crp,srlB,+
crp,zraS,+
crp,rhaB,+
crp,prpE,+
crp,prpD,+
crp,rbsC,+
crp,rbsA,+
crp,melB,+
crp,nagE,+
crp,fucO,+
crp,rhaD,+
crp,ascF,+
crp,prpB,+
crp,rbsB,+
crp,fucU,+
crp,rhaA,+
crp,fucA,+
crp,prpC,+
crp,fucI,+
crp,nagD,+
crp,ascB,+
crp,rbsK,+
crp,fucP,+
crp,malX,+
crp,rbsD,+
crp,gntP,+
crp,melA,+
crp,malY,+
crp,nagB,+
crp,fucK,+
crp,xylF,+
crp,uxuA,+
crp,uxuB,+
crp,rhaT,+
crp,xylH,+
melR,melB,+
melR,melA,+
zraR,zraS,+
malI,malX,+
malI,malY,+
prpR,prpE,+
prpR,prpD,+
prpR,prpB,+
prpR,prpC,+
ascG,prpR,+
ascG,ascF,+
ascG,ascB,+
rbsR,rbsC,+
rbsR,rbsA,+
rbsR,rbsB,+
rbsR,rbsK,+
rbsR,rbsD,+
fucR,fucO,+
fucR,fucU,+
fucR,fucA,+
fucR,fucI,+
fucR,fucP,+
fucR,fucK,+
chbR,chbB,+
chbR,chbF,+
chbR,chbG,+
chbR,chbA,+
chbR,chbC,+
nagC,chbR,+
nagC,chbB,+
nagC,chbF,+
nagC,chbG,+
nagC,chbA,+
nagC,chbC,+
nagC,nagE,+
nagC,nagD,+
nagC,nagB,+
srlR,gutM,+
srlR,gutQ,+
srlR,srlE,+
srlR,srlD,+
srlR,srlA,+
srlR,srlB,+
gutM,srlR,+
gutM,gutQ,+
gutM,srlE,+
gutM,srlD,+
gutM,srlA,+
gutM,srlB,+
xylR,xylF,+
xylR,xylH,+
uxuR,gntP,+
uxuR,uxuA,+
uxuR,uxuB,+
