Gene1,Gene2
KLF6,ATF3
ATF3,KLF6
KLF6,BTG2
BTG2,KLF6
TRP53,HK2
TNF,CCL3
NFKB1,CFP
SNRPD1,HNRNPK
HNRNPK,SNRPD1
SNRPD1,SNRPE
SNRPD1,CWC15
SNRPD1,DDX5
DDX5,SNRPD1
SNRPD1,HNRNPC
SNRPD1,NHP2
SNRPD1,SNRPG
SNRPD1,LSM3
SNRPD1,SRSF2
SRSF2,SNRPD1
SNRPD1,HNRNPA2B1
SNRPD1,PRPF40A
SNRPD1,SNRPB
SNRPB,SNRPD1
SNRPD1,POLR2F
POLR2F,SNRPD1
SNRPD1,DNAJC8
SNRPD1,SF3B5
SNRPD1,NHP2L1
SNRPD1,HSPA8
SNRPD1,SNRPD2
SNRPD1,BUD31
SNRPD1,SNRNP25
SNRPD1,POLR2J
POLR2J,SNRPD1
SNRPD1,POLR2G
POLR2G,SNRPD1
SNRPD1,POLR2E
POLR2E,SNRPD1
SNRPD1,POLR2K
POLR2K,SNRPD1
SNRPD1,ERH
SNRPD1,HNRNPF
SNRPD1,LSM7
POLR2F,RPS11
BTF3,RPS11
TNF,IER3
NME2,RPL8
BTF3,RPL8
HNRNPK,CWC15
DDX5,CWC15
SRSF2,CWC15
SNRPB,CWC15
POLR2F,CWC15
POLR2J,CWC15
POLR2G,CWC15
POLR2E,CWC15
POLR2K,CWC15
IRF5,CCL4
SIN3B,H2AFV
SIN3B,MORF4L1
SIN3B,H3F3B
SIN3B,H3F3A
SIN3B,HBP1
HBP1,SIN3B
POLR2F,RPS5
NFKB1,CNN2
POLR2E,HNRNPK
HNRNPK,POLR2E
POLR2E,SNRPE
POLR2E,DDX5
DDX5,POLR2E
POLR2E,HNRNPC
POLR2E,NHP2
POLR2E,NME2
NME2,POLR2E
POLR2E,LSM3
POLR2E,COPS5
COPS5,POLR2E
POLR2E,POLR1D
POLR1D,POLR2E
POLR2E,SRSF2
SRSF2,POLR2E
POLR2E,UBC
POLR2E,HNRNPA2B1
POLR2E,H2AFV
POLR2E,PRPF40A
POLR2E,COPS6
POLR2E,SNRPB
SNRPB,POLR2E
POLR2E,POLR2F
POLR2F,POLR2E
POLR2E,DNAJC8
POLR2E,MED10
POLR2E,SF3B5
POLR2E,TAF9
TAF9,POLR2E
POLR2E,ACTB
POLR2E,TCEB2
TCEB2,POLR2E
POLR2E,RPS17
POLR2E,HSPA8
POLR2E,MED21
MED21,POLR2E
POLR2E,SNRPD2
POLR2E,PCNA
POLR2E,BUD31
POLR2E,SNRNP25
POLR2E,POLR2J
POLR2J,POLR2E
POLR2E,POLR2G
POLR2G,POLR2E
POLR2E,POLR2K
POLR2K,POLR2E
POLR2E,GTF2B
GTF2B,POLR2E
POLR2E,H3F3B
POLR2E,H3F3A
POLR2E,HNRNPF
POLR2E,RPS27A
POLR2E,LSM7
POLR2E,SSU72
TNF,CD44
TRP53,CD44
NFKB1,PSMB4
TNF,PSMB4
TCEB2,PSMB4
TRP53,PSMB4
NFKBIA,PSMB4
CTNNB1,PSMB4
POLR2F,RPS9
BTF3,RPS9
TAF9,APRT
NFE2L2,SOD2
TNF,SOD2
TRP53,SOD2
CTNNB1,PSMB6
CTNNB1,PSME1
CTNNB1,PSMB3
CTNNB1,PSMC6
CTNNB1,UBC
CTNNB1,CSNK2B
CTNNB1,PSMA3
CTNNB1,IQGAP1
CTNNB1,PSMB10
CTNNB1,PSMB7
CTNNB1,TRP53
TRP53,CTNNB1
CTNNB1,PSMA5
CTNNB1,PSMD6
CTNNB1,PSMB5
CTNNB1,PSMD8
CTNNB1,RPS27A
CTNNB1,PSME2
CTNNB1,H2AFV
CTNNB1,RAC1
CTNNB1,PSMC5
CTNNB1,PPP2R5C
CTNNB1,PSMA7
CTNNB1,CACYBP
CTNNB1,PSMD14
CTNNB1,PSMA6
CTNNB1,PSMA4
CTNNB1,TCF7L2
TCF7L2,CTNNB1
CTNNB1,PSMB1
CTNNB1,PSMB9
CTNNB1,PSMB8
CTNNB1,H3F3B
CTNNB1,H3F3A
CTNNB1,PSMB2
CTNNB1,PSMC4
POLR2F,RPS18
SRSF2,NXF1
TCEB2,NEDD8
COPS5,NEDD8
HSBP1,NEDD8
POLR2J,NEDD8
TCEB2,NDUFA2
NFKB1,PSMB1
TNF,PSMB1
TCEB2,PSMB1
TRP53,PSMB1
NFKBIA,PSMB1
EDF1,HSP90AB1
EDF1,PTGES3
EDF1,TCEB2
TCEB2,EDF1
TRP53,GADD45B
TNF,CD83
TNF,LPL
HNRNPK,HSPA8
SRSF2,HSPA8
POLR2F,HSPA8
POLR2K,HSPA8
DDX5,HSPA8
SNRPB,HSPA8
POLR2J,HSPA8
POLR2G,HSPA8
NFKB1,CTSZ
TNF,CD274
TRP53,CD274
IRF1,CD274
STAT1,CD274
TNF,SERPINB6A
BTF3,RPL19
POLR2F,PSMB6
NFKB1,PSMB6
TNF,PSMB6
TCEB2,PSMB6
TRP53,PSMB6
NFKBIA,PSMB6
KPNA2,CKS2
KPNA2,PCNA
KPNA2,CKS1B
KPNA2,RAN
TNF,CXCL16
TNF,CCL4
POLR2F,COPS6
TCEB2,COPS6
POLR2K,COPS6
COPS5,COPS6
POLR2J,COPS6
POLR2G,COPS6
TNFAIP3,UBB
TNFAIP3,UBC
TNFAIP3,NFKB1
NFKB1,TNFAIP3
TNFAIP3,TNF
TNF,TNFAIP3
TNFAIP3,IL1B
TNFAIP3,TNIP3
TNFAIP3,NFKBIA
NFKBIA,TNFAIP3
TNFAIP3,NFKBIZ
NFKBIZ,TNFAIP3
TNFAIP3,UBE2D3
TNFAIP3,RPS27A
HSBP1,CCDC53
TCEB2,UQCR11
MDM2,UBC
MDM2,TRP53
TRP53,MDM2
MDM2,SGK1
MDM2,UBE2D3
MDM2,RPS27A
MDM2,RPL26
MDM2,RPL23
MDM2,RPL11
MDM2,PPP2R5C
MDM2,RPL5
MDM2,SUMO1
MDM2,CDKN1A
NME2,HINT1
TNF,GNB2L1
STAT1,GNB2L1
BTG2,EGR1
EGR1,BTG2
BTG2,ZFP36
ZFP36,BTG2
BTG2,TRP53
TRP53,BTG2
BTG2,ATF3
ATF3,BTG2
BTG2,DUSP1
NFKB1,PSMC5
TNF,PSMC5
TCEB2,PSMC5
TRP53,PSMC5
NFKBIA,PSMC5
DDX5,HNRNPK
HNRNPK,DDX5
DDX5,HNRNPC
DDX5,SRSF2
SRSF2,DDX5
DDX5,POLR2F
POLR2F,DDX5
DDX5,SF3B5
DDX5,TRP53
TRP53,DDX5
DDX5,SNRPD2
DDX5,BUD31
DDX5,POLR2K
POLR2K,DDX5
DDX5,LSM7
DDX5,LSM3
DDX5,HNRNPA2B1
DDX5,PRPF40A
DDX5,SNRPB
SNRPB,DDX5
DDX5,SUMO1
DDX5,DNAJC8
DDX5,ZWINT
DDX5,MBNL1
DDX5,CLTA
DDX5,POLR2J
POLR2J,DDX5
DDX5,POLR2G
POLR2G,DDX5
DDX5,HNRNPF
NME2,POLR2F
POLR2F,NME2
NME2,FKBP1A
NME2,TAF9
TAF9,NME2
NME2,NME1
NME2,GUK1
NME2,RPS17
NME2,AK2
NME2,GNB1
NFKB1,PSMA6
TNF,PSMA6
TCEB2,PSMA6
TRP53,PSMA6
NFKBIA,PSMA6
NFKBIA,PSME1
NFKBIA,PSMB3
NFKBIA,PSMC6
NFKBIA,UBC
NFKBIA,NFKB1
NFKB1,NFKBIA
NFKBIA,TNF
TNF,NFKBIA
NFKBIA,CSNK2B
NFKBIA,PSMA3
NFKBIA,PSMB10
NFKBIA,PSMB7
NFKBIA,TRP53
TRP53,NFKBIA
NFKBIA,PSMA5
NFKBIA,PSMD6
NFKBIA,PSMB5
NFKBIA,PSMD8
NFKBIA,RPS27A
NFKBIA,PSME2
NFKBIA,PSMA7
NFKBIA,SUMO1
NFKBIA,IL1B
NFKBIA,PSMD14
NFKBIA,PSMA4
NFKBIA,SQSTM1
NFKBIA,PSMB9
NFKBIA,PSMB8
NFKBIA,PSMB2
NFKBIA,PSMC4
SNRPB,ERH
POLR1D,FCF1
MED21,MED10
POLR2F,MED10
POLR2J,MED10
POLR2G,MED10
POLR2K,MED10
GTF2B,MED10
TAF9,TMEM179B
TAF9,NHP2
TAF9,POLR1D
POLR1D,TAF9
TAF9,NME1
TAF9,POLR2F
POLR2F,TAF9
TAF9,TRP53
TRP53,TAF9
TAF9,AK2
TAF9,POLR2J
POLR2J,TAF9
TAF9,POLR2G
POLR2G,TAF9
TAF9,POLR2K
POLR2K,TAF9
TAF9,GTF2B
GTF2B,TAF9
TAF9,RPS14
TAF9,SSU72
BTF3,RPL15
BTF3,RPS3
BTF3,RPS21
BTF3,RPL38
BTF3,RPL23
BTF3,RPL37A
BTF3,RPL36AL
BTF3,RPL36A
BTF3,RPL5
BTF3,RPS20
BTF3,RPL14
BTF3,RPS24
BTF3,RPS8
BTF3,RPS17
BTF3,RPS19
BTF3,RPS13
BTF3,RPS6
BTF3,RPL35A
BTF3,RPS16
BTF3,NACA
BTF3,RPS14
BTF3,RPS27A
BTF3,RPS25
