,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
deoR,0.7538709,0.5441790,0.4432423,0.4108554,0.4144396,0.2570454,0.3399003,0.2538269,0.2567719,0.2283411,0.2209962,0.2339983,0.1948109,0.1835796,0.1707782,0.2207905,0.1646297,0.2328244,0.1976561,0.1919694,0.1765540,0.1984561,0.1438133,0.1968888,0.2520860,0.2443315,0.2173019,0.2513401,0.2151446,0.4758580,0.4706498,0.6231440,0.7571391,0.7786342,0.6287697,0.6563291,0.6874550,0.8828180,0.7344721,0.7170673,0.6868642,0.8200704,0.7085920,0.6347600,0.7902946,0.8439545,0.7998867,0.7419402,0.7686786,0.7646200,0.9197274,0.8713764,0.8032290,0.7698285,0.7587435,0.8634513
nupG,0.2799412,0.3129115,0.2561092,0.3377302,0.3549298,0.4785801,0.2940459,0.3264668,0.3237760,0.3756565,0.3356846,0.4397644,0.3333644,0.3983472,0.3577618,0.3881488,0.4043945,0.5021848,0.4389483,0.4486133,0.4451210,0.3697476,0.3787320,0.4180526,0.3345423,0.4417666,0.4037713,0.3786909,0.3021759,0.3088054,0.3121469,0.2527114,0.3700095,0.3145608,0.2898873,0.3524536,0.3088453,0.2712084,0.2369293,0.2760334,0.2437677,0.3385264,0.3394743,0.2270260,0.4198706,0.3566337,0.2858950,0.2328491,0.3368830,0.3461533,0.2728795,0.2164650,0.3411395,0.2681903,0.3625105,0.2832803
cytR,0.4492218,0.3712097,0.5007442,0.5312539,0.5351955,0.3780049,0.4531852,0.3115813,0.4649699,0.5047448,0.3733720,0.4336210,0.4521319,0.4810687,0.4559681,0.4471234,0.3702322,0.4953061,0.4901830,0.4946460,0.4939338,0.4291034,0.4922211,0.5004347,0.4783912,0.5218979,0.3385610,0.3882369,0.4233266,0.4016628,0.3823324,0.3946548,0.3619254,0.4383052,0.3662045,0.5086243,0.5060109,0.4481941,0.3935580,0.4705166,0.3670473,0.4734278,0.4981793,0.4292298,0.4473168,0.4029658,0.4875841,0.3949876,0.5777453,0.4561816,0.4291428,0.4938840,0.4682659,0.5560859,0.4603322,0.4561282
crp,0.0727972,0.0989760,0.0815824,0.1130751,0.0858422,0.1501881,0.0933262,0.0890927,0.0895800,0.1072347,0.0522506,0.0853090,0.0407424,0.0813185,0.0669459,0.1186479,0.1021803,0.1069772,0.0755288,0.0751789,0.1079743,0.0746030,0.0701333,0.0779011,0.1484326,0.1454209,0.0691593,0.0846527,0.1183900,0.1252503,0.1056952,0.1098786,0.1131271,0.1051163,0.1317312,0.1218873,0.1475696,0.1464829,0.0510779,0.1066794,0.0674581,0.0994535,0.0873679,0.1705333,0.1272200,0.0476943,0.0827630,0.0880906,0.1364122,0.1907707,0.1278502,0.0595382,0.1178824,0.0861660,0.0951831,0.0909652
rhaR,0.0999373,0.1238019,0.1547640,0.1550517,0.1985255,0.1117193,0.1131633,0.0916184,0.0967932,0.1225497,0.0983188,0.1358569,0.1440673,0.0783407,0.0922348,0.1045168,0.0526378,0.1076054,0.0658439,0.0689209,0.1070039,0.0861052,0.0789008,0.1143846,0.0706605,0.1100369,0.1155931,0.1587200,0.1817487,0.1051494,0.2030962,0.0984649,0.1345649,0.1221652,0.1208819,0.0922531,0.1653098,0.1174776,0.1313962,0.0868552,0.1287994,0.1498885,0.1094465,0.0936624,0.0821000,0.0795095,0.0732072,0.1035461,0.1297241,0.1088043,0.1790329,0.1184076,0.1147988,0.1407797,0.0693343,0.1349717
tsx,0.6885951,0.5081632,0.4864435,0.6194246,0.7297723,0.6227489,0.7455776,0.6759497,0.7124620,0.5785510,0.7013329,0.6888514,0.7022714,0.6153529,0.7403900,0.6267246,0.7635030,0.8931713,0.7144156,0.7770313,0.7218239,0.7498146,0.6786832,0.7401351,0.7207602,0.5785330,0.7051562,0.6261852,0.6445402,0.7078657,0.6472008,0.6901114,0.6460348,0.6336026,0.6054595,0.5205032,0.5408179,0.5898463,0.6150838,0.5271925,0.4966922,0.5817651,0.5562786,0.5456912,0.5986520,0.5659815,0.5134220,0.5048991,0.6633367,0.6751217,0.7679125,0.5674039,0.6085096,0.5159155,0.6141948,0.4812258
deoC,0.6689266,0.7091913,0.6520127,0.7660048,0.6762429,0.6252613,0.7670148,0.7546270,0.7575806,0.6960119,0.7941315,0.9231096,0.7721530,0.7767469,0.7716621,0.7266788,0.6023392,0.7753935,0.9379565,0.6122961,0.6833293,0.7493658,0.7864601,0.8064147,0.8882524,0.6378406,0.9464380,0.8403215,0.7021057,0.6981567,0.7128852,0.9172100,0.8095267,0.7088067,0.6967701,0.6638388,0.6897641,0.6188654,0.6500439,0.7829361,0.8164768,0.6698857,0.7306159,0.5777936,0.7010394,0.5483742,0.6663658,0.7298284,0.6376831,0.7781396,0.6777599,0.7492002,0.7521181,0.6384600,0.6423125,0.8030183
deoA,0.5059265,0.2665403,0.1625478,0.1594904,0.1157143,0.1222585,0.0743778,0.1189244,0.1180003,0.0947987,0.1004561,0.0978359,0.1077272,0.0990937,0.1204794,0.1212902,0.1513527,0.1009655,0.1667522,0.0946720,0.1177318,0.1286208,0.0921897,0.1037289,0.0651543,0.1250429,0.0971266,0.0928410,0.0788312,0.4668626,0.5700362,0.5241634,0.6112921,0.5938125,0.5839776,0.5888026,0.5368105,0.5466289,0.5258189,0.5879268,0.4968389,0.5250558,0.5601502,0.5018206,0.4805248,0.6531540,0.5520829,0.5929249,0.4774595,0.5086606,0.6097084,0.5591510,0.6020332,0.5170755,0.5693631,0.7074231
deoB,0.5567216,0.4029518,0.5143652,0.5924045,0.5838175,0.6933282,0.6572743,0.6422977,0.6323314,0.6491418,0.7407168,0.6551963,0.6565454,0.6318541,0.6961593,0.6638332,0.8284798,0.7687302,0.7863044,0.8901765,0.7493833,0.8477362,0.6903951,0.6353823,0.6923364,0.7582975,0.7648268,0.6434444,0.7120742,0.7917567,0.6480490,0.6730409,0.6913030,0.6372903,0.5716218,0.6407659,0.5588415,0.5277109,0.5990160,0.5287496,0.5297125,0.4784444,0.4869868,0.5058942,0.5723943,0.4793925,0.4442260,0.4658775,0.5779607,0.4625855,0.4443080,0.4781464,0.4001531,0.5106321,0.5898567,0.6369064
deoD,0.3082491,0.3492554,0.2155474,0.2623092,0.2550405,0.2720833,0.2633448,0.2819748,0.2436819,0.3119868,0.2281489,0.2836928,0.2705818,0.3895607,0.3800645,0.2155055,0.2726027,0.2547459,0.3407057,0.3548257,0.3833474,0.2421314,0.2858973,0.3239111,0.2941552,0.4084648,0.2985718,0.2503728,0.2896999,0.2859831,0.3321967,0.2799867,0.3481796,0.2874378,0.2709219,0.2515484,0.2166974,0.2933114,0.2772322,0.2176681,0.3572073,0.2771318,0.2987700,0.3595181,0.2602603,0.2829360,0.2707062,0.3766844,0.2639364,0.3447216,0.2323908,0.3315906,0.2659675,0.3470494,0.2408613,0.3087459
