,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
rstA,0.6564270,0.7907423,0.7547285,0.8082831,0.7274539,0.7502928,0.7937617,0.7883814,0.7450690,0.7842768,0.6863622,0.6530795,0.5959374,0.7057272,0.8659840,0.7810915,0.7591382,0.6531220,0.7085262,0.6145010,0.7614676,0.5925584,0.5099126,0.6489075,0.6594555,0.8133065,0.7893341,0.7832897,0.8248377,0.7207459,0.7363656,0.8373289,0.8072421,0.6327570,0.6011895,0.6641744,0.7469270,0.7714652,0.7620121,0.7294714,0.7591807,0.5997989,0.7272498,0.8284606,0.6919287,0.6530909,0.7345543,0.7418629,0.5857625,0.9346231,0.7395776,0.6910485,0.7209695,0.6990118,0.7581906,0.7213243
csgD,0.5101127,0.4569146,0.5043294,0.6191404,0.5822845,0.4960843,0.5558828,0.6019455,0.5438319,0.4704464,0.4434348,0.4177949,0.3252663,0.3548881,0.3969597,0.4061743,0.3590308,0.3465726,0.3035292,0.3829536,0.3368824,0.4291059,0.3154240,0.2962518,0.3163446,0.2797434,0.3784177,0.3239437,0.3244266,0.2735773,0.3608146,0.4742225,0.5305600,0.5061291,0.6034878,0.5241309,0.6185652,0.4876473,0.5078844,0.6032415,0.5268616,0.5106465,0.4956967,0.3994658,0.4446679,0.4504769,0.5721409,0.4439529,0.5142207,0.6001200,0.4984930,0.4550488,0.5559700,0.4831518,0.5118715,0.4946770
ompR,0.7166384,0.5008637,0.3403865,0.3015706,0.2472477,0.2333991,0.2270668,0.2381598,0.1996010,0.1752670,0.1827963,0.1669582,0.1360372,0.1653336,0.1276780,0.1052548,0.1908099,0.1413777,0.1635345,0.1363226,0.1186227,0.1761281,0.1027734,0.1418568,0.1789784,0.1624099,0.2095682,0.2654856,0.1563632,0.3773564,0.4821259,0.5392033,0.5370081,0.5500367,0.5919021,0.6158209,0.6347842,0.6482018,0.7008722,0.7804437,0.7632482,0.7521316,0.6548496,0.7104764,0.7264301,0.7304520,0.8993748,0.7287588,0.6938812,0.6332327,0.7808508,0.6793395,0.6500496,0.6433025,0.7978768,0.7117063
bolA,0.1656692,0.1405766,0.0863909,0.1016028,0.0751220,0.1018988,0.1101296,0.1638733,0.1555864,0.2186667,0.2269387,0.2065225,0.1833967,0.2339807,0.2871662,0.3391863,0.2981093,0.3285065,0.2798811,0.2667358,0.3309831,0.2929794,0.2454193,0.2620459,0.3177029,0.2546950,0.2262228,0.2981457,0.2590514,0.3737756,0.5983828,0.4279252,0.3824249,0.3481876,0.2686068,0.2776206,0.1917302,0.1843096,0.2070024,0.1696986,0.1790848,0.1381457,0.1348388,0.0651329,0.0989783,0.0733065,0.1312698,0.1063323,0.0817739,0.1144888,0.0812050,0.0873814,0.0899111,0.0717219,0.1261193,0.1124091
rcsB,0.6564148,0.6170472,0.7444389,0.7452278,0.7172329,0.7041138,0.7954140,0.6057832,0.6611447,0.6715171,0.7626185,0.7349195,0.6395351,0.7252541,0.5613713,0.6509722,0.7350600,0.7013769,0.6544080,0.5170762,0.7686988,0.7940601,0.8077949,0.6555366,0.7375080,0.7387589,0.8030049,0.8594764,0.7989815,0.7707402,0.6917209,0.7183940,0.8223556,0.7710984,0.5943650,0.7316004,0.7087605,0.5955437,0.5948193,0.6778425,0.6574988,0.6802239,0.7671614,0.6545490,0.6885319,0.6731860,0.6294507,0.5857765,0.7267057,0.6374928,0.6876081,0.7467213,0.7549843,0.7128081,0.7483128,0.7450662
csgE,0.1602761,0.1004428,0.0965170,0.1005537,0.0691321,0.0558496,0.0201803,0.0240564,0.0077051,0.0097309,0.0010846,0.0005499,0.0017913,0.0008111,0.0000000,0.0019968,0.0025997,0.0027481,0.0039584,0.0108400,0.0120102,0.0049338,0.0019303,0.0017676,0.0034990,0.0102386,0.0084764,0.0035086,0.0125979,0.0044901,0.0026696,0.0016266,0.0073750,0.0207123,0.0139605,0.0648535,0.0430884,0.0976900,0.0729918,0.0880764,0.1074075,0.1383102,0.1011397,0.1349693,0.1038014,0.1079589,0.0945972,0.0942261,0.1270500,0.1271508,0.0964058,0.1362161,0.1840272,0.0908975,0.1408190,0.1069369
csgG,0.3000856,0.3688111,0.4904128,0.4064900,0.3437738,0.3571965,0.3183030,0.3092077,0.2719525,0.4201692,0.4059435,0.2903539,0.3196774,0.3379375,0.2838017,0.4087900,0.2950639,0.3007440,0.3446219,0.3701218,0.2395867,0.3170276,0.3046780,0.2555329,0.3664518,0.3153057,0.3874573,0.2828502,0.2585771,0.3465204,0.3395808,0.3290422,0.3115797,0.3421808,0.3893572,0.3092757,0.3098913,0.3213106,0.3025926,0.3460442,0.4418445,0.3721346,0.3473275,0.4537938,0.3016921,0.3233542,0.2957154,0.3286149,0.3507690,0.3168142,0.3371450,0.4114527,0.4142817,0.4076617,0.3529739,0.5130012
csgF,0.6928806,0.5201487,0.6757595,0.6743529,0.5689468,0.4273640,0.4386032,0.5101440,0.4666651,0.4774779,0.4248696,0.5272760,0.3774465,0.4961093,0.4739985,0.4372494,0.4423569,0.4090463,0.4230528,0.4285627,0.4169660,0.4640193,0.4992209,0.4420220,0.5419086,0.5111767,0.4255418,0.3578599,0.3564515,0.4791667,0.6194887,0.6789833,0.7032627,0.8073664,0.7293914,0.6541541,0.7370017,0.6831484,0.6167175,0.7088915,0.6429319,0.7669162,0.7347482,0.8481429,0.8607547,0.6825093,0.7431496,0.6430136,0.6866621,0.7033484,0.7352391,0.9546092,0.6726484,0.6640353,0.7836074,0.7567784
sra,0.0546438,0.0477751,0.0454096,0.0480995,0.0550646,0.0714951,0.1500459,0.1361585,0.1971769,0.3156277,0.2874711,0.4231108,0.4720266,0.4919576,0.4836128,0.6011937,0.5950488,0.4733087,0.4756643,0.4566172,0.5691633,0.5462634,0.4757523,0.4832540,0.4200815,0.5176741,0.4885309,0.6112566,0.5306216,0.4762548,0.4004217,0.3080985,0.2380887,0.2542080,0.1607109,0.1363670,0.0639033,0.0481783,0.0508395,0.0764625,0.0327196,0.0327650,0.0575929,0.0502799,0.0520718,0.0429662,0.0438659,0.0257087,0.0427941,0.0375736,0.0259031,0.0432203,0.0474106,0.0540325,0.0420418,0.0488116
ompF,0.2227232,0.2356878,0.2521887,0.1943563,0.3202687,0.3235963,0.3431193,0.4523655,0.6944448,0.4857621,0.4581332,0.5913712,0.5383360,0.5544781,0.6106668,0.5943481,0.5076371,0.6491490,0.5569436,0.6892076,0.7193355,0.5769876,0.5834035,0.5379803,0.6526686,0.5693016,0.6334372,0.6210483,0.6420361,0.7435360,0.6469511,0.5240288,0.3874352,0.3377262,0.3979338,0.3261122,0.2440444,0.1931131,0.2086305,0.3077028,0.2770358,0.2030009,0.2044894,0.2317587,0.2322914,0.1772797,0.2046609,0.1915436,0.1868101,0.2245604,0.2119813,0.2421085,0.1883883,0.2560900,0.2585975,0.1598309
