,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
mqsA,0.6323944,0.4648493,0.5107051,0.4371575,0.4830297,0.4625365,0.3603219,0.3746216,0.4147658,0.4210723,0.5505329,0.3548815,0.4776558,0.4891040,0.4229596,0.4762513,0.6005633,0.4892779,0.4698253,0.4380179,0.4667382,0.4730103,0.4759279,0.4467643,0.4026135,0.5665330,0.4299581,0.3920335,0.4265038,0.5230264,0.4722993,0.6243376,0.4281684,0.5785714,0.5300942,0.6162221,0.6272843,0.6336729,0.6517854,0.4964227,0.6221469,0.5573579,0.6510580,0.5951655,0.4740240,0.5118428,0.5576080,0.6229196,0.6280426,0.5886228,0.4530387,0.6059629,0.5379234,0.5366346,0.5276571,0.5950844
mqsR,0.5603568,0.5169711,0.4135520,0.5522319,0.5198945,0.4639453,0.4011819,0.4355041,0.4878886,0.4664943,0.4773026,0.5150182,0.5238997,0.6531395,0.4570066,0.5255500,0.4546899,0.5357415,0.6009909,0.4895538,0.4036640,0.5843936,0.5549225,0.5461612,0.4790935,0.4913929,0.5204478,0.4302235,0.4174536,0.5834357,0.5722344,0.5614564,0.6353318,0.6707915,0.5555149,0.6201949,0.5783855,0.6769281,0.6310663,0.6885051,0.6775468,0.6414007,0.5938084,0.7632535,0.8007823,0.6708800,0.6950652,0.7299434,0.6503995,0.6508440,0.6152089,0.7758389,0.6289646,0.7410773,0.6363875,0.6601299
alaS,0.4774530,0.5117383,0.4819728,0.5107952,0.4228694,0.4591804,0.4581011,0.5065726,0.5690741,0.4749770,0.5236702,0.4986996,0.4770289,0.5970484,0.4962434,0.6303924,0.5132840,0.4748238,0.4537051,0.4594174,0.3400367,0.4076351,0.5846668,0.4060938,0.4163076,0.4588762,0.5280007,0.4781227,0.3832597,0.3759984,0.4691980,0.5130096,0.4802500,0.4850518,0.3878740,0.4630392,0.4493179,0.4276084,0.5925344,0.4858630,0.5331920,0.4422678,0.4368684,0.5161937,0.4410415,0.4432972,0.6292353,0.5007955,0.5142805,0.5812168,0.3620567,0.4529686,0.4022042,0.3803904,0.3609629,0.3730268
yccA,0.0424800,0.0358185,0.0196721,0.0298657,0.0452143,0.0564795,0.0432398,0.0660119,0.0190373,0.0914319,0.0454078,0.0301288,0.0242332,0.0153394,0.0553388,0.0462117,0.0566380,0.0607279,0.0421284,0.0304089,0.0474683,0.0245127,0.0222968,0.0376326,0.0302282,0.0523834,0.0354183,0.0836311,0.0420852,0.0202862,0.0186075,0.0090473,0.0159582,0.0134492,0.0293255,0.0137296,0.0156625,0.0214638,0.0205505,0.0132270,0.0308154,0.0283652,0.0337218,0.0304394,0.0453588,0.0308629,0.0230967,0.0208844,0.0421867,0.0246621,0.0293939,0.0358723,0.0338647,0.0400336,0.0423422,0.0315371
cpxR,0.0165769,0.0328380,0.0235839,0.0139078,0.0199726,0.0647244,0.0178491,0.0350320,0.0506141,0.0740592,0.0532444,0.0120943,0.0155600,0.0201600,0.0318396,0.0113506,0.0344109,0.0290809,0.0327166,0.0231606,0.0418613,0.0332027,0.0216242,0.0318128,0.0261273,0.0229114,0.0295131,0.0272705,0.0285288,0.0357383,0.0336774,0.0370032,0.0249842,0.0227740,0.0332414,0.0246839,0.0162943,0.0492009,0.0337782,0.0565859,0.0194331,0.0154551,0.0418327,0.0178461,0.0187463,0.0270321,0.0481380,0.0522747,0.0407272,0.0205587,0.0509397,0.0399413,0.0467996,0.0255918,0.0531847,0.0284992
psd,0.6625068,0.4781984,0.2948289,0.1878022,0.0867180,0.1516351,0.1171492,0.0701056,0.0670100,0.0318807,0.0103684,0.0135739,0.0435267,0.0505373,0.0128740,0.0160470,0.0162012,0.0266890,0.0054701,0.0053068,0.0239623,0.0211922,0.0200836,0.0159598,0.0115091,0.0237180,0.0087481,0.0227188,0.0077622,0.2601484,0.2643802,0.4962030,0.5168781,0.6289571,0.6506365,0.8065455,0.8297334,0.7209761,0.7187674,0.6933399,0.6362179,0.7409593,0.7057811,0.8454631,0.8987346,0.7679672,0.8381367,0.9279938,0.8391046,0.8080358,0.6470708,0.6781004,0.7317063,0.7370623,0.7597402,0.7507621
dsbA,0.0558617,0.1959352,0.3687662,0.5055060,0.6479413,0.5915975,0.5519480,0.5402460,0.6199935,0.6013762,0.6506601,0.6892630,0.6973329,0.4881755,0.5260064,0.5638357,0.5652999,0.6442542,0.7193044,0.6356438,0.7151191,0.6372440,0.6016625,0.5257541,0.5743563,0.5681928,0.5987820,0.6152130,0.6438173,0.4697319,0.3068851,0.2395769,0.2239513,0.1831203,0.1464623,0.0855990,0.0880871,0.0792241,0.1001337,0.0944335,0.0511089,0.0591011,0.0483180,0.0486334,0.0402595,0.0618416,0.0810348,0.0467047,0.0522663,0.0483137,0.0370170,0.0558870,0.0708244,0.1035006,0.0372090,0.0540166
motA,0.8134433,0.4851890,0.3399377,0.2520713,0.2925833,0.2188146,0.2429823,0.1503601,0.2086179,0.1173268,0.1386793,0.1648880,0.1666445,0.1574371,0.1631934,0.1664906,0.1188143,0.2288651,0.1547853,0.1223381,0.1500244,0.1319249,0.1433744,0.1659779,0.1342858,0.1301894,0.1884207,0.1710234,0.2009425,0.3199113,0.5315752,0.6596124,0.7002909,0.7197445,0.6744635,0.7158594,0.5998343,0.6402009,0.7666615,0.8066158,0.6274959,0.6901933,0.7333113,0.6821528,0.8091399,0.6492770,0.7785715,0.7449427,0.8553827,0.8016507,0.7691185,0.7106113,0.7361030,0.7443670,0.7341445,0.6808868
ydeH,0.0830564,0.0445924,0.0407577,0.1218291,0.0592591,0.0766555,0.0543277,0.0359697,0.0853611,0.0440988,0.0667669,0.0355989,0.0638091,0.0298469,0.0794968,0.0818755,0.0530206,0.0441506,0.0667216,0.0635045,0.0829243,0.0802557,0.0857228,0.0581585,0.0742237,0.0714010,0.0468660,0.0475117,0.0758038,0.0874641,0.0499703,0.0549329,0.0488331,0.0719316,0.0676598,0.1025627,0.0819206,0.0436251,0.0808671,0.0518928,0.0544376,0.0991046,0.0582077,0.0925771,0.0629113,0.0740738,0.0442149,0.0408350,0.0600794,0.0550527,0.0431531,0.0524188,0.0541259,0.0513549,0.0437924,0.0572584
bacA,0.0529949,0.0353672,0.0347268,0.0181841,0.0190250,0.0281688,0.0349537,0.0555166,0.0149581,0.0185014,0.0220508,0.0438533,0.0514987,0.0528315,0.0611537,0.0308129,0.0430802,0.0276942,0.0267779,0.0195562,0.0284838,0.0342432,0.0302171,0.0579569,0.0442717,0.0502581,0.0200290,0.0511552,0.0398170,0.0425030,0.0595442,0.0698695,0.0254874,0.0590043,0.0262882,0.0724865,0.0289107,0.0288614,0.0124998,0.0372397,0.0383634,0.0345781,0.0368316,0.0448882,0.0376347,0.0413304,0.0328092,0.0559353,0.0378233,0.0308542,0.0606377,0.0514345,0.0780174,0.0427056,0.0343633,0.0489218
ftnB,0.0537844,0.0544632,0.0730134,0.0330298,0.0600100,0.0510152,0.0715013,0.0495185,0.0520054,0.0623444,0.0456269,0.0470737,0.0582460,0.0841139,0.0797483,0.0526057,0.0602601,0.0476482,0.0550795,0.0498393,0.0280378,0.0545300,0.0633902,0.0344495,0.0355179,0.0952412,0.0603524,0.0759793,0.0771213,0.0465606,0.0524398,0.0745583,0.0307474,0.0443689,0.0847667,0.0640163,0.0413744,0.0930714,0.0822538,0.0610019,0.0612057,0.0457824,0.0414667,0.0642748,0.0792278,0.0469383,0.0552603,0.0725817,0.0441367,0.0350080,0.0587320,0.0856636,0.0483342,0.0394112,0.0499886,0.0446680
