,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
hns,0.5438122,0.4098586,0.3022892,0.3055481,0.3390561,0.2530403,0.3070246,0.2642363,0.3126566,0.3967416,0.3392427,0.2839977,0.3042323,0.2720112,0.3458403,0.3373916,0.2627372,0.2836186,0.2340253,0.4216388,0.2875112,0.2996156,0.2728812,0.3692422,0.3236744,0.3203093,0.3420189,0.4415365,0.3912700,0.4475725,0.5161870,0.5413548,0.4852960,0.5592121,0.4400943,0.6909577,0.5101020,0.5443514,0.5710221,0.5284476,0.5136208,0.4566735,0.6479465,0.6043398,0.5472050,0.4729230,0.5036921,0.4691610,0.5584307,0.5525874,0.4565645,0.4943912,0.5123914,0.5334706,0.5683986,0.6041929
cspA,0.7903779,0.8000368,0.7466471,0.7618481,0.8375839,0.7393335,0.7691095,0.8908100,0.6710745,0.5390258,0.6003069,0.6746072,0.6197387,0.8743608,0.7310353,0.7180845,0.7157683,0.7882633,0.7682316,0.6684268,0.7777444,0.8724100,0.7446042,0.6747649,0.8009699,0.7501663,0.7069922,0.6002551,0.7469410,0.8879078,0.7654809,0.6906015,0.7722771,0.6842647,0.7609697,0.6715727,0.8242977,0.6532252,0.6801584,0.7743598,0.6837659,0.6987741,0.6673487,0.7169186,0.7395889,0.6340679,0.9071398,0.8053338,0.7720571,0.6621652,0.7413589,0.6463585,0.8533935,0.8393545,0.8268170,0.7948284
bolA,0.0693168,0.0591435,0.0429784,0.0457043,0.0536163,0.0378056,0.0503009,0.0373883,0.0416235,0.0602471,0.0710279,0.0477944,0.0650867,0.0407080,0.0499256,0.0406089,0.0446882,0.1064254,0.1049358,0.0688461,0.0723510,0.0521381,0.0542659,0.0645306,0.0858293,0.0732590,0.0549441,0.0392571,0.0501314,0.0742119,0.0822781,0.0700529,0.0398520,0.0517457,0.0342887,0.0378693,0.0648688,0.0262573,0.0274657,0.0845576,0.0542639,0.0563970,0.0382963,0.0453727,0.0329503,0.0555924,0.0394607,0.0479257,0.0339849,0.0458910,0.0409517,0.1096836,0.0877680,0.0851749,0.0639720,0.0565016
stpA,0.2461814,0.1784671,0.2358402,0.2201279,0.2002127,0.1793635,0.1771774,0.1618260,0.2333867,0.1889482,0.2300874,0.2212175,0.1850174,0.2642747,0.1840411,0.1864021,0.1580214,0.2019188,0.2545164,0.2499766,0.2282266,0.2370950,0.2286089,0.1627169,0.1690388,0.1896251,0.2364098,0.1670010,0.1587670,0.2023919,0.1704681,0.2305315,0.2455016,0.1882918,0.1559569,0.1994780,0.2808557,0.1516808,0.2175097,0.2300477,0.1638170,0.2036690,0.2400365,0.1971666,0.1736094,0.2441286,0.1756597,0.1868877,0.1887676,0.2070845,0.1565233,0.1336877,0.1488041,0.1692722,0.1475357,0.1587099
bglJ,0.4377836,0.4178437,0.3218863,0.2461158,0.2982947,0.3532030,0.3814717,0.4194285,0.3155057,0.3707682,0.3909495,0.3932392,0.4006603,0.3666799,0.4767210,0.4666587,0.3973320,0.3311950,0.2957360,0.2169506,0.2682524,0.4253946,0.3122760,0.3977726,0.3862451,0.3806345,0.4202026,0.3268470,0.3745912,0.6082633,0.5606294,0.7113154,0.6649309,0.5621939,0.5850769,0.4940921,0.5474565,0.6971374,0.6393865,0.5633271,0.6018874,0.5641905,0.4683115,0.4484850,0.6431150,0.5918398,0.5326876,0.4555178,0.4133081,0.4643492,0.5147119,0.4939054,0.4588199,0.5909857,0.5166286,0.4566995
bglB,0.1082479,0.0517572,0.0304503,0.0164083,0.0330823,0.0016281,0.0227512,0.0123926,0.0228508,0.0107379,0.0242589,0.0201969,0.0199936,0.0265297,0.0355349,0.0115503,0.0139486,0.0033512,0.0131653,0.0072501,0.0176320,0.0212666,0.0283532,0.0475083,0.0264716,0.0158427,0.0206662,0.0187015,0.0090166,0.0579958,0.1016524,0.1600172,0.2154275,0.1479940,0.1442362,0.1690062,0.1375158,0.1901987,0.1516519,0.1283183,0.0731177,0.2174016,0.1381292,0.2346500,0.1670683,0.1391973,0.1108289,0.1641575,0.1368876,0.0911357,0.0986909,0.0768258,0.0685429,0.1434605,0.1108207,0.2215759
bglG,0.6649620,0.5429100,0.5096572,0.6370788,0.5266182,0.5704558,0.5945825,0.5649070,0.5476676,0.6267486,0.7582368,0.7481048,0.6497805,0.7757596,0.5766115,0.7539392,0.6961464,0.7605441,0.6963787,0.6945958,0.6141026,0.6313797,0.6780630,0.6559764,0.6019257,0.6441992,0.7258219,0.6513588,0.7165106,0.7388782,0.7642761,0.5675317,0.5705203,0.5494006,0.6017196,0.5845572,0.6168567,0.5972965,0.6840431,0.7510281,0.5532927,0.5790582,0.7352552,0.6778673,0.6864139,0.6211502,0.5226724,0.6168445,0.5153801,0.6194874,0.6422654,0.5736219,0.6134006,0.5882559,0.5951918,0.6299218
bglF,0.5255584,0.4015477,0.4577759,0.4588562,0.4299555,0.4898199,0.6041608,0.5922290,0.6615152,0.5542123,0.6137176,0.5842711,0.5817945,0.6129349,0.4121734,0.5297661,0.4923237,0.6009918,0.6355108,0.5405985,0.4675445,0.5328202,0.5929176,0.6040528,0.7811102,0.4569558,0.5228647,0.5969442,0.4398674,0.5510978,0.5319568,0.4526986,0.5112143,0.4676359,0.4630037,0.4212332,0.4895631,0.4135795,0.4054760,0.5043793,0.4551621,0.6007205,0.5064638,0.4932020,0.6275678,0.4616023,0.5764831,0.5274073,0.3088259,0.3873688,0.4255805,0.4857457,0.5035576,0.4731355,0.4278719,0.4864021
cspD,0.6536385,0.6993808,0.6192460,0.7333961,0.4923413,0.4965354,0.5043380,0.4033431,0.3781124,0.3299953,0.3752905,0.3498263,0.3785879,0.4136356,0.4782864,0.4214972,0.3904411,0.4548111,0.5690930,0.4599517,0.3917982,0.4792868,0.3815176,0.3525093,0.4267094,0.3402008,0.4787825,0.4751637,0.4876464,0.4459807,0.4169322,0.5363015,0.5040659,0.7122872,0.5305057,0.6177405,0.6326627,0.5758161,0.6873140,0.6096776,0.6919885,0.7468759,0.4910054,0.6031053,0.7011521,0.7157066,0.5338853,0.5465002,0.6864546,0.5170167,0.6881431,0.5757191,0.5730995,0.5617155,0.6276089,0.4797027
proW,0.5073944,0.3709543,0.4841641,0.4234180,0.5038982,0.5063972,0.5466086,0.6417638,0.6067573,0.5514165,0.5526746,0.5158088,0.6098716,0.6968946,0.5984790,0.6080807,0.6555446,0.6654205,0.5958529,0.6057512,0.6087350,0.5223944,0.5657418,0.5461596,0.5820685,0.6523657,0.5208198,0.5985796,0.5839908,0.7364719,0.5729403,0.6927213,0.5845046,0.5534867,0.5213797,0.5588269,0.5388547,0.4706762,0.4953891,0.4374626,0.4337155,0.4020497,0.4340406,0.5649522,0.4239224,0.4684156,0.4499328,0.4423635,0.5539503,0.3794645,0.4008374,0.3981551,0.3444368,0.3529332,0.5321696,0.4108655
gspB,0.0985405,0.0500147,0.0628751,0.0531274,0.0675682,0.0614090,0.1050087,0.0609207,0.0901476,0.0825108,0.0708637,0.0633304,0.0830908,0.1187839,0.1092787,0.1394021,0.1265106,0.1517178,0.1352154,0.1402324,0.0794180,0.1214407,0.1360639,0.2091632,0.1348017,0.1469434,0.1286957,0.1322872,0.0856407,0.1907537,0.1457866,0.1174950,0.1103712,0.1705937,0.1014471,0.1144967,0.1439397,0.1049080,0.0984427,0.1136764,0.0918003,0.0854080,0.0841404,0.0827878,0.1109055,0.0922170,0.0760247,0.1025172,0.0732123,0.0862793,0.0927256,0.0947029,0.0838118,0.0807300,0.0726326,0.0841945
