,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
yoeB,0.3089979,0.3144024,0.3022667,0.2752464,0.3022053,0.3648940,0.2836592,0.1861368,0.2578249,0.2645695,0.2740109,0.3125946,0.3368121,0.3698658,0.2975919,0.3070240,0.3008959,0.3027260,0.2389215,0.3060720,0.3379155,0.2769551,0.2919695,0.2816348,0.2598824,0.2611617,0.2357603,0.2379006,0.2303272,0.3169842,0.2207099,0.2116694,0.3102055,0.3143659,0.2436276,0.2541016,0.2908815,0.3006157,0.3776134,0.2600811,0.2610351,0.2541234,0.2926121,0.3231550,0.3390491,0.2772113,0.3333841,0.4004413,0.3087097,0.3235059,0.3385757,0.3207186,0.3123794,0.2557701,0.3077768,0.3455343
yefM,0.4158493,0.4422932,0.5107204,0.4826116,0.4551950,0.4369017,0.5876837,0.5310150,0.6030655,0.5452034,0.5766566,0.5816922,0.4786275,0.4635226,0.5057569,0.5827922,0.4681680,0.4297920,0.5635271,0.5736807,0.5437250,0.5252100,0.6277415,0.5912916,0.3753308,0.5928061,0.5140935,0.5705256,0.5260562,0.4690880,0.6520524,0.4853471,0.6685597,0.4824289,0.4711511,0.4389309,0.4380071,0.4455190,0.4383555,0.5847150,0.4868337,0.4526285,0.5394748,0.4587784,0.4251653,0.4346872,0.5092295,0.4531971,0.5852329,0.4805120,0.3863336,0.4790432,0.5241959,0.5333162,0.4280666,0.4268105
alaS,0.4311799,0.4808433,0.2511784,0.2228389,0.2482339,0.2055687,0.2486060,0.2795090,0.1993966,0.2377228,0.1944672,0.1793052,0.1923239,0.1887717,0.1951552,0.1368620,0.2394075,0.2273752,0.1919083,0.2355763,0.1648979,0.1501225,0.1384054,0.1967225,0.2213328,0.2613339,0.2102813,0.2438692,0.2714635,0.3669129,0.5548085,0.5393045,0.5585014,0.4780381,0.6391211,0.5413494,0.5096491,0.4981480,0.4888104,0.4260175,0.5951600,0.4780274,0.5052806,0.4695771,0.3951107,0.4021320,0.5054587,0.3798395,0.4296308,0.4137750,0.4026329,0.4627751,0.4457212,0.4232753,0.4756533,0.4957861
mngB,0.7033383,0.4248164,0.2229106,0.2142561,0.1452276,0.1126582,0.1229062,0.0971086,0.0729699,0.1026427,0.0797608,0.1089656,0.0735746,0.0737563,0.0669873,0.1471809,0.0825704,0.0822019,0.0498594,0.0826538,0.1127530,0.0390933,0.0994008,0.0769894,0.0439623,0.0694308,0.0653377,0.1111525,0.0685817,0.4205222,0.5136584,0.8253985,0.6436997,0.6706260,0.6375707,0.8045051,0.6627671,0.6671540,0.8033741,0.7115500,0.7527305,0.6212585,0.7220057,0.7048884,0.6922691,0.7323541,0.9236998,0.7624808,0.8820128,0.7857085,0.8183948,0.8869792,0.8456796,0.7599429,0.6268821,0.6771644
mngR,0.3695068,0.2750785,0.2508787,0.1807185,0.1574436,0.1398783,0.0871038,0.1222409,0.0936760,0.0870163,0.1105221,0.1552936,0.1300702,0.0744063,0.0972712,0.0932829,0.1086373,0.1134817,0.1063053,0.0869874,0.0821094,0.0997507,0.0957069,0.0591420,0.0821513,0.1095643,0.0492345,0.0942431,0.0687983,0.3392225,0.3784235,0.5549657,0.4804574,0.3444029,0.3818985,0.3050557,0.3578826,0.3293689,0.4003814,0.4389476,0.4231124,0.3917180,0.3443623,0.3150472,0.4357724,0.3991170,0.4314483,0.3439056,0.3561103,0.3360480,0.3920990,0.4433498,0.4175498,0.4036239,0.4453151,0.4791115
mngA,0.1346955,0.1044957,0.0616559,0.0323371,0.0481655,0.0376645,0.0342782,0.0294915,0.0265947,0.0475956,0.0447349,0.0442686,0.0526021,0.0531304,0.0554603,0.0615024,0.0637779,0.0783112,0.0428693,0.0434865,0.0905023,0.0969932,0.1096707,0.0568401,0.0880971,0.0936800,0.0477228,0.0951448,0.0944576,0.3040175,0.4887186,0.3378857,0.3331956,0.2048753,0.1309920,0.2342241,0.1497861,0.1323392,0.1887279,0.2386005,0.1373577,0.2080618,0.1380054,0.1678466,0.1792526,0.1391557,0.1311432,0.1447930,0.1961201,0.2076282,0.1796611,0.1678549,0.2338692,0.1912205,0.2046912,0.1874949
artJ,0.2567604,0.2525314,0.2422588,0.3758271,0.3181019,0.3230841,0.2375703,0.2656686,0.3420363,0.1982779,0.2862736,0.2810406,0.2461751,0.2831752,0.2099835,0.2574546,0.2753742,0.3908995,0.2365820,0.2181444,0.2831041,0.2757312,0.2262630,0.2064609,0.2557535,0.2981560,0.2653902,0.2039961,0.2879425,0.2476510,0.3000602,0.2759109,0.2834983,0.2748309,0.2407770,0.2395037,0.2253711,0.2145786,0.2221429,0.2010996,0.1955979,0.2188079,0.2474867,0.3352185,0.2649649,0.3108481,0.2595093,0.2495301,0.3413658,0.2655458,0.2818436,0.3052989,0.2431509,0.2998844,0.2633508,0.2157366
argR,0.4690134,0.3324081,0.3129539,0.3140065,0.3201063,0.3843480,0.3135107,0.2886276,0.3030753,0.2815095,0.2361615,0.2873638,0.2714004,0.3201673,0.2816114,0.2683317,0.3271369,0.3319185,0.3395866,0.2927554,0.2827914,0.3114267,0.2329568,0.3048402,0.2968147,0.3021578,0.2453077,0.3247795,0.2518796,0.2630451,0.2681770,0.2525894,0.2977015,0.2724577,0.2973260,0.2911740,0.3672548,0.2512582,0.3235414,0.2306285,0.3326008,0.2728904,0.3676801,0.4130177,0.3490414,0.2773212,0.2802802,0.3255891,0.3225213,0.3016276,0.3100023,0.2527038,0.2062695,0.4354602,0.2218265,0.3791057
argB,0.0085329,0.0103421,0.0158968,0.0089205,0.0052128,0.0130529,0.0112475,0.0161057,0.0198576,0.0085847,0.0055772,0.0186705,0.0421209,0.0074693,0.0119088,0.0337244,0.0420731,0.0396360,0.0136988,0.0203485,0.0063017,0.0036024,0.0017265,0.0082091,0.0061111,0.0027751,0.0030962,0.0044925,0.0013706,0.0053505,0.0387537,0.0125842,0.0270964,0.0072481,0.0089724,0.0090537,0.0131392,0.0067766,0.0303073,0.0223692,0.0238250,0.0230925,0.0121459,0.0038545,0.0005971,0.0239942,0.0123268,0.0147157,0.0068809,0.0026095,0.0040883,0.0129360,0.0213408,0.0172635,0.0113162,0.0103373
artI,0.7300300,0.6703612,0.7955330,0.7540883,0.8489310,0.7746149,0.7591492,0.7419422,0.6639404,0.6471481,0.6903808,0.6309600,0.7724286,0.7597184,0.6854994,0.7330924,0.6680013,0.6610431,0.6363927,0.6970371,0.6646353,0.6216680,0.6040392,0.6106805,0.7581401,0.7450257,0.7004682,0.6600694,0.6079708,0.8023290,0.6900573,0.7631509,0.6631409,0.6528986,0.8239875,0.8128570,0.6991599,0.6540851,0.6606161,0.7118971,0.6007283,0.6702665,0.6227835,0.7528647,0.5211453,0.7020136,0.5742668,0.6649985,0.6457160,0.6997719,0.7658114,0.5197167,0.5683570,0.5582645,0.5738272,0.5832861
