,C0,C20,C40,C60,C80,C100,C120,C140,C160,C180,C200,C220,C240,C260,C280,C300,C320,C340,C360,C380,C400,C420,C440,C460,C480,C500,C520,C540,C560,C580,C600,C620,C640,C660,C680,C700,C720,C740,C760,C780,C800,C820,C840,C860,C880,C900,C920,C940,C960,C980,C1000,C1020,C1040,C1060,C1080,C1100
paaX,0.8551576,0.7325906,0.6710398,0.7863975,0.7657539,0.6456423,0.9647307,0.7794666,0.7922272,0.8965503,0.7984090,0.6893523,0.7230694,0.7122574,0.6809439,0.7785094,0.7953249,0.6436934,0.7195866,0.7235596,0.6749297,0.7489269,0.7782453,0.7995057,0.7461813,0.7244146,0.6482566,0.7416330,0.8283765,0.7292626,0.7539912,0.7309120,0.6721981,0.8222104,0.7274379,0.8444062,0.6352510,0.7634337,0.6485983,0.8563595,0.9274840,0.7067449,0.8330123,0.9113874,0.7947097,0.6358564,0.7221478,0.6697694,0.7229620,0.8042429,0.6915320,0.8089657,0.8441902,0.8036786,0.9883417,0.6763693
maoC,0.3732324,0.3933529,0.3458697,0.3917550,0.3795715,0.2916838,0.2617631,0.2625249,0.2709482,0.2710066,0.2309583,0.3082450,0.2437051,0.2261323,0.3392718,0.2994071,0.3238823,0.3967438,0.2639000,0.2415967,0.2344658,0.2962607,0.2303861,0.3074982,0.3144955,0.2621188,0.2909916,0.2697907,0.2643703,0.2805539,0.3200040,0.3857611,0.3244776,0.4860325,0.4724607,0.5238649,0.4217121,0.3815994,0.3856383,0.3837776,0.3059389,0.3548244,0.4886371,0.4980449,0.5044201,0.4094763,0.4264495,0.4439663,0.4302667,0.3665260,0.4745068,0.4781878,0.3730263,0.3811731,0.4810517,0.4624772
ihfB,0.1958273,0.1501765,0.1335758,0.0942816,0.0864898,0.0847763,0.0905126,0.1567675,0.1148719,0.1123816,0.1748564,0.0927171,0.1619073,0.1077792,0.0869042,0.1000818,0.1144384,0.1312781,0.0892977,0.1017223,0.0890862,0.0831197,0.1173035,0.1158068,0.1119489,0.1184848,0.1262298,0.1217191,0.1552727,0.1612358,0.1814066,0.1889227,0.1527322,0.2016636,0.2053534,0.1632751,0.1755408,0.2232707,0.1944279,0.1760704,0.2604845,0.1885018,0.1951005,0.2650257,0.2110352,0.2154175,0.1804118,0.1617467,0.1399782,0.1997883,0.1697784,0.1604714,0.1362701,0.1785537,0.2080131,0.1353095
hipA,0.7751905,0.5703435,0.5270534,0.5731267,0.5509856,0.5446854,0.4737980,0.5198123,0.6345334,0.4543582,0.5132256,0.4992222,0.4149231,0.4637144,0.4031365,0.4902092,0.4184345,0.4805065,0.4653526,0.4479980,0.5899913,0.5073460,0.4991085,0.4407470,0.5100644,0.3592249,0.3209708,0.4229455,0.5653560,0.6464333,0.6470718,0.7185406,0.8653763,0.7041882,0.7681317,0.8030369,0.7653987,0.7868124,0.7923579,0.6518659,0.6201904,0.6535875,0.7507358,0.7878260,0.7078892,0.8689061,0.7800479,0.7212355,0.7232790,0.6953503,0.6932262,0.7814559,0.6560838,0.6940910,0.5806612,0.7576348
hipB,0.1929592,0.2888930,0.2648568,0.2524926,0.3410735,0.3372492,0.3034237,0.2218445,0.2990310,0.1805793,0.2170489,0.2004268,0.2362300,0.3217672,0.3114152,0.2161532,0.3213002,0.3647213,0.2454996,0.3194909,0.2471027,0.2252514,0.3652717,0.2661758,0.2387298,0.3256528,0.3425667,0.2411280,0.2305117,0.2070811,0.3062994,0.1955212,0.2934591,0.2845861,0.2621056,0.2424044,0.2581362,0.2311326,0.2403372,0.2650306,0.2288716,0.1903414,0.2635663,0.2729104,0.2142837,0.2770652,0.2316162,0.2125928,0.3642195,0.2917400,0.3648813,0.3543754,0.2858156,0.2279152,0.3105059,0.2468346
paaE,0.3452358,0.3743383,0.2927782,0.2688283,0.2513440,0.3633464,0.2375610,0.2849878,0.2523054,0.2401248,0.2635930,0.2170474,0.2771564,0.3008357,0.2054479,0.2521311,0.2526893,0.2422875,0.2650901,0.3078324,0.2222820,0.3215509,0.2249916,0.2389501,0.1850647,0.2256268,0.2607619,0.3010785,0.2196868,0.2991143,0.3928355,0.3783579,0.3126140,0.3051715,0.3962810,0.3258847,0.4097935,0.3203652,0.3555795,0.3770889,0.3039561,0.3057603,0.3437602,0.3948546,0.3169522,0.2694081,0.3005047,0.2944572,0.3317054,0.2946179,0.3761936,0.2504836,0.3101012,0.3118268,0.3581909,0.3231104
paaC,0.0121753,0.1245494,0.1567489,0.2297561,0.2208192,0.1781584,0.1793654,0.2123559,0.2301556,0.2615420,0.2155154,0.1670580,0.2274699,0.1913540,0.2074041,0.1805521,0.2311369,0.1847681,0.1877275,0.2920994,0.3021694,0.2357959,0.2259258,0.2260150,0.2578143,0.2788052,0.1578926,0.2081271,0.2464306,0.1254259,0.0313529,0.0375763,0.0166281,0.0139134,0.0339600,0.0077038,0.0225249,0.0137153,0.0074233,0.0104497,0.0097389,0.0131452,0.0233641,0.0143809,0.0101151,0.0026472,0.0052267,0.0053826,0.0036836,0.0027560,0.0051793,0.0055597,0.0012598,0.0021501,0.0011461,0.0030053
paaH,0.1166756,0.0645813,0.1454208,0.0917264,0.0587439,0.0506870,0.0603053,0.0579554,0.0545357,0.0546786,0.0542463,0.0402393,0.0409143,0.0432221,0.0707694,0.0382097,0.1055647,0.0634346,0.0550307,0.0916251,0.0589586,0.0548630,0.0931756,0.0399871,0.0434395,0.0780948,0.0498273,0.0474714,0.0354868,0.0861289,0.1146991,0.0889825,0.0650299,0.0518640,0.0542716,0.0335010,0.0679915,0.0888971,0.0948963,0.0565433,0.1214170,0.1252277,0.1043207,0.0638585,0.0682727,0.0523100,0.1327033,0.0514211,0.1138282,0.0650173,0.0897937,0.1023557,0.0951075,0.1710132,0.0565332,0.0688921
paaD,0.2688978,0.1367478,0.0936440,0.1456365,0.1465263,0.1201917,0.1464930,0.1370597,0.1803348,0.1925008,0.1359977,0.1571788,0.1637820,0.1689795,0.1867362,0.1459198,0.2002516,0.2113019,0.2234025,0.2602550,0.1578820,0.2359474,0.2125763,0.1790316,0.2355945,0.1569370,0.1999044,0.1517717,0.1996605,0.2027521,0.1892364,0.1572239,0.1141276,0.1839681,0.1935106,0.2160988,0.2776297,0.1661698,0.1422931,0.1694956,0.2327273,0.1922927,0.2419863,0.2566428,0.2200382,0.1291873,0.2351079,0.1891696,0.1550883,0.1880361,0.1429827,0.1858249,0.1523330,0.1711904,0.1990544,0.1634967
paaA,0.1447910,0.0699381,0.0667222,0.0478885,0.0509390,0.0539601,0.0907050,0.0815052,0.0688733,0.0412446,0.0584274,0.0388759,0.0888735,0.0489694,0.0743572,0.0745456,0.0552284,0.0692934,0.0904256,0.0652657,0.0614139,0.0501354,0.0338937,0.0621998,0.0552656,0.0782893,0.0477634,0.0356341,0.0487324,0.0145832,0.0665390,0.0610313,0.0852565,0.1204418,0.0418993,0.0552571,0.0854815,0.0807449,0.0484712,0.0662960,0.0738706,0.0873610,0.0844186,0.0695915,0.0832355,0.0844105,0.0731212,0.0579373,0.0745803,0.0593847,0.0280905,0.0408595,0.0288634,0.0904954,0.0589639,0.0612933
